,mean,mean,mean,std,std,std
,acc,acc,acc,acc,acc,acc
method,beta,beta05,beta2,beta,beta05,beta2
dataset,,,,,,
abalone,63.5245992067,63.3162127924,63.5294700406,1.14022080273,1.13824521939,1.15213933839
autos,73.9607204926,73.4989881062,75.358663865,5.67936047206,5.84109951203,4.95583922026
balance-scale,95.2051690333,95.2051690333,95.2051690333,1.52078048052,1.52078048052,1.52078048052
car,71.5284984541,71.100282296,71.6905498051,2.00161296689,1.79959483024,1.90393526299
cleveland,83.8130138321,83.611299435,83.8124683421,4.92042947918,4.66120761381,4.88786722643
credit-approval,86.9199612093,86.7502642396,86.7957170056,2.96702583863,2.93747860656,2.98091576852
dermatology,99.7229300729,99.7229300729,99.7229300729,0.559843572751,0.559843572751,0.559843572751
diabetes,76.7967914439,77.0705373058,77.0836940837,3.19473102197,3.1063033816,3.10951816516
ecoli,96.3529873837,96.2611059488,96.2624101694,2.57302352039,2.46612402528,2.31848525445
flare,81.7965195508,81.8391490025,81.818495751,1.37819449168,1.34226931986,1.39741807431
german,75.25,75.85,75.34,1.63897055794,1.65137543167,1.61131205252
glass,63.2486157254,63.5062200074,63.7570606396,3.57342098875,4.99619811765,3.39146608094
heart-statlog,84.0,84.1851851852,84.037037037,4.6392190935,4.52388687703,4.50341950211
hepatitis,84.4782258065,84.7451612903,84.8572580645,4.47710627091,5.24506878582,4.68761118196
horse,81.5107159396,81.7152542373,81.3462906363,4.1008086893,4.59096109546,4.47518927709
ionosphere,88.2945674044,88.4350100604,87.7267605634,3.59888118926,3.23945138695,3.78517330351
iris,100.0,100.0,100.0,0.0,0.0,0.0
landsat-satellite,98.6901226271,98.6994527047,98.6979023415,0.331365809614,0.331653722817,0.327035706007
letter,97.7094243794,97.7025681228,97.7108517258,0.10774437169,0.115836960198,0.109527196243
libras-movement,97.9733333333,98.0,98.04,1.36333591138,1.29362644831,1.43117223571
lung-cancer,93.3157894737,74.3526315789,93.1,5.99621113906,10.6403875517,5.93968068666
mfeat-karhunen,99.19,99.13,99.195,0.427259897964,0.426303523182,0.414316501319
mfeat-morphological,99.85,99.85,99.85,0.195615199109,0.195615199109,0.195615199109
mfeat-zernike,99.455,99.455,99.455,0.35243323293,0.348795302814,0.35243323293
mushroom,96.8586717433,96.5202078623,96.5423571669,0.42028913984,0.39598953872,0.394008278703
optdigits,98.8932529117,98.8932624298,98.8986164119,0.291447444381,0.28920835942,0.279368264833
page-blocks,94.9533644026,94.9606353148,94.9679596465,0.558452016772,0.489881046719,0.485379115313
pendigits,99.30406763,99.2840535661,99.2904271315,0.160442354631,0.151668385282,0.159295662708
scene-classification,80.4572952341,81.2918820073,80.4490398993,0.867678067433,1.59535096846,0.942108853998
segment,99.645021645,99.645021645,99.6493506494,0.285952455701,0.250291977054,0.269176588656
shuttle,97.6482750532,96.8431515189,96.836944928,0.0966152244268,0.113310088509,0.107556649005
sonar,76.6515139238,77.2776382249,76.9475731302,5.83011822999,6.49282707334,5.94658865586
spambase,92.8580208625,92.5623588875,92.4384716901,0.860474021757,0.808041824839,0.830932590694
tic-tac,67.8899257612,68.4436542626,67.1699106602,1.70999671743,2.22061102805,1.60844959154
vehicle,95.1313076047,95.1783605824,95.1662535956,1.64552485316,1.80531005553,1.70563481431
vowel,94.6565656566,94.1414141414,94.5757575758,1.13204359903,1.08465341835,1.13992547445
waveform-5000,85.4119042399,85.1998521119,85.1978561079,1.14998830678,1.08421214899,1.10880697458
wdbc,97.8356290881,97.7660638707,97.6775682955,1.14350911737,1.19431134074,1.30636597716
wpbc,79.3896761134,78.9309041835,79.021120108,3.67726732951,4.57519240043,3.69879291268
yeast,67.8889733195,67.6537075485,67.7611597123,2.03010232051,1.98567255138,2.18751805412
zoo,100.0,100.0,100.0,0.0,0.0,0.0
