,mean,mean,mean,std,std,std
,brier,brier,brier,brier,brier,brier
method,beta,beta05,beta2,beta,beta05,beta2
dataset,,,,,,
abalone,0.21581191825,0.215250135181,0.216951719363,0.0036709336322,0.00331021184315,0.00371596381661
autos,0.161575056952,0.162178627663,0.162531618702,0.0194074843191,0.019996575127,0.0188462493494
balance-scale,0.0414567615225,0.0417505722339,0.0421031010324,0.0112633520059,0.011157009386,0.0107241129856
car,0.170537686582,0.170735271611,0.172365130468,0.00697135346877,0.00572175101323,0.00745254201948
cleveland,0.122962310944,0.122284361352,0.122440936673,0.0277921456185,0.0274000424521,0.0271185154583
credit-approval,0.0991567131939,0.0994086202758,0.0995021246695,0.0182813574071,0.0183314622472,0.0181748748656
dermatology,0.0021209344595,0.00192315883975,0.00214500249932,0.00401385529918,0.00396173297488,0.00408149816656
diabetes,0.158013992131,0.157789376458,0.157836676202,0.013310428946,0.0128625609407,0.0131099476586
ecoli,0.0304912822713,0.0306040883597,0.0311659956667,0.0193788057855,0.0187476877061,0.0180626089856
flare,0.130596054287,0.130492727976,0.130350877161,0.00876652298238,0.00865916777912,0.00872420428469
german,0.16581795052,0.165888829154,0.165613525484,0.00910976068831,0.00945544549278,0.00909292702632
glass,0.21649725439,0.214661120466,0.217364039804,0.0114031727952,0.0119481238932,0.00881403887349
heart-statlog,0.120985641977,0.120696785027,0.120489208255,0.0251413515377,0.0246243042201,0.0240431213888
hepatitis,0.114895793381,0.116052254008,0.11298616023,0.0286377041206,0.0279311230895,0.0275416295564
horse,0.13611459093,0.136556627724,0.136445720448,0.0212380223442,0.0216235937638,0.0207295836728
ionosphere,0.0889534223482,0.0877625004731,0.0919486562506,0.0185743677972,0.0177126556348,0.0180541486158
iris,5.60398099574e-05,6.06302794127e-06,3.36438922387e-05,0.000171789601976,1.88722138517e-05,0.000111821460948
landsat-satellite,0.0107265068791,0.0107097500418,0.0107076251899,0.00223283962429,0.00221909585453,0.00221735035474
letter,0.0184663582783,0.0185154176675,0.0185193069886,0.000769764619318,0.000759943212327,0.000758319984526
libras-movement,0.0161528502332,0.0160705404568,0.0177321874263,0.00987507332939,0.0101395322375,0.00969122935835
lung-cancer,0.0497584294302,0.220156046465,0.0515195587116,0.0359225546015,0.0255919967719,0.0376249980276
mfeat-karhunen,0.00625096057755,0.00669965952008,0.00646198601582,0.00311855244125,0.00304887957554,0.00303212375862
mfeat-morphological,0.00152308431487,0.00150009174982,0.00152439835826,0.00193496274398,0.0019514222561,0.00193722655225
mfeat-zernike,0.0047940729804,0.00468585386875,0.00471686838437,0.00280725284602,0.00275093018246,0.00262347114929
mushroom,0.0250892270883,0.0274148159375,0.0275544411,0.00277050339836,0.00286837394012,0.00270865566487
optdigits,0.00854062004086,0.00852967690989,0.0085277047506,0.00182117622388,0.00180661909876,0.00178222746946
page-blocks,0.0391723115847,0.0394686434712,0.0392861285254,0.0034311044493,0.0032476908084,0.00340218623966
pendigits,0.00526739181311,0.00535985650043,0.00527765163681,0.00100676544824,0.00101877251164,0.00100430689801
scene-classification,0.133346354581,0.135312340059,0.133189244046,0.00489442491798,0.00599104796752,0.00507658289945
segment,0.00367033280341,0.00354915647855,0.00377698535645,0.00228363502358,0.00224711526807,0.0022413909793
shuttle,0.0218486512986,0.0242524677045,0.0247624966526,0.00046546882034,0.00047592718782,0.000513356556901
sonar,0.153459609342,0.153712278434,0.155684359768,0.0225946347323,0.0222839076536,0.0215879081545
spambase,0.0588416275636,0.0603483113141,0.0612465228604,0.00508785524139,0.00505962683547,0.00485767141076
tic-tac,0.215890518256,0.216275580414,0.216255095808,0.00561296052193,0.00622901360699,0.00558543556991
vehicle,0.0371425040184,0.0383793365427,0.0375862558641,0.0105699572697,0.0110648808443,0.0103403601673
vowel,0.0411540226717,0.0418852916367,0.0414399440304,0.0069276295772,0.00640051001495,0.00627181748319
waveform-5000,0.100427708807,0.101701334289,0.101936526958,0.00606898733358,0.00587136050588,0.00615044814355
wdbc,0.0187581775094,0.0187814122764,0.0194068671342,0.0086689045186,0.00852943352324,0.0081525062473
wpbc,0.150685991044,0.153901177585,0.151126110369,0.0186073843567,0.0207472675594,0.0172400056564
yeast,0.18524674627,0.183305407961,0.187668077086,0.00845604500463,0.0076450728491,0.0087304201394
zoo,2.16353649254e-05,1.85525211005e-06,4.84341550631e-06,5.1594021488e-05,4.81199140932e-06,1.04841526816e-05
