,mean,mean,mean,mean,mean,std,std,std,std,std
,brier,brier,brier,brier,brier,brier,brier,brier,brier,brier
method,None,beta,beta05,beta2,sigmoid,None,beta,beta05,beta2,sigmoid
dataset,,,,,,,,,,
abalone,0.21700145004,0.21581191825,0.215250135181,0.216951719363,0.217640099776,0.00390574357823,0.0036709336322,0.00331021184315,0.00371596381661,0.00375339938556
autos,0.160436861097,0.161575056952,0.162178627663,0.162531618702,0.164108103181,0.0288085569995,0.0194074843191,0.019996575127,0.0188462493494,0.0204301187916
balance-scale,0.046948400846,0.0414567615225,0.0417505722339,0.0421031010324,0.0417760292874,0.00852946256284,0.0112633520059,0.011157009386,0.0107241129856,0.0117439250741
car,0.172457463253,0.170537686582,0.170735271611,0.172365130468,0.176028054061,0.00762362983345,0.00697135346877,0.00572175101323,0.00745254201948,0.00770226100709
cleveland,0.121747888027,0.122962310944,0.122284361352,0.122440936673,0.123009305284,0.0289489224588,0.0277921456185,0.0274000424521,0.0271185154583,0.0288989694646
credit-approval,0.0991850010337,0.0991567131939,0.0994086202758,0.0995021246695,0.0987737054413,0.0186961692571,0.0182813574071,0.0183314622472,0.0181748748656,0.0193547665045
dermatology,0.00185846130459,0.0021209344595,0.00192315883975,0.00214500249932,0.00234722152017,0.00222190987051,0.00401385529918,0.00396173297488,0.00408149816656,0.0046755229925
diabetes,0.157549852311,0.158013992131,0.157789376458,0.157836676202,0.158903688312,0.0136736681378,0.013310428946,0.0128625609407,0.0131099476586,0.0143832876026
ecoli,0.0334755128481,0.0304912822713,0.0306040883597,0.0311659956667,0.0304558909486,0.0157412106432,0.0193788057855,0.0187476877061,0.0180626089856,0.0193479499614
flare,0.130355216839,0.130596054287,0.130492727976,0.130350877161,0.132314423858,0.00870623857284,0.00876652298238,0.00865916777912,0.00872420428469,0.00986599064793
german,0.165749321635,0.16581795052,0.165888829154,0.165613525484,0.166132515543,0.0107893607083,0.00910976068831,0.00945544549278,0.00909292702632,0.00928434887324
glass,0.216745919804,0.21649725439,0.214661120466,0.217364039804,0.21817949303,0.0157611380044,0.0114031727952,0.0119481238932,0.00881403887349,0.0107502092303
heart-statlog,0.119856500909,0.120985641977,0.120696785027,0.120489208255,0.120949957731,0.0269706358589,0.0251413515377,0.0246243042201,0.0240431213888,0.0262358694901
hepatitis,0.112550786486,0.114895793381,0.116052254008,0.11298616023,0.113554850094,0.0340592079297,0.0286377041206,0.0279311230895,0.0275416295564,0.028818935813
horse,0.134232195969,0.13611459093,0.136556627724,0.136445720448,0.133905953948,0.028638610397,0.0212380223442,0.0216235937638,0.0207295836728,0.0228006679545
ionosphere,0.0893382044564,0.0889534223482,0.0877625004731,0.0919486562506,0.0904502769935,0.018560502492,0.0185743677972,0.0177126556348,0.0180541486158,0.020182999984
iris,0.00318450603215,5.60398099574e-05,6.06302794127e-06,3.36438922387e-05,1.625936378e-06,0.00127879058806,0.000171789601976,1.88722138517e-05,0.000111821460948,7.63595688917e-06
landsat-satellite,0.0107500365852,0.0107265068791,0.0107097500418,0.0107076251899,0.0109334159485,0.00215190410412,0.00223283962429,0.00221909585453,0.00221735035474,0.00262125791669
