,mean,mean,mean,mean,std,std,std,std
,brier,brier,brier,brier,brier,brier,brier,brier
method,None,beta2,isotonic,sigmoid,None,beta2,isotonic,sigmoid
dataset,,,,,,,,
abalone,0.21700145004,0.216951719363,0.215162385429,0.217640099776,0.00390574357823,0.00371596381661,0.0040511280164,0.00375339938556
autos,0.160436861097,0.162531618702,0.164987620464,0.164108103181,0.0288085569995,0.0188462493494,0.0280993417996,0.0204301187916
balance-scale,0.046948400846,0.0421031010324,0.0414406530612,0.0417760292874,0.00852946256284,0.0107241129856,0.0116024038414,0.0117439250741
car,0.172457463253,0.172365130468,0.167954817318,0.176028054061,0.00762362983345,0.00745254201948,0.00668625430844,0.00770226100709
cleveland,0.121747888027,0.122440936673,0.123226045028,0.123009305284,0.0289489224588,0.0271185154583,0.0292753053582,0.0288989694646
credit-approval,0.0991850010337,0.0995021246695,0.0999847562597,0.0987737054413,0.0186961692571,0.0181748748656,0.0195676159954,0.0193547665045
dermatology,0.00185846130459,0.00214500249932,0.00153274390663,0.00234722152017,0.00222190987051,0.00408149816656,0.00268545280089,0.0046755229925
diabetes,0.157549852311,0.157836676202,0.159183226238,0.158903688312,0.0136736681378,0.0131099476586,0.0135023726591,0.0143832876026
ecoli,0.0334755128481,0.0311659956667,0.0321697116707,0.0304558909486,0.0157412106432,0.0180626089856,0.0199867931355,0.0193479499614
flare,0.130355216839,0.130350877161,0.131197509252,0.132314423858,0.00870623857284,0.00872420428469,0.00838795632889,0.00986599064793
german,0.165749321635,0.165613525484,0.166329883249,0.166132515543,0.0107893607083,0.00909292702632,0.0100421960074,0.00928434887324
glass,0.216745919804,0.217364039804,0.218557603326,0.21817949303,0.0157611380044,0.00881403887349,0.0201326424554,0.0107502092303
heart-statlog,0.119856500909,0.120489208255,0.123242594441,0.120949957731,0.0269706358589,0.0240431213888,0.0268146352069,0.0262358694901
hepatitis,0.112550786486,0.11298616023,0.115034849673,0.113554850094,0.0340592079297,0.0275416295564,0.0331840655062,0.028818935813
horse,0.134232195969,0.136445720448,0.136924000701,0.133905953948,0.028638610397,0.0207295836728,0.024197301087,0.0228006679545
ionosphere,0.0893382044564,0.0919486562506,0.0901466926755,0.0904502769935,0.018560502492,0.0180541486158,0.0195871496603,0.020182999984
iris,0.00318450603215,3.36438922387e-05,0.000585342822212,1.625936378e-06,0.00127879058806,0.000111821460948,0.00110269818075,7.63595688917e-06
landsat-satellite,0.0107500365852,0.0107076251899,0.0107383289543,0.0109334159485,0.00215190410412,0.00221735035474,0.00230784523021,0.00262125791669
letter,0.0185810833786,0.0185193069886,0.0182682613277,0.0189342984326,0.000740883177846,0.000758319984526,0.000816077938964,0.000919323902508
libras-movement,0.0177806515496,0.0177321874263,0.0156633429127,0.0157993070426,0.00870439989972,0.00969122935835,0.00964352984371,0.0100282723035
lung-cancer,0.524741332306,0.0515195587116,0.0519863829537,0.0575116522504,0.0616953681612,0.0376249980276,0.0404078146635,0.0193335474121
mfeat-karhunen,0.00748356669606,0.00646198601582,0.00637143257056,0.00627536820067,0.00258707123029,0.00303212375862,0.00313184473495,0.00324288935603
mfeat-morphological,0.00180385677026,0.00152439835826,0.00153383652373,0.00152326276942,0.00189064255017,0.00193722655225,0.0019284243842,0.00193508782573
mfeat-zernike,0.00547683199104,0.00471686838437,0.00489519021114,0.00474302268636,0.00219512779602,0.00262347114929,0.00277408182861,0.00291806259383
mushroom,0.0285342895849,0.0275544411,0.0245415912753,0.0274361787792,0.00263528971119,0.00270865566487,0.00278485908872,0.00302890614355
optdigits,0.00876709537295,0.0085277047506,0.00862139695484,0.00878472824892,0.00163801256838,0.00178222746946,0.00184854782514,0.00208309959778
page-blocks,0.0392017086818,0.0392861285254,0.0383835270336,0.0399122677053,0.00338945511551,0.00340218623966,0.00357859129342,0.00384765379261
pendigits,0.006175886468,0.00527765163681,0.00532993624636,0.00538159694441,0.00081240150716,0.00100430689801,0.00104480967276,0.00114283553944
scene-classification,0.138318047669,0.133189244046,0.132823021188,0.134275459857,0.010426402532,0.00507658289945,0.00551806337406,0.00561867339761
segment,0.00634466806423,0.00377698535645,0.00356789263745,0.00353475469823,0.00180750821463,0.0022413909793,0.00238409824962,0.00240878508733
