,mean,mean,mean,std,std,std
,loss,loss,loss,loss,loss,loss
method,beta,beta05,beta2,beta,beta05,beta2
dataset,,,,,,
abalone,0.619319987375,0.618048002504,0.622232764346,0.00826443647907,0.00780910764683,0.00817971413573
autos,0.482409496692,0.483648444999,0.486673746922,0.0480133212234,0.0505842883821,0.0455039518594
balance-scale,0.144575969009,0.144674294336,0.145823498186,0.0363053435905,0.0357912150588,0.0352777429424
car,0.49698790958,0.495710839578,0.504986687256,0.0165379457271,0.014631271502,0.0171785091562
cleveland,0.393538198267,0.391832629712,0.391066112453,0.078201847436,0.0769239100299,0.0761923917549
credit-approval,0.338269181388,0.339040070576,0.339856312974,0.0566153554392,0.0558740378528,0.0564187051731
dermatology,0.0064958352618,0.00596985897595,0.00657529930389,0.0116003754882,0.0108900147268,0.0118173785722
diabetes,0.484251795394,0.483648495055,0.484590290904,0.0348734685887,0.0337039397772,0.0335889990164
ecoli,0.124768755107,0.124234474294,0.128099177988,0.0756326691216,0.0716205985591,0.0745228985741
flare,0.404421505592,0.404077199624,0.404264192037,0.0234644528627,0.0232163252749,0.0236156900317
german,0.502507149035,0.502641391608,0.501865410562,0.0255909410312,0.0267389131932,0.0254739279571
glass,0.621498903423,0.619800635445,0.622976673856,0.0284897052854,0.0372913400339,0.0206897867429
heart-statlog,0.389484869163,0.388364819015,0.385784068709,0.0678506490672,0.0658780695987,0.0633075665901
hepatitis,0.376139163542,0.379840219304,0.369898737702,0.0915623056791,0.0912604794796,0.0890444042376
horse,0.437857164882,0.439374219284,0.437783717147,0.0558338533739,0.056393821325,0.0538516376431
ionosphere,0.300093816844,0.297721377834,0.312156314751,0.0516869790954,0.049053163369,0.0551594530391
iris,0.000621703422941,0.000211628699446,0.000474973314052,0.001343196757,0.000424374964577,0.001031045779
landsat-satellite,0.0405896989624,0.0405007284315,0.0404584830424,0.00764958950345,0.00758646419324,0.0075857054176
letter,0.0694031815376,0.0694494258861,0.0694825877898,0.00309964690986,0.00304635234756,0.00309577699009
libras-movement,0.119284871143,0.0941836753837,0.127448942358,0.201091393924,0.103675561654,0.185325178326
lung-cancer,0.156019302569,0.636365587801,0.169503009916,0.104409058464,0.0568168531213,0.114181821162
mfeat-karhunen,0.027906890705,0.0292827132993,0.0295787449005,0.0156038599905,0.0153295416308,0.0170052228611
mfeat-morphological,0.0129708710977,0.0128951189848,0.0145100331259,0.0192156405834,0.0190824901625,0.0213316913162
mfeat-zernike,0.0217434293789,0.021361358473,0.0214513869789,0.0122515948653,0.011754611953,0.0116553727746
mushroom,0.0945316494085,0.100075622294,0.111217376842,0.00991805974741,0.0103454673698,0.015292613428
optdigits,0.0325983511136,0.0325745293045,0.0326554795783,0.00633353721264,0.00640029420954,0.00624128588876
page-blocks,0.147471773958,0.148110880178,0.151280579371,0.0131608215411,0.0126225613337,0.014962635565
pendigits,0.0208260215147,0.0211114928856,0.0208977778955,0.00400732756413,0.00399720787201,0.00407365897543
scene-classification,0.415275293312,0.421241044485,0.415041897319,0.0146233428684,0.0181048644416,0.0146807462048
segment,0.0265765362175,0.025943687811,0.0228199741896,0.0213142153015,0.0198606425986,0.0137385257827
shuttle,0.0893996092242,0.0921252917644,0.098775325303,0.00340729283157,0.00314767510475,0.00326179216968
sonar,0.469505416608,0.469489653045,0.474736923555,0.0562862420652,0.05488297367,0.0540297489917
spambase,0.213892244197,0.218513501075,0.226843947662,0.018280531558,0.0187286054714,0.0227499408725
tic-tac,0.621996619708,0.622816865788,0.622614778116,0.012554432704,0.0136823863402,0.0126786187506
vehicle,0.139995930406,0.143335988443,0.142683238805,0.0389091862324,0.0411219975991,0.0417902728054
vowel,0.150844215539,0.15150967936,0.153584305817,0.025049801171,0.0234717910997,0.0270827052568
waveform-5000,0.305241126679,0.308174847189,0.31317060468,0.0157812682319,0.015290310512,0.0164739886876
wdbc,0.0741894599115,0.0741180497587,0.0781596686711,0.036634850955,0.0354909489046,0.0396491388199
wpbc,0.466810850803,0.474474152074,0.467198173708,0.0508601347803,0.0579487419686,0.0468298266427
yeast,0.544616548955,0.541402371431,0.549714637733,0.0230195523512,0.0228463074155,0.0219958791239
zoo,0.000598643763498,0.000170039593197,0.000285842893404,0.000998832315315,0.000286416494691,0.000448206636766
