,mean,mean,mean,mean,mean,std,std,std,std,std
,loss,loss,loss,loss,loss,loss,loss,loss,loss,loss
method,None,beta,beta2,isotonic,sigmoid,None,beta,beta2,isotonic,sigmoid
dataset,,,,,,,,,,
abalone,0.622251347661,0.619319987375,0.622232764346,0.6266031399,0.62389136329,0.0086669785776,0.00826443647907,0.00817971413573,0.0277594968953,0.00813993734483
autos,0.477534325883,0.482409496692,0.486673746922,0.575222523831,0.495409388049,0.0748375260298,0.0480133212234,0.0455039518594,0.313710818436,0.0476622672928
balance-scale,0.164020728391,0.144575969009,0.145823498186,0.175939047319,0.149863528502,0.0218322194012,0.0363053435905,0.0352777429424,0.117057805973,0.0392484535464
car,0.504847462899,0.49698790958,0.504986687256,0.511288720971,0.520301319903,0.017556973665,0.0165379457271,0.0171785091562,0.0580120942145,0.0174863350977
cleveland,0.390271945594,0.393538198267,0.391066112453,0.469956943673,0.399032088896,0.0858421758241,0.078201847436,0.0761923917549,0.290397020008,0.076863845171
credit-approval,0.33916399818,0.338269181388,0.339856312974,0.441524920921,0.334519803447,0.0598939571868,0.0566153554392,0.0564187051731,0.202799726805,0.0560553003622
dermatology,0.015494784886,0.0064958352618,0.00657529930389,0.00507444633389,0.00807902878137,0.00593125289425,0.0116003754882,0.0118173785722,0.0065426539889,0.0166042321876
diabetes,0.484331731281,0.484251795394,0.484590290904,0.564396294767,0.485774252403,0.0356777139517,0.0348734685887,0.0335889990164,0.152763947789,0.0339803190197
ecoli,0.134748186729,0.124768755107,0.128099177988,0.361878265675,0.12529880619,0.0509327636572,0.0756326691216,0.0745228985741,0.471069680522,0.0749502950431
flare,0.403778370439,0.404421505592,0.404264192037,0.410846481259,0.413186845461,0.0236666527352,0.0234644528627,0.0236156900317,0.0325352357144,0.0258845699373
german,0.502739244902,0.502507149035,0.501865410562,0.541497233184,0.50492561677,0.0320755722127,0.0255909410312,0.0254739279571,0.120359340186,0.0236861913191
glass,0.624454013859,0.621498903423,0.622976673856,0.720903820281,0.624483278632,0.0458369032629,0.0284897052854,0.0206897867429,0.270919232926,0.0236356859974
heart-statlog,0.384797331022,0.389484869163,0.385784068709,0.539223643203,0.394281970853,0.077803803117,0.0678506490672,0.0633075665901,0.37685939251,0.066572335784
hepatitis,0.368377666111,0.376139163542,0.369898737702,0.812840900661,0.372006342542,0.109934422154,0.0915623056791,0.0890444042376,1.13608093847,0.0816280371239
horse,0.443179369862,0.437857164882,0.437783717147,0.573286561123,0.429909515562,0.0934167742456,0.0558338533739,0.0538516376431,0.296958055255,0.0555541588575
ionosphere,0.304339951546,0.300093816844,0.312156314751,0.338710225213,0.304784773559,0.0640194747318,0.0516869790954,0.0551594530391,0.15156802166,0.0522429738567
iris,0.0375481927384,0.000621703422941,0.000474973314052,0.00344517975711,9.98833965171e-05,0.0060847399277,0.001343196757,0.001031045779,0.00463699595233,0.000223750333889
landsat-satellite,0.0406941558514,0.0405896989624,0.0404584830424,0.0503541406661,0.0473236903898,0.0070056380789,0.00764958950345,0.0075857054176,0.0192810280807,0.0100384556049
letter,0.0695496841154,0.0694031815376,0.0694825877898,0.0702813253283,0.0792606388582,0.00292863111728,0.00309964690986,0.00309577699009,0.00451067781047,0.00375450417582
libras-movement,0.0975707533633,0.119284871143,0.127448942358,0.19584001168,0.0833581998636,0.0551925149523,0.201091393924,0.185325178326,0.300989268389,0.0847335700765
lung-cancer,2.76916049022,0.156019302569,0.169503009916,0.334615741318,0.171264254656,0.747277376673,0.104409058464,0.114181821162,0.81812475728,0.0522932285706
mfeat-karhunen,0.0352591136717,0.027906890705,0.0295787449005,0.0487291630486,0.0283973806516,0.00943140898575,0.0156038599905,0.0170052228611,0.0567543889472,0.0157478171864
mfeat-morphological,0.0211170932338,0.0129708710977,0.0145100331259,0.0309605720126,0.0127383433358,0.00849858012812,0.0192156405834,0.0213316913162,0.054905167583,0.0170859638457
mfeat-zernike,0.0276178869741,0.0217434293789,0.0214513869789,0.0428379546074,0.0224719206773,0.0074613613056,0.0122515948653,0.0116553727746,0.0414287032102,0.0133503945327
mushroom,0.114548034211,0.0945316494085,0.111217376842,0.0928512026274,0.107506725561,0.0127942707535,0.00991805974741,0.015292613428,0.0138443589274,0.0114071207593
optdigits,0.0348936105672,0.0325983511136,0.0326554795783,0.0391644680866,0.0372921669164,0.00518403525505,0.00633353721264,0.00624128588876,0.0161366669551,0.00803152098727
page-blocks,0.150709760917,0.147471773958,0.151280579371,0.156575657013,0.154296235494,0.0146967028507,0.0131608215411,0.014962635565,0.0331878811873,0.012953654867
pendigits,0.0268366981373,0.0208260215147,0.0208977778955,0.0272550107498,0.0221283307733,0.00236944099838,0.00400732756413,0.00407365897543,0.0105895362164,0.00462640026569
scene-classification,0.462589759327,0.415275293312,0.415041897319,0.418008023275,0.425239779674,0.0462764401933,0.0146233428684,0.0146807462048,0.0255916129758,0.0139013951419
segment,0.0406624333607,0.0265765362175,0.0228199741896,0.0483138942481,0.0216237159638,0.00622507251318,0.0213142153015,0.0137385257827,0.053066395042,0.0132445011513
shuttle,0.0989627883223,0.0893996092242,0.098775325303,0.0634846078715,0.0926625307309,0.00315781054415,0.00340729283157,0.00326179216968,0.00215433733749,0.00249921822058
sonar,0.486425423721,0.469505416608,0.474736923555,0.533150971068,0.479271348044,0.101223605053,0.0562862420652,0.0540297489917,0.255406986317,0.0541061600174
spambase,0.225862162213,0.213892244197,0.226843947662,0.215303887259,0.21059271272,0.0258732998576,0.018280531558,0.0227499408725,0.0329318628551,0.0187873815191
tic-tac,0.623483838579,0.621996619708,0.622614778116,0.647148905535,0.622764754095,0.0167298657664,0.012554432704,0.0126786187506,0.0932098191448,0.0125882303197
vehicle,0.164044730726,0.139995930406,0.142683238805,0.215777509686,0.13994071317,0.0267488477301,0.0389091862324,0.0417902728054,0.143425950006,0.0364912742177
vowel,0.156965943464,0.150844215539,0.153584305817,0.172658884555,0.15325364411,0.0192267256227,0.025049801171,0.0270827052568,0.104284796157,0.0244073419187
waveform-5000,0.313225323864,0.305241126679,0.31317060468,0.316796948134,0.332239165566,0.0172537327465,0.0157812682319,0.0164739886876,0.0293904888971,0.0181267297365
wdbc,0.0785457182514,0.0741894599115,0.0781596686711,0.135549176895,0.0769167082293,0.0301398573403,0.036634850955,0.0396491388199,0.168516222597,0.0365343541354
wpbc,0.47201531825,0.466810850803,0.467198173708,0.569562318143,0.470951025991,0.0669533049286,0.0508601347803,0.0468298266427,0.317798791013,0.0478761745208
yeast,0.54940564564,0.544616548955,0.549714637733,0.552882969267,0.556602534306,0.0235740076903,0.0230195523512,0.0219958791239,0.0531561967473,0.0211666032298
zoo,0.0308774438063,0.000598643763498,0.000285842893404,0.00419335205531,3.53415250541e-05,0.00865070522342,0.000998832315315,0.000448206636766,0.00478514786362,4.15516195568e-05
