,mean,mean,mean,std,std,std
,time,time,time,time,time,time
method,beta,beta05,beta2,beta,beta05,beta2
dataset,,,,,,
abalone,0.0267916320282,0.0252713946049,0.025102420417,0.000906221872134,0.000763718309826,0.000963722822175
autos,0.0155575340826,0.0145923504558,0.0147912899198,0.000546562904826,0.000210523114081,0.000967825997357
balance-scale,0.0162333384649,0.015823578112,0.0159220677032,0.00016935635541,0.000993461159059,0.00121536739932
car,0.0193290946102,0.0188676382546,0.0187672123295,0.000427479988751,0.000966041078052,0.00101623786273
cleveland,0.015548649527,0.0149361078326,0.015039277467,0.000550526961567,0.000453845804372,0.000814586233823
credit-approval,0.0170747951625,0.0164120456372,0.0164907374148,0.000760372817629,0.000407927376197,0.000927463788308
dermatology,0.0167370315253,0.0163391560185,0.0163881767332,0.00139620250636,0.00158297254535,0.00175969768062
diabetes,0.016904089906,0.0163634251895,0.0162391098339,0.000624462548667,0.000731842664116,0.000459551527257
ecoli,0.0159261490567,0.0150891534527,0.0150026684457,0.00102960645084,0.000981941883684,0.000334968960383
flare,0.0190362566498,0.0182689074768,0.0181169087084,0.000964684744928,0.000890880768188,0.000503050984964
german,0.0191443013291,0.018243625665,0.0182485349207,0.00108137282536,0.000229148206718,0.000539968096917
glass,0.0154258155009,0.0147245274627,0.0144945142916,0.00126200866524,0.00114974337141,0.000425939603358
heart-statlog,0.0155298404064,0.0147289919775,0.0151555840646,0.000855671311179,0.000181314849089,0.00170619764461
hepatitis,0.01564988967,0.0144943877115,0.0145640888798,0.000798902425244,0.000363457065634,0.000993832989974
horse,0.0160571321052,0.0154881681805,0.0154498451959,0.000417696345545,0.000646591889023,0.000483112136761
ionosphere,0.0172537212843,0.0167471374078,0.0168755478011,0.000541301489891,0.00123844058431,0.00196865456634
iris,0.00165961239121,0.00132395272061,0.00133248148336,4.67464068776e-05,3.55229221342e-05,5.63607144612e-05
landsat-satellite,0.0476384050906,0.0467263098476,0.0466498828279,0.00154818515339,0.00143609229096,0.00113848260059
letter,0.139089830827,0.151573972392,0.12912006979,0.00576569257678,0.00756882277944,0.00290055270395
libras-movement,0.0198013444861,0.0185331862267,0.0186015292246,0.000874192172357,0.000491867469782,0.000448886176761
lung-cancer,0.00216633311096,0.00160307555464,0.001618295958,0.000169133826988,4.57335522906e-05,4.78441966417e-05
mfeat-karhunen,0.0320070269068,0.0309324985888,0.031298027745,0.00136866001732,0.000407201012958,0.00179527818903
mfeat-morphological,0.0202565128889,0.0190464925335,0.0192647337541,0.000990957867539,0.000203232044423,0.000727874406623
mfeat-zernike,0.0289150100066,0.0279801371856,0.0279222592839,0.000477607104149,0.000907799713227,0.000430700889312
mushroom,0.0482869947486,0.0474923521665,0.0474752262191,0.00141300596186,0.00131650810472,0.00125206818494
optdigits,0.0566624758386,0.055787639623,0.0559456594995,0.000979124342461,0.000590545698675,0.00131248617986
page-blocks,0.030675708592,0.0302588734369,0.0298765672841,0.00108080703927,0.00170629013865,0.00122940676258
pendigits,0.0629078873095,0.0610794512581,0.0577052154428,0.00415325494182,0.00329731700499,0.00282025673128
scene-classification,0.0772044987257,0.0764726501428,0.0765956141702,0.00197339535597,0.00169817902262,0.00213913120721
segment,0.025627974205,0.025183329057,0.0249274798583,0.000318724154571,0.00149152808574,0.000998912535284
shuttle,0.294498544329,0.330595429432,0.324442729341,0.00702595513098,0.0117012025552,0.0113580259403
sonar,0.0163700073553,0.0155867193514,0.0157019414653,0.000370676457429,0.000352423138753,0.00113046049848
spambase,0.0458509125742,0.0452220694138,0.0451280785481,0.00148993070911,0.00114221147726,0.00127980628643
tic-tac,0.0176660303449,0.0170462017413,0.017112663143,0.000848867298285,0.0006423333084,0.000935233783659
vehicle,0.018171334736,0.017540962351,0.017529905407,0.000278248527236,0.00057719474648,0.000338776942833
vowel,0.017982477207,0.0173967636544,0.0172351379552,0.000360969017622,0.000935567140724,0.000424113069306
waveform-5000,0.0436096029832,0.0424396093122,0.0424397872086,0.00216290585975,0.00104702248355,0.00122216308093
wdbc,0.0182648637553,0.0174568105233,0.0174867176408,0.000294660075906,0.000186968164275,0.000366937766242
wpbc,0.0161526179846,0.0150187680676,0.0150406219531,0.00117382850642,0.000569758654768,0.000983196310827
yeast,0.0187556695917,0.0181287901336,0.0180237354818,0.000410121138089,0.000367723718347,0.000527321474127
zoo,0.00164098458801,0.0012999024991,0.00129518482407,7.42617471691e-05,9.74319360639e-05,5.48209145504e-05
