,mean,mean,mean,mean,std,std,std,std
,time,time,time,time,time,time,time,time
method,None,beta2,isotonic,sigmoid,None,beta2,isotonic,sigmoid
dataset,,,,,,,,
abalone,1.17441819333,0.025102420417,0.0244685003678,0.024950924548,0.0145372278724,0.000963722822175,0.00109962305197,0.000834343271455
autos,1.00575964147,0.0147912899198,0.014425572604,0.0148820957561,0.0112747869456,0.000967825997357,0.000367229223639,0.0014388825629
balance-scale,1.04371323789,0.0159220677032,0.0153555669592,0.0156423119686,0.0122281109939,0.00121536739932,0.000303922475852,0.000321989670701
car,1.04768497631,0.0187672123295,0.0181860282923,0.0186120387951,0.0108173326669,0.00101623786273,0.000730565745098,0.000953081478149
cleveland,0.45037557688,0.015039277467,0.0146332837276,0.0148883255504,0.0105285104405,0.000814586233823,0.000208956204524,0.000826641500026
credit-approval,1.16145379313,0.0164907374148,0.0161380441663,0.0164797009972,0.0107544344974,0.000927463788308,0.000446722579687,0.00116388567276
dermatology,0.41127579754,0.0163881767332,0.0159237542977,0.0162662390311,0.0349009916759,0.00175969768062,0.00117156000121,0.00157832106137
diabetes,0.99762767315,0.0162391098339,0.0158797009973,0.0162957185132,0.0142254494429,0.000459551527257,0.000137873131706,0.00093575542562
ecoli,0.825154188262,0.0150026684457,0.0148646927011,0.0149336001779,0.0165822797125,0.000334968960383,0.000847014725014,0.000564422584422
flare,1.17265121021,0.0181169087084,0.0176083440243,0.0181649065189,0.0203842334132,0.000503050984964,0.000514125697558,0.000978850749775
german,0.439539764972,0.0182485349207,0.0179592343614,0.0182637347976,0.0108304188311,0.000539968096917,0.000356597398815,0.000528319607316
glass,0.863909748379,0.0144945142916,0.0142937137579,0.0144057474214,0.0123825178924,0.000425939603358,0.000369581664163,0.000163542099557
heart-statlog,0.716057655531,0.0151555840646,0.0145268777476,0.0149222250731,0.0163596371801,0.00170619764461,0.000191165252687,0.000963386852466
hepatitis,0.568090354253,0.0145640888798,0.014273306991,0.0144805562683,0.0121643153779,0.000993832989974,0.000218145185251,0.000719660414351
horse,0.530376935051,0.0154498451959,0.0151988368314,0.015397437608,0.0118221933929,0.000483112136761,0.000610428832598,0.000509008452268
