,mean,mean,mean,mean,std,std,std,std
,acc,acc,acc,acc,acc,acc,acc,acc
method,None,beta,isotonic,sigmoid,None,beta,isotonic,sigmoid
dataset,,,,,,,,
abalone,63.921210579,64.4550370135,63.871063062,64.2490743224,1.16017465577,0.781423601299,0.928523267829,0.973281516249
autos,91.0214405886,91.718784513,91.2747490527,89.8578003337,4.32516731685,3.84715564939,4.27703144027,5.00626395473
balance-scale,99.1022317136,99.1670101033,99.2477863949,99.1990121514,0.881372563413,0.838093126325,0.843119195931,0.807258342315
car,95.0749428687,95.1906170184,95.2659967738,94.9882040597,1.16763971794,1.09955870381,0.985438058104,1.11983927643
cleveland,80.29366842,79.8891681278,79.752347555,80.3592051432,4.6966785946,4.60350330649,4.98734459984,4.75649448295
credit-approval,85.6510809801,85.1770814427,85.6359348031,85.5587804053,2.734932435,2.81761553751,2.79965004667,2.74710430054
dermatology,99.638009438,99.610982411,99.610982411,99.638009438,0.617020330861,0.630294148065,0.630294148065,0.617020330861
diabetes,75.5469824293,75.4816229522,75.350140056,75.4681266446,3.06990090452,2.72983005551,3.17715855449,3.08852205618
ecoli,95.698600491,95.7846657472,95.7895374148,95.6379944304,2.4604600433,2.32186870884,2.55930072538,2.42752938929
flare,82.3105365071,82.3033680483,82.12213071,82.0792774512,1.13622903999,1.1126703988,1.4150862256,1.28639171217
german,75.61,74.46,74.77,74.86,2.07337347119,1.93475200119,2.06083498037,1.97701073051
glass,79.8875180375,80.6010319138,79.8036326722,79.7862629618,5.25197672293,4.75683996404,4.19144346112,5.43310775618
heart-statlog,79.4444444444,80.0,78.7777777778,79.5185185185,5.18747924633,4.2821201207,4.66104233414,5.03910966206
hepatitis,83.1997311828,81.1057795699,82.7803763441,81.1615591398,6.57742861756,5.61491690646,5.23424936437,4.56885531964
horse,82.4469297027,83.1703158285,83.1386959341,82.7747615078,4.73476768035,3.81176916125,4.19359426037,4.18580661193
ionosphere,91.7975855131,92.509054326,92.2816901408,91.7975855131,2.65157880267,2.63133100924,2.45453314633,2.65157880267
iris,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
landsat-satellite,98.6574642425,98.7024676495,98.6496712206,98.6341444749,0.364277417256,0.362644661972,0.355092887398,0.361955472327
letter,99.0142820379,99.0140000377,99.0288607871,99.0142870589,0.0964366834375,0.0994297110924,0.101593229819,0.102941710544
libras-movement,97.3333333333,97.3266666667,97.5933333333,97.2733333333,1.45374643071,1.43725929662,1.68935576552,1.46104364277
lung-cancer,97.0842105263,95.0052631579,95.7368421053,93.9578947368,3.3519164666,4.3268994565,4.14830502981,4.50875869494
mfeat-karhunen,99.43,99.44,99.41,99.43,0.335181948761,0.34831958115,0.352686482732,0.335181948761
mfeat-morphological,99.78,99.78,99.765,99.78,0.212132034356,0.212132034356,0.210744549885,0.212132034356
mfeat-zernike,99.16,99.175,99.195,99.155,0.453894710438,0.47715675771,0.423451560972,0.457059144121
mushroom,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
optdigits,99.0125681602,99.0232490534,99.0339143128,99.0126331725,0.226999831505,0.217661665885,0.246809153453,0.239111923078
page-blocks,96.8611398685,96.8647677933,96.8775314803,96.7716185918,0.43937369337,0.420816877344,0.431934430891,0.480681506864
pendigits,99.6270213865,99.6342995002,99.6333808752,99.649765225,0.106306341822,0.102248856355,0.101618292552,0.105605388735
scene-classification,83.5892429255,83.2737001924,83.3109149406,83.2612349143,1.50050011599,1.25449158535,1.29638619073,1.25758791383
segment,99.7575757576,99.7619047619,99.7619047619,99.7619047619,0.221428741991,0.215343046957,0.228274939088,0.215343046957
shuttle,99.9979311509,99.9977340775,99.9973399888,99.9977340047,0.00488448669446,0.00499680255432,0.00598849065731,0.00590525777361
sonar,82.8707290063,82.8207330578,83.3435972233,82.9172406342,6.28964330477,5.84942377775,6.20186309312,6.11638833954
spambase,94.644658134,94.6294430877,94.6642351893,94.6381340243,0.708936579277,0.71766552704,0.698316809479,0.715559407289
tic-tac,98.2156204505,97.8086569415,97.9239486974,97.9235140927,0.827797625088,0.827415824633,0.95996315493,0.760525900241
vehicle,98.0744755391,98.0150809813,98.0146632703,98.0391781207,0.970707016024,0.92642548106,0.919848959033,1.05239338379
vowel,97.8686868687,97.8383838384,97.8181818182,97.7373737374,0.879461731945,0.872031453376,1.00721087253,0.914002171551
waveform-5000,89.1778372178,89.2679192919,89.1438831879,89.1718972379,0.79414873678,0.762251472963,0.833252966814,0.777571942545
wdbc,97.1692189304,97.186302424,97.0627164294,97.1869180454,1.64956695454,1.74779763817,1.95019396497,1.6562270953
wpbc,77.5784750337,77.1097840756,77.2568151147,76.494197031,4.55439747447,2.23942994571,3.82964788746,1.26649672178
yeast,74.2494947817,73.2669834177,73.4688089923,73.8601733984,2.02304200016,1.85088281151,1.87301686958,2.10989642374
zoo,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
