,mean,mean,mean,mean,std,std,std,std
,brier,brier,brier,brier,brier,brier,brier,brier
method,None,beta,isotonic,sigmoid,None,beta,isotonic,sigmoid
dataset,,,,,,,,
abalone,0.212698682473,0.212292664011,0.213033664173,0.213033851105,0.00459583103462,0.00362727702129,0.00408319311926,0.00376679845968
autos,0.0761748118147,0.0749827500528,0.072503987655,0.0890651367937,0.0286506837204,0.0214542625205,0.0235033045032,0.021108824646
balance-scale,0.00704774486621,0.00725505995424,0.00658057726468,0.00700982550949,0.00579627619196,0.005391283974,0.00571037408697,0.00601582533745
car,0.03350126276,0.0333099109267,0.0332462193778,0.0356055355716,0.006144583452,0.00600852823221,0.00596307670195,0.00737383470953
cleveland,0.151681802531,0.141192766127,0.142633696459,0.151143640536,0.0353293667019,0.0192082254182,0.0220014925783,0.0202576951933
credit-approval,0.110391962883,0.109423672562,0.108293691337,0.110160375747,0.018692489614,0.0128006096803,0.0147782069684,0.0140019472826
dermatology,0.00354965992178,0.00358982890296,0.00352548436649,0.0041274320024,0.00467460196445,0.00467670835614,0.00492934786576,0.00428918173289
diabetes,0.170973967326,0.163430899381,0.16406962162,0.166096077433,0.0178464599298,0.0104455008272,0.0124266317998,0.0112111645927
ecoli,0.0378507062772,0.0367906335582,0.037412253719,0.0400568845295,0.0212801355409,0.0191254395754,0.0196843062468,0.0180007203776
flare,0.129718069159,0.130228685165,0.13092897823,0.130023240813,0.00844650745067,0.00785717289597,0.0088197123086,0.008919390994
german,0.171462429729,0.170541638235,0.169823141938,0.169653536371,0.0126330762609,0.00772255294668,0.0091854398052,0.00779689813534
glass,0.158124264081,0.154359861801,0.151127276397,0.159042729493,0.0403424955684,0.0206353426645,0.0254883490293,0.0207947859967
heart-statlog,0.155895188059,0.144356373695,0.143751673887,0.155975363874,0.0399842436167,0.0202261458751,0.0222059720439,0.0207722089642
hepatitis,0.139517514354,0.126379213894,0.123008159978,0.130629749283,0.0531248303726,0.0256382800522,0.0324172443903,0.0213149035789
horse,0.140408138552,0.130630612024,0.129818057754,0.136645025044,0.0357828183954,0.0203875098408,0.0249548174486,0.0202240224389
ionosphere,0.0649120258733,0.0584914784062,0.0590271865477,0.0658824873716,0.0199596619292,0.0161548104796,0.0171930245943,0.015612777311
iris,0.0142093366186,0.00167370989521,0.0,0.00223209244244,0.0,0.0,0.0,0.0
landsat-satellite,0.0102761211498,0.00970619012879,0.00987462794278,0.0106736681602,0.00249255936321,0.00203088243614,0.00195803005537,0.00251362162746
letter,0.00741747826738,0.00734388642012,0.00723702089257,0.00782042161791,0.00061256491459,0.000650882916692,0.000621086314341,0.000765204450245
libras-movement,0.0239567617859,0.0232742974685,0.0217883016582,0.025557882756,0.0140027138814,0.0131843971965,0.0141558817779,0.0122162510716
lung-cancer,0.0412614862471,0.0380732860627,0.0327638322061,0.041123524908,0.0161812377015,0.0172469676193,0.0188531281303,0.0173229148631
mfeat-karhunen,0.00542520314363,0.00510960993707,0.0051488050485,0.00564350684305,0.00286194112852,0.00274464747363,0.00257823036499,0.0028056181434
mfeat-morphological,0.00203122858531,0.00199301360024,0.00227897543421,0.00208167691012,0.00184876629557,0.0018477254086,0.00174589342054,0.00182500405906
mfeat-zernike,0.0074289679345,0.00721419005711,0.00709006104233,0.00761701551827,0.00386050575017,0.0037068796183,0.00318843747099,0.00372326133882
mushroom,4.08861287839e-19,2.09139334451e-09,9.44524123886e-20,1.47203846279e-07,2.58467029132e-18,4.648556567e-09,6.14242730405e-19,1.31300617178e-10
optdigits,0.00768099801592,0.00745682712065,0.00750068082377,0.00800477723003,0.00168310458609,0.00142871240756,0.00149994260801,0.00174436867914
page-blocks,0.0244613716046,0.0243393182363,0.024180543228,0.0256747913419,0.00328571470991,0.00276807292486,0.00283521838698,0.0033525387556
pendigits,0.00286099249805,0.00290211667651,0.00291864193741,0.00291327241565,0.000741172314332,0.000635273186349,0.000650262078044,0.000757287224669
scene-classification,0.125734088167,0.117571051794,0.117536892564,0.122891584567,0.00996752942103,0.00557213404784,0.00579327821033,0.00627183348399
segment,0.00203775403904,0.00192369465049,0.00192980140564,0.00209612091476,0.00155696017458,0.0015200748787,0.00158773347012,0.00152635774576
shuttle,2.55619275242e-05,2.49651883646e-05,2.51122820783e-05,2.72577685799e-05,4.78390993097e-05,4.7368859488e-05,5.06796680744e-05,5.13539131545e-05
sonar,0.138199250845,0.131517447981,0.126632054245,0.141804771965,0.044326251234,0.0261808207373,0.0299680797014,0.0241981642522
spambase,0.0411686765728,0.0416557624142,0.0415019244973,0.0420692732277,0.00434417862165,0.00385420917415,0.00403783841553,0.00474137939927
tic-tac,0.0223666593384,0.0173777877969,0.0174278651711,0.0168795397027,0.00546007874167,0.0060621282773,0.00718747048607,0.00644564678189
vehicle,0.0173876649598,0.0165234305661,0.0170025947834,0.0181699002553,0.0076383807414,0.00620082855002,0.00586150907949,0.00713677238745
vowel,0.0172172648516,0.0171387393596,0.0173058778136,0.0192252611748,0.0064094801952,0.0050195914012,0.00570661260365,0.00592480475245
waveform-5000,0.0776498672535,0.0763873640491,0.0767659021668,0.0790086170949,0.00571895575797,0.00459974779764,0.00472044709213,0.00537534191166
wdbc,0.0233223319029,0.0222662779499,0.0229759084913,0.0244157423288,0.0119528984787,0.0110447894555,0.01163479272,0.0109950463762
wpbc,0.180787924131,0.165146846161,0.164982795256,0.167264811804,0.0308865253473,0.0140593704405,0.0189818572338,0.00901104212339
