uncalibrated,beta,isotonic,sigmoid
0.2126986825,0.212292664,0.2130336642,0.2130338511
0.0761748118,0.0749827501,0.0725039877,0.0890651368
0.0070477449,0.00725506,0.0065805773,0.0070098255
0.0335012628,0.0333099109,0.0332462194,0.0356055356
0.1516818025,0.1411927661,0.1426336965,0.1511436405
0.1103919629,0.1094236726,0.1082936913,0.1101603757
0.0035496599,0.0035898289,0.0035254844,0.004127432
0.1709739673,0.1634308994,0.1640696216,0.1660960774
0.0378507063,0.0367906336,0.0374122537,0.0400568845
0.1297180692,0.1302286852,0.1309289782,0.1300232408
0.1714624297,0.1705416382,0.1698231419,0.1696535364
0.1581242641,0.1543598618,0.1511272764,0.1590427295
0.1558951881,0.1443563737,0.1437516739,0.1559753639
0.1395175144,0.1263792139,0.12300816,0.1306297493
0.1404081386,0.130630612,0.1298180578,0.136645025
0.0649120259,0.0584914784,0.0590271865,0.0658824874
0.0142093366,0.0016737099,0,0.0022320924
0.0102761211,0.0097061901,0.0098746279,0.0106736682
0.0074174783,0.0073438864,0.0072370209,0.0078204216
0.0239567618,0.0232742975,0.0217883017,0.0255578828
0.0412614862,0.0380732861,0.0327638322,0.0411235249
0.0054252031,0.0051096099,0.005148805,0.0056435068
0.0020312286,0.0019930136,0.0022789754,0.0020816769
0.0074289679,0.0072141901,0.007090061,0.0076170155
0.00,0.000000002,0.00,0.0000001
0.007680998,0.0074568271,0.0075006808,0.0080047772
0.0244613716,0.0243393182,0.0241805432,0.0256747913
0.0028609925,0.0029021167,0.0029186419,0.0029132724
0.1257340882,0.1175710518,0.1175368926,0.1228915846
0.002037754,0.0019236947,0.0019298014,0.0020961209
0.00003,0.00002,0.00002,0.00003
0.1381992508,0.131517448,0.1266320542,0.141804772
0.0411686766,0.0416557624,0.0415019245,0.0420692732
0.0223666593,0.0173777878,0.0174278652,0.0168795397
0.017387665,0.0165234306,0.0170025948,0.0181699003
0.0172172649,0.0171387394,0.0173058778,0.0192252612
0.0776498673,0.076387364,0.0767659022,0.0790086171
0.0233223319,0.0222662779,0.0229759085,0.0244157423
0.1807879241,0.1651468462,0.1649827953,0.1672648118
0.1702550761,0.1711202881,0.1705608028,0.170754543
0.0162581653,0.0053559944,0.0018776826,0.0069044519
