,mean,mean,mean,mean,std,std,std,std
,loss,loss,loss,loss,loss,loss,loss,loss
method,None,beta,isotonic,sigmoid,None,beta,isotonic,sigmoid
dataset,,,,,,,,
abalone,0.611707473536,0.610854692187,0.62108323228,0.612610562366,0.0123748479984,0.00953385233547,0.020673133523,0.00864474234422
autos,0.868969326415,0.273883612142,0.466657381342,0.319351483566,0.66193823789,0.0609884170556,0.50577373572,0.0525948150343
balance-scale,0.026016386718,0.0285119551709,0.0391895945096,0.0400411123376,0.0219033300057,0.0181831142844,0.127584937439,0.0230002174496
car,0.107746383545,0.107547722784,0.14210785974,0.125607826072,0.0177436365291,0.0168125628078,0.0803951402299,0.0225288933677
cleveland,0.797393252719,0.444020243594,0.558481364826,0.478142627042,0.347375158954,0.0466694802448,0.296358795425,0.0460491901467
credit-approval,0.476223485888,0.366613687565,0.443377192165,0.369322807834,0.13180817659,0.0377164629477,0.180913824698,0.0343143819268
dermatology,0.070830696413,0.0251663814266,0.0798878603394,0.0361052645499,0.165551152156,0.036179748062,0.176438875598,0.0149287517249
diabetes,0.559196780388,0.492964844805,0.533835733037,0.50618908243,0.069206173405,0.0257612024577,0.0989872031311,0.0252672552159
ecoli,0.7409187269,0.154433150065,0.179975473672,0.174886437597,0.748127751538,0.070935810231,0.252005788043,0.0541825890625
flare,0.405611418979,0.405703023298,0.42602333956,0.408750095732,0.0260612757769,0.0226139936192,0.0725311689413,0.0242785784982
german,0.533572327991,0.515107498076,0.521405740404,0.514807940594,0.0485069813736,0.0210046257892,0.0466692381975,0.0185181744026
glass,1.39677937478,0.482337047204,0.539984685275,0.495630914519,0.933687190328,0.0518020407139,0.255131991335,0.0474046373487
heart-statlog,0.997806591802,0.452715436689,0.537695523028,0.489793512673,0.515881683879,0.0493484507149,0.245433450631,0.0458544079713
hepatitis,1.86833637345,0.402789295212,0.415537969701,0.420497684833,1.34988873813,0.0666295460148,0.20630213492,0.0542696618703
horse,1.37095778076,0.425736978864,0.490930577886,0.443745396994,0.68283051905,0.0517539999206,0.252005096974,0.0473451113103
ionosphere,0.982054360442,0.216722306543,0.272110554776,0.251953454368,0.556819758068,0.0459398753791,0.180066883301,0.0406605411597
iris,0.126928011043,0.0400953218703,1.11022302463e-16,0.0461797237391,0.0,0.0,0.0,0.0
landsat-satellite,0.047091117441,0.0350041278419,0.0392463810722,0.0497094201382,0.0149377424927,0.00637419162933,0.0122273614077,0.00908722632919
letter,0.0263340617783,0.0258322989905,0.0262417088915,0.0335115227206,0.0021415712814,0.00217102333778,0.0035059502741,0.00327352410028
libras-movement,0.654294818277,0.108148203908,0.196873522981,0.118768744075,0.572602115071,0.0527300835991,0.281010830509,0.0445010287592
lung-cancer,0.195731926367,0.152687523937,0.121783288685,0.163321462917,0.0399123850738,0.0494829873693,0.0625949290061,0.0492702731618
mfeat-karhunen,0.0887270892892,0.0249465738808,0.0410943563262,0.0335983824868,0.0788164353852,0.0126352033199,0.0445540533378,0.0130617620593
mfeat-morphological,0.057088541896,0.0143398134899,0.0245015908349,0.0159613817894,0.0688291910385,0.0146635051327,0.039096355178,0.0100503207072
mfeat-zernike,0.159388945828,0.035820753965,0.0475608602157,0.0410861077359,0.119090885311,0.0166386394686,0.0321685132808,0.0160730505827
mushroom,4.89270067213e-12,1.94034222393e-05,2.03829497664e-12,0.000276202879201,2.52731796297e-11,1.39262164015e-06,1.05913859929e-11,9.72280540375e-08
optdigits,0.0454891849029,0.0298634550129,0.039216398236,0.0392058998958,0.0210092040332,0.0058212006013,0.01791838841,0.00721071773561
page-blocks,0.0945869428561,0.0844595436568,0.0917246058941,0.101680074134,0.0185377229621,0.00925752670018,0.0235447911511,0.011072982143
pendigits,0.0141391797088,0.0120329954747,0.0168913975625,0.0153617845925,0.0059468974465,0.00246406967998,0.00856175994543,0.00360922685431
scene-classification,0.531852283449,0.370720103844,0.374284284554,0.399562053062,0.0526668864223,0.0140400110605,0.0260462969782,0.0150658694782
segment,0.0278280755315,0.0101834145033,0.0241458292517,0.0140478003875,0.0439843550137,0.00859221843903,0.0405416388121,0.00711601575415
shuttle,0.000304350874563,0.000156513117294,0.000191423719284,0.000516264939057,0.00133369262601,0.000389693160789,0.000515472186431,0.00151910019973
sonar,2.04852488731,0.427003186597,0.467247760231,0.457484457035,1.09121263135,0.060647043641,0.249671924779,0.0541192428608
spambase,0.154321997699,0.151744577319,0.160572759295,0.159557357173,0.0206827262143,0.0142026022915,0.0313240661393,0.0148214228774
tic-tac,0.109155670384,0.0756671481265,0.0874614549574,0.0765166320305,0.0156209069097,0.0217339747534,0.0637178446492,0.0226015907583
vehicle,0.162697975302,0.0661324999374,0.118826658412,0.0875489879283,0.140734555582,0.0226474436178,0.130904626391,0.0239342825423
vowel,0.104751362339,0.0644227617724,0.0757579387862,0.0858174562383,0.0863800023761,0.0164591265127,0.0552905405107,0.020707540082
waveform-5000,0.257452620762,0.245553837504,0.253852376689,0.270562608066,0.0221857516487,0.0130825638164,0.0205221152031,0.015208207702
wdbc,0.384643602276,0.0964561454002,0.143531334674,0.114565960801,0.336935630586,0.0368647102736,0.176878163265,0.0348040654478
wpbc,2.70822070105,0.507839728842,0.567818669082,0.512973447202,1.05378195188,0.0359949744615,0.232922768053,0.0224321507774
yeast,0.511395846629,0.504733778448,0.537760840306,0.510381584963,0.0353780078678,0.0201773541608,0.0967884530632,0.0194221673264
zoo,0.132501970329,0.0653303498028,0.0118602664425,0.0776108057114,0.012047847479,0.0190355680418,0.0209447897441,0.0194886526034
