dataset,None,beta,isotonic,sigmoid
abalone,"0,6117074735","0,6108546922","0,6210832323","0,6126105624"
autos,"0,8689693264","0,2738836121","0,4666573813","0,3193514836"
balance-scale,"0,0260163867","0,0285119552","0,0391895945","0,0400411123"
car,"0,1077463835","0,1075477228","0,1421078597","0,1256078261"
cleveland,"0,7973932527","0,4440202436","0,5584813648","0,478142627"
credit-approval,"0,4762234859","0,3666136876","0,4433771922","0,3693228078"
dermatology,"0,0708306964","0,0251663814","0,0798878603","0,0361052645"
diabetes,"0,5591967804","0,4929648448","0,533835733","0,5061890824"
ecoli,"0,7409187269","0,1544331501","0,1799754737","0,1748864376"
flare,"0,405611419","0,4057030233","0,4260233396","0,4087500957"
german,"0,533572328","0,5151074981","0,5214057404","0,5148079406"
glass,"1,3967793748","0,4823370472","0,5399846853","0,4956309145"
heart-statlog,"0,9978065918","0,4527154367","0,537695523","0,4897935127"
hepatitis,"1,8683363735","0,4027892952","0,4155379697","0,4204976848"
horse,"1,3709577808","0,4257369789","0,4909305779","0,443745397"
ionosphere,"0,9820543604","0,2167223065","0,2721105548","0,2519534544"
iris,"0,126928011","0,0400953219","1,11022302463E-16","0,0461797237"
landsat-satellite,"0,0470911174","0,0350041278","0,0392463811","0,0497094201"
letter,"0,0263340618","0,025832299","0,0262417089","0,0335115227"
libras-movement,"0,6542948183","0,1081482039","0,196873523","0,1187687441"
lung-cancer,"0,1957319264","0,1526875239","0,1217832887","0,1633214629"
mfeat-karhunen,"0,0887270893","0,0249465739","0,0410943563","0,0335983825"
mfeat-morphological,"0,0570885419","0,0143398135","0,0245015908","0,0159613818"
mfeat-zernike,"0,1593889458","0,035820754","0,0475608602","0,0410861077"
mushroom,"4,89270067213E-12","1,94034222393E-05","2,03829497664E-12","0,0002762029"
optdigits,"0,0454891849","0,029863455","0,0392163982","0,0392058999"
page-blocks,"0,0945869429","0,0844595437","0,0917246059","0,1016800741"
pendigits,"0,0141391797","0,0120329955","0,0168913976","0,0153617846"
scene-classification,"0,5318522834","0,3707201038","0,3742842846","0,3995620531"
segment,"0,0278280755","0,0101834145","0,0241458293","0,0140478004"
shuttle,"0,0003043509","0,0001565131","0,0001914237","0,0005162649"
sonar,"2,0485248873","0,4270031866","0,4672477602","0,457484457"
spambase,"0,1543219977","0,1517445773","0,1605727593","0,1595573572"
tic-tac,"0,1091556704","0,0756671481","0,087461455","0,076516632"
vehicle,"0,1626979753","0,0661324999","0,1188266584","0,0875489879"
vowel,"0,1047513623","0,0644227618","0,0757579388","0,0858174562"
waveform-5000,"0,2574526208","0,2455538375","0,2538523767","0,2705626081"
wdbc,"0,3846436023","0,0964561454","0,1435313347","0,1145659608"
wpbc,"2,7082207011","0,5078397288","0,5678186691","0,5129734472"
yeast,"0,5113958466","0,5047337784","0,5377608403","0,510381585"
zoo,"0,1325019703","0,0653303498","0,0118602664","0,0776108057"
