,,mean,mean,std,std
,,acc,loss,acc,loss
dataset,method,,,,
abalone,None,0.63921210579,0.611707473536,0.0116017465577,0.0123748479984
abalone,beta,0.644550370135,0.610854692187,0.00781423601299,0.00953385233547
abalone,beta05,0.64043260623,0.610812747832,0.0117301385474,0.0103991361907
abalone,beta2,0.644431154709,0.611281064508,0.00833915136765,0.00917605683173
abalone,isotonic,0.63871063062,0.62108323228,0.00928523267829,0.020673133523
abalone,sigmoid,0.642490743224,0.612610562366,0.00973281516249,0.00864474234422
autos,None,0.910214405886,0.868969326415,0.0432516731685,0.66193823789
autos,beta,0.91718784513,0.273883612142,0.0384715564939,0.0609884170556
autos,beta05,0.913182312889,0.275143442356,0.0426852523235,0.0612328630363
autos,beta2,0.920669682,0.275246088389,0.0377718420058,0.0592578318936
autos,isotonic,0.912747490527,0.466657381342,0.0427703144027,0.50577373572
autos,sigmoid,0.898578003337,0.319351483566,0.0500626395473,0.0525948150343
balance-scale,None,0.991022317136,0.026016386718,0.00881372563413,0.0219033300057
balance-scale,beta,0.991670101033,0.0285119551709,0.00838093126325,0.0181831142844
balance-scale,beta05,0.991346209084,0.0291556270874,0.00868312976902,0.0189034988378
balance-scale,beta2,0.991990121514,0.0279726488043,0.00807258342315,0.0209452789274
balance-scale,isotonic,0.992477863949,0.0391895945096,0.00843119195931,0.127584937439
balance-scale,sigmoid,0.991990121514,0.0400411123376,0.00807258342315,0.0230002174496
car,None,0.950749428687,0.107746383545,0.0116763971794,0.0177436365291
car,beta,0.951906170184,0.107547722784,0.0109955870381,0.0168125628078
car,beta05,0.950865707756,0.107896044885,0.0113047242024,0.0168375380679
car,beta2,0.951443406372,0.10789718327,0.0109053381293,0.0171129423474
car,isotonic,0.952659967738,0.14210785974,0.00985438058104,0.0803951402299
car,sigmoid,0.949882040597,0.125607826072,0.0111983927643,0.0225288933677
cleveland,None,0.8029366842,0.797393252719,0.046966785946,0.347375158954
cleveland,beta,0.798891681278,0.444020243594,0.0460350330649,0.0466694802448
cleveland,beta05,0.803247613481,0.443503015038,0.0468448726689,0.0459233427288
cleveland,beta2,0.804241768946,0.444358966557,0.0478192795991,0.0460193601393
cleveland,isotonic,0.79752347555,0.558481364826,0.0498734459984,0.296358795425
cleveland,sigmoid,0.803592051432,0.478142627042,0.0475649448295,0.0460491901467
credit-approval,None,0.856510809801,0.476223485888,0.02734932435,0.13180817659
credit-approval,beta,0.851770814427,0.366613687565,0.0281761553751,0.0377164629477
credit-approval,beta05,0.853453815904,0.365114732161,0.0262093211768,0.0375139768925
credit-approval,beta2,0.854068008328,0.36481080268,0.0274140740112,0.0373493949666
credit-approval,isotonic,0.856359348031,0.443377192165,0.0279965004667,0.180913824698
