,mean,mean,mean,std,std,std
,acc,acc,acc,acc,acc,acc
method,beta,beta05,beta2,beta,beta05,beta2
dataset,,,,,,
abalone,63.3786026668,61.3430139901,63.4145452732,0.917270449687,1.39833139394,0.949156080537
autos,72.0314360975,70.4285579491,69.9152227222,6.24137426408,6.12788682877,5.45938093952
balance-scale,95.985756747,95.4595181897,96.0013799908,2.02329853312,1.75352674126,2.05432880319
car,78.5127705337,78.7795738675,78.6401398037,2.26913647354,2.25270655754,2.3707242384
cleveland,83.4411844925,83.3722189753,83.4739723359,4.64240297783,4.64686709283,4.41215558832
credit-approval,84.4884037083,80.644988345,83.1425149914,2.89117115908,3.58901771242,3.06869328618
dermatology,98.825010725,98.825010725,98.825010725,1.18108564229,1.18108564229,1.18108564229
diabetes,74.8298955946,75.4542908072,74.686698922,3.39793164585,3.58022353066,2.92857571116
ecoli,95.9942475219,77.1995823291,95.9942475219,2.59450102066,4.08963934366,2.59450102066
flare,82.2891073909,52.4589620655,82.2891073909,1.13316749267,3.78758568151,1.13316749267
german,72.51,73.43,70.98,1.9730066148,2.33869403641,1.2974071474
glass,63.8797493204,59.9062703446,64.5702322226,3.60484270743,6.69562951382,3.34693126279
heart-statlog,84.4814814815,84.0,84.5925925926,4.73079195127,5.1943553508,4.40204008888
hepatitis,84.3428763441,72.2208333333,84.3592741935,5.53792806011,8.63263079922,5.03490137284
horse,80.4279614708,63.7984440122,80.660803927,3.82224027996,12.9570475426,3.42026505399
ionosphere,89.5452716298,88.8289738431,90.000804829,3.32758938284,3.37400891938,3.45055298439
iris,100.0,100.0,100.0,0.0,0.0,0.0
landsat-satellite,93.8120566121,93.5323750853,93.7421431501,0.653796779548,0.668879373168,0.637802833439
letter,97.2457366313,97.2791672451,97.041163722,0.20081907907,0.106827239925,0.189926775661
libras-movement,96.2933333333,95.9333333333,96.1533333333,2.0377836878,2.64617980751,2.0461899775
lung-cancer,94.7789473684,94.7789473684,94.8842105263,3.51231650537,3.51231650537,3.42792831325
mfeat-karhunen,98.37,98.395,98.4,0.578615518602,0.608381090288,0.612372435696
mfeat-morphological,99.85,99.85,99.85,0.195615199109,0.195615199109,0.195615199109
mfeat-zernike,97.045,92.78,96.81,0.806051727717,0.893057120462,0.815287604193
mushroom,90.3139560356,90.9442024752,91.399600789,0.702894960893,1.192858695,0.632521622662
optdigits,89.8220810425,89.8149381797,89.8220810425,0.021098268394,0.032459129547,0.021098268394
page-blocks,90.9264486546,89.9125122834,92.1031344463,1.02667931215,1.01648526458,0.497856088348
pendigits,97.1870760519,97.2343669963,97.1634272694,0.253918252012,0.233229094586,0.274247899889
scene-classification,77.8563468512,77.7981605289,77.8563468512,0.0702327514287,0.126014081175,0.0702327514287
segment,96.0952380952,84.1255411255,96.012987013,0.846773878875,1.51016432133,0.872500363155
shuttle,89.4894616029,89.4643394839,89.713105503,0.146190088527,0.171343694266,0.164722507359
sonar,71.2249142425,68.7441590363,70.0782486562,7.46973391686,6.92637514496,7.55796892364
spambase,84.2099269966,82.0670085858,83.4078962759,1.11627026583,1.14720165107,1.09909325945
tic-tac,71.3769842615,71.4185441138,71.4601017054,2.67876828622,1.81192308432,2.74795286885
vehicle,82.0354835627,81.715691661,81.4348201093,2.86107967042,3.82469808963,2.77096888277
vowel,95.3232323232,95.0404040404,95.3232323232,1.3758169352,1.32524580045,1.3758169352
waveform-5000,86.3878430018,85.6418584379,86.3678969799,1.15175187131,1.18056689484,1.09898813073
wdbc,93.3375913813,93.3732974221,93.4627164294,1.95867458023,2.09089617606,2.04713550512
wpbc,75.6771929825,71.7089068826,76.0942645074,2.75082490088,5.87644500297,1.6287006935
yeast,69.1168450652,68.7663639006,68.4697264214,1.36225469426,0.518100226811,0.66518835774
zoo,98.2581681476,98.2581681476,98.2581681476,3.02441564798,3.02441564798,3.02441564798
