,mean,mean,mean,mean,mean,mean,std,std,std,std,std,std
,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc
method,None,beta,beta05,beta2,isotonic,sigmoid,None,beta,beta05,beta2,isotonic,sigmoid
dataset,,,,,,,,,,,,
abalone,61.8506361404,63.3786026668,61.3430139901,63.4145452732,63.392799188,63.0434073397,1.43014921596,0.917270449687,1.39833139394,0.949156080537,1.04503116615,1.31442560528
autos,68.5025264752,72.0314360975,70.4285579491,69.9152227222,72.0215645875,70.3189190951,8.09836022736,6.24137426408,6.12788682877,5.45938093952,6.66051282772,5.10733779054
balance-scale,95.3464775892,95.985756747,95.4595181897,96.0013799908,95.7941378492,95.9855069749,1.68247440489,2.02329853312,1.75352674126,2.05432880319,2.14637714594,2.06339289541
car,78.7274835327,78.5127705337,78.7795738675,78.6401398037,78.7038916521,78.6406102971,2.22334498325,2.26913647354,2.25270655754,2.3707242384,2.21248751045,2.24272150481
cleveland,83.6412039743,83.4411844925,83.3722189753,83.4739723359,83.2394506137,83.540054549,4.6146200879,4.64240297783,4.64686709283,4.41215558832,4.25019552909,4.70328138165
credit-approval,80.7062919269,84.4884037083,80.644988345,83.1425149914,84.533158953,81.4577981815,3.50042369674,2.89117115908,3.58901771242,3.06869328618,2.97174123476,3.34069090783
dermatology,98.825010725,98.825010725,98.825010725,98.825010725,98.825010725,98.825010725,1.18108564229,1.18108564229,1.18108564229,1.18108564229,1.18108564229,1.18108564229
diabetes,75.3894406247,74.8298955946,75.4542908072,74.686698922,75.0376878024,75.2725575079,3.58920552187,3.39793164585,3.58022353066,2.92857571116,3.39846774423,3.35781959595
ecoli,65.6035497045,95.9942475219,77.1995823291,95.9942475219,95.7525778366,93.702984167,8.74149711809,2.59450102066,4.08963934366,2.59450102066,2.87936398873,3.11295013536
flare,50.9176671673,82.2891073909,52.4589620655,82.2891073909,81.9553977301,71.489245654,3.32597438064,1.13316749267,3.78758568151,1.13316749267,1.3107549533,0.140142391103
german,72.93,72.51,73.43,70.98,74.02,73.99,2.77012119384,1.9730066148,2.33869403641,1.2974071474,2.24281164649,2.32662056754
glass,58.6726366657,63.8797493204,59.9062703446,64.5702322226,63.8242441022,63.5209319105,5.25140468682,3.60484270743,6.69562951382,3.34693126279,6.31171126737,3.76931364359
heart-statlog,84.2962962963,84.4814814815,84.0,84.5925925926,84.3333333333,84.1481481481,5.05062415398,4.73079195127,5.1943553508,4.40204008888,5.02241553083,4.63015869993
hepatitis,60.4190860215,84.3428763441,72.2208333333,84.3592741935,84.4159946237,79.564516129,10.7785505922,5.53792806011,8.63263079922,5.03490137284,5.79165041311,1.44621968276
horse,50.2532647958,80.4279614708,63.7984440122,80.660803927,81.0924793924,67.4074094656,10.6024250293,3.82224027996,12.9570475426,3.42026505399,3.51463666338,6.24234172338
ionosphere,88.6869215292,89.5452716298,88.8289738431,90.000804829,89.8004024145,89.3436619718,3.39634063671,3.32758938284,3.37400891938,3.45055298439,3.68450243907,3.36533626573
iris,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
landsat-satellite,93.5292525757,93.8120566121,93.5323750853,93.7421431501,93.8261043054,93.6162419438,0.673878066773,0.653796779548,0.668879373168,0.637802833439,0.666483814326,0.694139724292
letter,97.2637386154,97.2457366313,97.2791672451,97.041163722,97.3634448422,97.1168736758,0.108512358722,0.20081907907,0.106827239925,0.189926775661,0.174204407302,0.186039919024
libras-movement,95.16,96.2933333333,95.9333333333,96.1533333333,96.2933333333,95.66,2.65920725404,2.0377836878,2.64617980751,2.0461899775,1.9916378474,2.3899733867
lung-cancer,94.7789473684,94.7789473684,94.7789473684,94.8842105263,93.7315789474,93.9421052632,3.51231650537,3.51231650537,3.51231650537,3.42792831325,3.66871453441,3.56588013805
mfeat-karhunen,98.395,98.37,98.395,98.4,98.385,98.4,0.5999362211,0.578615518602,0.608381090288,0.612372435696,0.608632626031,0.597614304667
mfeat-morphological,99.85,99.85,99.85,99.85,99.85,99.85,0.195615199109,0.195615199109,0.195615199109,0.195615199109,0.195615199109,0.195615199109
mfeat-zernike,92.64,97.045,92.78,96.81,97.35,93.165,0.917739014077,0.806051727717,0.893057120462,0.815287604193,0.75084985863,0.815365824996
mushroom,90.9712786414,90.3139560356,90.9442024752,91.399600789,92.6132743449,91.7233461834,1.05716969702,0.702894960893,1.192858695,0.632521622662,0.53171188325,0.576439987826
optdigits,54.229178099,89.8220810425,89.8149381797,89.8220810425,88.4648470733,89.8220810425,2.46637221885,0.021098268394,0.032459129547,0.021098268394,1.85379352731,0.021098268394
