,mean,mean,mean,mean,mean,mean,std,std,std,std,std,std
,brier,brier,brier,brier,brier,brier,brier,brier,brier,brier,brier,brier
method,None,beta,beta05,beta2,isotonic,sigmoid,None,beta,beta05,beta2,isotonic,sigmoid
dataset,,,,,,,,,,,,
abalone,0.302441223854,0.216163914714,0.220183131299,0.216492161302,0.215824053611,0.216941662118,0.0122083709806,0.00316442611833,0.00296175645225,0.00329324995716,0.00371498724047,0.00379148845391
autos,0.221477722277,0.178285270391,0.183688727172,0.185844344647,0.17813292831,0.188723692563,0.0541351744182,0.017693173954,0.0195265228947,0.0160451708246,0.0229598427403,0.0159887562813
balance-scale,0.0769682154737,0.0338809362124,0.0350402925331,0.0342439103066,0.0335933500718,0.0340816090509,0.00551628591269,0.0111063747738,0.0115117298645,0.0109708984381,0.0112884053474,0.0110792156827
car,0.134402336073,0.131726999494,0.133747161894,0.131591615837,0.129404479698,0.134211574541,0.0064338789413,0.00946557146889,0.00818611997732,0.00955817077645,0.00871098127992,0.0109446745858
cleveland,0.1377815612,0.129153036502,0.128236154077,0.128404052303,0.130408565434,0.129345738112,0.0379935163118,0.0273875445992,0.0272681018205,0.0267731143603,0.0279539861081,0.0298988883673
credit-approval,0.161584642861,0.116918847769,0.130539190005,0.12334290526,0.117299592166,0.14003731524,0.030099635505,0.0176590029004,0.0180575838259,0.0175976360712,0.0194862960375,0.0210944746418
dermatology,0.0111400443621,0.0110275391928,0.0111728284862,0.0109205632868,0.011089909,0.0112638793467,0.00994404173048,0.00948791030802,0.00948442436987,0.00937862566244,0.00956083517924,0.00954794894071
diabetes,0.178510271692,0.167261764802,0.167206445616,0.170616858301,0.168747470947,0.170651250703,0.0217934175152,0.0136517349913,0.013075573727,0.012428790893,0.0146861637555,0.0148303928327
ecoli,0.254418894779,0.0320043702219,0.145837568786,0.0318405347842,0.0336275734019,0.0800808976873,0.0496959110765,0.0183454682015,0.0227590094736,0.0183386113783,0.0199999079271,0.022550223931
flare,0.462256428597,0.134663965485,0.203647319526,0.136628567105,0.136041788534,0.18578884073,0.0321071524344,0.00778048485847,0.00844829220371,0.00748078053689,0.00803711618438,0.00501760203046
