,mean,mean,mean,mean,mean,std,std,std,std,std
,loss,loss,loss,loss,loss,loss,loss,loss,loss,loss
method,None,beta,beta05,beta2,sigmoid,None,beta,beta05,beta2,sigmoid
dataset,,,,,,,,,,
abalone,1.17014339612,0.621247800272,0.631349843272,0.621691588622,0.622918375904,0.0766066853801,0.00765680728225,0.00802891956232,0.00766502838108,0.00839512939552
autos,0.809784127275,0.529147612894,0.544570679446,0.549019869497,0.558045119208,0.305371959521,0.0433657579575,0.0520552402646,0.0412747818103,0.0374330870039
balance-scale,0.284039465638,0.117487077444,0.122214724687,0.11852375508,0.118171672679,0.0126274263104,0.0325781211447,0.0336145597837,0.0320315535481,0.0323208175469
car,0.39568137049,0.382150217068,0.388985619612,0.382031489261,0.396390237225,0.0146981568266,0.0223670614423,0.019186067602,0.0225804570232,0.0264600944458
cleveland,0.630622507342,0.414964234597,0.411927205153,0.414166956574,0.423573450722,0.219718746746,0.074457396527,0.0733818148979,0.073247526196,0.0756353172777
credit-approval,1.04309169976,0.389542478426,0.416050312727,0.40878495146,0.447733573875,0.331504154661,0.0509503811158,0.0505417562809,0.0585163888805,0.0546225700758
dermatology,0.28175344429,0.0597614413823,0.0600596116355,0.0573478675166,0.0616978677016,0.340420357132,0.0465570696063,0.045544857383,0.0423264799271,0.0473353783662
diabetes,0.611758715755,0.501829602544,0.502224284427,0.528312666123,0.516382688586,0.11564796536,0.032056341879,0.0311127714822,0.0424669267028,0.0339919667082
ecoli,1.37635546362,0.125970057117,0.444694330203,0.12537191637,0.27210864415,0.324384647627,0.075452499098,0.064567059127,0.0755425090378,0.0640515074209
flare,2.04741467018,0.421239418887,0.582143281566,0.439461849597,0.547521502913,0.830563053311,0.0233231420044,0.0226039831374,0.0289198474269,0.0161496201807
german,0.785651468851,0.53587427961,0.564427650972,0.560587148202,0.522943448698,0.19784644551,0.025662776811,0.0454831052763,0.0226849999303,0.0245259017559
glass,1.17859388823,0.598712095544,0.608830925203,0.590801768886,0.597773456267,0.774452321496,0.0531745920106,0.0513932500385,0.0518928544213,0.0435864058749
heart-statlog,0.567762772765,0.396818504865,0.395023495017,0.394788460786,0.406846152428,0.204936970512,0.0787398484351,0.0768145843901,0.0765417317088,0.0803358563412
hepatitis,2.74567917422,0.365366865957,0.503232363863,0.37722021131,0.404753259973,1.77568702823,0.103274044009,0.0831221073705,0.0904117792083,0.0721037631674
horse,2.50251814052,0.481731517918,0.629473141644,0.519766976607,0.59254012462,1.4687871327,0.0520830595609,0.0562077466018,0.0460400159119,0.0425067856637
ionosphere,1.0767811146,0.293027038158,0.293837998423,0.290592068166,0.318548035199,0.393098925864,0.0606904642676,0.0582154375211,0.059962586806,0.0682863246918
iris,0.000276212766768,0.000287085417112,0.000319470099739,0.000327200721569,0.000283903008291,0.00191069148088,0.00172606156051,0.00191676922997,0.00192060669177,0.00191123258301
landsat-satellite,0.630478287364,0.180434157788,0.184149823554,0.183004561869,0.221495925217,0.0943256085643,0.0158848475877,0.0157862456297,0.0159717229353,0.0171989873649
letter,0.0871460722946,0.0805382903815,0.0839505871204,0.0830184142475,0.0854966410325,0.00630395833862,0.00346262263147,0.00449885988211,0.00435501741991,0.00324686388317
libras-movement,0.377338956756,0.124230454934,0.14019550148,0.126237560395,0.131850553404,0.378689443486,0.0647138229878,0.0599489352743,0.0566072791073,0.0535514593661
lung-cancer,0.751552366601,0.163824259764,0.164102838142,0.1593707838,0.168855924798,0.990714867518,0.066915255375,0.0666985519626,0.0669685869806,0.0681799881124
mfeat-karhunen,0.12258564455,0.055306012772,0.0560307092163,0.0601901150025,0.0637313448237,0.0798530236257,0.0192793655192,0.019200907846,0.0217373603952,0.0209055589414
mfeat-morphological,0.0552620432054,0.0127852568285,0.0127859205328,0.0127688235953,0.0127098186687,0.0720673021586,0.0173023300607,0.0173067152968,0.0169886718337,0.0169472326187
mfeat-zernike,1.18903907338,0.0923926441854,0.135053083256,0.0965928834355,0.138463352273,0.17976352243,0.0218529333225,0.0158771970483,0.0212751977734,0.0162872678584
mushroom,0.611170238092,0.257788270574,0.317501512648,0.308777626286,0.269462994202,0.0870401159906,0.0148210948929,0.0166816352202,0.0223521544602,0.0194390685151
optdigits,11.9669558136,0.239973963511,0.312977432229,0.24860283251,0.269929975193,1.02428028807,0.00999429252606,0.00634027846263,0.0106389229658,0.00609666669544
page-blocks,0.991828454523,0.209556268488,0.209599189574,0.226848202718,0.260698016402,0.146604818019,0.0116319470776,0.0118011726833,0.0114158277658,0.0110093585652
pendigits,0.328378868861,0.0762877112687,0.0766956829709,0.0766185680388,0.0855642538954,0.0365380085371,0.00561856151961,0.00552037052142,0.00562775767333,0.00591475176406
scene-classification,11.5655685947,0.451761554842,0.479570653841,0.453163132004,0.463288659688,0.720033765748,0.0151385224612,0.0143176689765,0.0150735424664,0.0133935659101
segment,1.25602725715,0.109596626849,0.238578491917,0.112594967709,0.19621093834,0.13219291533,0.0218166956626,0.0142899532897,0.0221780493581,0.0211482781377
shuttle,0.674648151546,0.276425272444,0.276824112282,0.285343127291,0.322253885692,0.0245091089155,0.00278913723546,0.00283741956645,0.00319368539878,0.00310415284868
sonar,1.98727720719,0.53775232337,0.563264173212,0.561721647676,0.59221656302,0.941085664549,0.067550568763,0.067949099981,0.0703744926623,0.0617618939706
spambase,4.95885111193,0.359067557476,0.391416953389,0.373367611758,0.403118193521,0.461600705703,0.0236906205484,0.0168841444015,0.019272636935,0.0145711408072
tic-tac,0.588985377762,0.579237215832,0.586551885603,0.583048597818,0.581753144353,0.0161992855042,0.0221273435152,0.0167803679454,0.0216248423726,0.0219201374385
vehicle,0.42628021452,0.385890613138,0.393456041822,0.411992878123,0.40197203252,0.112614273828,0.0404150359493,0.04086385469,0.0411732450319,0.0464100271051
vowel,0.111589595202,0.111645831061,0.113305603565,0.111418907759,0.125718956374,0.0236222237961,0.0232670983628,0.0230949055101,0.0226721992267,0.0295139040127
