,mean,mean,mean,mean,std,std,std,std
,loss,loss,loss,loss,loss,loss,loss,loss
method,None,beta,isotonic,sigmoid,None,beta,isotonic,sigmoid
dataset,,,,,,,,
abalone,1.17014339612,0.621247800272,0.625900186981,0.622918375904,0.0766066853801,0.00765680728225,0.0174340520835,0.00839512939552
autos,0.809784127275,0.529147612894,0.548304002189,0.558045119208,0.305371959521,0.0433657579575,0.171589911837,0.0374330870039
balance-scale,0.284039465638,0.117487077444,0.156571113073,0.118171672679,0.0126274263104,0.0325781211447,0.120616089542,0.0323208175469
car,0.39568137049,0.382150217068,0.382109998975,0.396390237225,0.0146981568266,0.0223670614423,0.0443982350939,0.0264600944458
cleveland,0.630622507342,0.414964234597,0.605470592042,0.423573450722,0.219718746746,0.074457396527,0.38523493448,0.0756353172777
credit-approval,1.04309169976,0.389542478426,0.539121349747,0.447733573875,0.331504154661,0.0509503811158,0.236971489498,0.0546225700758
dermatology,0.28175344429,0.0597614413823,0.0813385258445,0.0616978677016,0.340420357132,0.0465570696063,0.117530648151,0.0473353783662
diabetes,0.611758715755,0.501829602544,0.56988665557,0.516382688586,0.11564796536,0.032056341879,0.162872996311,0.0339919667082
ecoli,1.37635546362,0.125970057117,0.364495360707,0.27210864415,0.324384647627,0.075452499098,0.470789872024,0.0640515074209
flare,2.04741467018,0.421239418887,0.425291947286,0.547521502913,0.830563053311,0.0233231420044,0.0253225608679,0.0161496201807
german,0.785651468851,0.53587427961,0.550254072679,0.522943448698,0.19784644551,0.025662776811,0.083095566833,0.0245259017559
glass,1.17859388823,0.598712095544,0.76942343696,0.597773456267,0.774452321496,0.0531745920106,0.461324915264,0.0435864058749
heart-statlog,0.567762772765,0.396818504865,0.507513953755,0.406846152428,0.204936970512,0.0787398484351,0.440059746432,0.0803358563412
hepatitis,2.74567917422,0.365366865957,0.467460329866,0.404753259973,1.77568702823,0.103274044009,0.441649239344,0.0721037631674
horse,2.50251814052,0.481731517918,0.73264600389,0.59254012462,1.4687871327,0.0520830595609,0.408419388082,0.0425067856637
ionosphere,1.0767811146,0.293027038158,0.424917065559,0.318548035199,0.393098925864,0.0606904642676,0.370234053513,0.0682863246918
iris,0.000276212766768,0.000287085417112,0.00829805413929,0.000283903008291,0.00191069148088,0.00172606156051,0.0136537288903,0.00191123258301
landsat-satellite,0.630478287364,0.180434157788,0.190658032674,0.221495925217,0.0943256085643,0.0158848475877,0.0273925705576,0.0171989873649
letter,0.0871460722946,0.0805382903815,0.0769192299306,0.0854966410325,0.00630395833862,0.00346262263147,0.0043267763585,0.00324686388317
libras-movement,0.377338956756,0.124230454934,0.252974317625,0.131850553404,0.378689443486,0.0647138229878,0.285807778486,0.0535514593661
lung-cancer,0.751552366601,0.163824259764,0.170989973203,0.168855924798,0.990714867518,0.066915255375,0.0698510477012,0.0681799881124
mfeat-karhunen,0.12258564455,0.055306012772,0.0921873572075,0.0637313448237,0.0798530236257,0.0192793655192,0.0831794136002,0.0209055589414
mfeat-morphological,0.0552620432054,0.0127852568285,0.0176031193565,0.0127098186687,0.0720673021586,0.0173023300607,0.0408816366708,0.0169472326187
mfeat-zernike,1.18903907338,0.0923926441854,0.106605925355,0.138463352273,0.17976352243,0.0218529333225,0.0587751565622,0.0162872678584
mushroom,0.611170238092,0.257788270574,0.227980256092,0.269462994202,0.0870401159906,0.0148210948929,0.0192890096437,0.0194390685151
optdigits,11.9669558136,0.239973963511,0.344097137135,0.269929975193,1.02428028807,0.00999429252606,0.113808504202,0.00609666669544
page-blocks,0.991828454523,0.209556268488,0.193935925222,0.260698016402,0.146604818019,0.0116319470776,0.0244501513912,0.0110093585652
pendigits,0.328378868861,0.0762877112687,0.0932404259676,0.0855642538954,0.0365380085371,0.00561856151961,0.015808135004,0.00591475176406
scene-classification,11.5655685947,0.451761554842,0.581520397831,0.463288659688,0.720033765748,0.0151385224612,0.0956597090327,0.0133935659101
segment,1.25602725715,0.109596626849,0.137567252308,0.19621093834,0.13219291533,0.0218166956626,0.0826570177427,0.0211482781377
shuttle,0.674648151546,0.276425272444,0.206079005483,0.322253885692,0.0245091089155,0.00278913723546,0.00232306706235,0.00310415284868
sonar,1.98727720719,0.53775232337,0.643414412225,0.59221656302,0.941085664549,0.067550568763,0.397451426226,0.0617618939706
spambase,4.95885111193,0.359067557476,0.701097274555,0.403118193521,0.461600705703,0.0236906205484,0.135978800994,0.0145711408072
tic-tac,0.588985377762,0.579237215832,0.589200999013,0.581753144353,0.0161992855042,0.0221273435152,0.0850558455718,0.0219201374385
vehicle,0.42628021452,0.385890613138,0.389199310882,0.40197203252,0.112614273828,0.0404150359493,0.0782556677252,0.0464100271051
vowel,0.111589595202,0.111645831061,0.161045000649,0.125718956374,0.0236222237961,0.0232670983628,0.129811152013,0.0295139040127
waveform-5000,0.358889777781,0.29085821897,0.306567463702,0.305848781896,0.0303325661642,0.0159517911121,0.0322227555831,0.0166860528511
wdbc,0.510768088464,0.146197515093,0.202595752473,0.22271974747,0.23848640044,0.0399208506857,0.149999843228,0.0511273697555
wpbc,1.3733895323,0.539377051762,0.740412782206,0.536518956351,0.593152181147,0.0474350208248,0.576271483062,0.028154291715
yeast,1.92245985703,0.549872052757,0.55702501734,0.566747136223,1.94521314758,0.0180797475697,0.0480830556034,0.0280813019311
zoo,0.58488047427,0.135638038254,0.314374209966,0.135636844306,1.04960144949,0.197704151742,0.628257938977,0.197704626727
