,,mean,mean,std,std
,,acc,loss,acc,loss
dataset,method,,,,
abalone,None,0.618506361404,1.17014339612,0.0143014921596,0.0766066853801
abalone,beta,0.633786026668,0.621247800272,0.00917270449687,0.00765680728225
abalone,beta05,0.613430139901,0.631349843272,0.0139833139394,0.00802891956232
abalone,beta2,0.634145452732,0.621691588622,0.00949156080537,0.00766502838108
abalone,isotonic,0.63392799188,0.625900186981,0.0104503116615,0.0174340520835
abalone,sigmoid,0.630434073397,0.622918375904,0.0131442560528,0.00839512939552
autos,None,0.685025264752,0.809784127275,0.0809836022736,0.305371959521
autos,beta,0.720314360975,0.529147612894,0.0624137426408,0.0433657579575
autos,beta05,0.704285579491,0.544570679446,0.0612788682877,0.0520552402646
autos,beta2,0.699152227222,0.549019869497,0.0545938093952,0.0412747818103
autos,isotonic,0.720215645875,0.548304002189,0.0666051282772,0.171589911837
autos,sigmoid,0.703189190951,0.558045119208,0.0510733779054,0.0374330870039
balance-scale,None,0.953464775892,0.284039465638,0.0168247440489,0.0126274263104
balance-scale,beta,0.95985756747,0.117487077444,0.0202329853312,0.0325781211447
balance-scale,beta05,0.954595181897,0.122214724687,0.0175352674126,0.0336145597837
balance-scale,beta2,0.960013799908,0.11852375508,0.0205432880319,0.0320315535481
balance-scale,isotonic,0.957941378492,0.156571113073,0.0214637714594,0.120616089542
balance-scale,sigmoid,0.959855069749,0.118171672679,0.0206339289541,0.0323208175469
car,None,0.787274835327,0.39568137049,0.0222334498325,0.0146981568266
car,beta,0.785127705337,0.382150217068,0.0226913647354,0.0223670614423
car,beta05,0.787795738675,0.388985619612,0.0225270655754,0.019186067602
car,beta2,0.786401398037,0.382031489261,0.023707242384,0.0225804570232
car,isotonic,0.787038916521,0.382109998975,0.0221248751045,0.0443982350939
car,sigmoid,0.786406102971,0.396390237225,0.0224272150481,0.0264600944458
cleveland,None,0.836412039743,0.630622507342,0.046146200879,0.219718746746
cleveland,beta,0.834411844925,0.414964234597,0.0464240297783,0.074457396527
cleveland,beta05,0.833722189753,0.411927205153,0.0464686709283,0.0733818148979
cleveland,beta2,0.834739723359,0.414166956574,0.0441215558832,0.073247526196
cleveland,isotonic,0.832394506137,0.605470592042,0.0425019552909,0.38523493448
cleveland,sigmoid,0.83540054549,0.423573450722,0.0470328138165,0.0756353172777
credit-approval,None,0.807062919269,1.04309169976,0.0350042369674,0.331504154661
credit-approval,beta,0.844884037083,0.389542478426,0.0289117115908,0.0509503811158
credit-approval,beta05,0.80644988345,0.416050312727,0.0358901771242,0.0505417562809
credit-approval,beta2,0.831425149914,0.40878495146,0.0306869328618,0.0585163888805
credit-approval,isotonic,0.84533158953,0.539121349747,0.0297174123476,0.236971489498
credit-approval,sigmoid,0.814577981815,0.447733573875,0.0334069090783,0.0546225700758
