,mean,mean,mean,std,std,std
,acc,acc,acc,acc,acc,acc
method,beta,beta05,beta2,beta,beta05,beta2
dataset,,,,,,
abalone,63.777907376,63.0906097555,63.6964442585,0.329315930345,1.40397620314,0.313079146734
autos,91.608524896,91.5496783661,91.5547662634,4.48304233444,4.47374581352,4.59335012335
balance-scale,98.9752475866,98.8948521974,98.9591185543,1.09676853185,0.926573034876,1.13505914157
car,95.1559013308,95.051754268,95.1559013308,1.10072433403,1.08078707634,1.10072433403
cleveland,78.2265341905,78.7719851938,78.3628092733,5.02017370433,4.72513866956,5.04598837387
credit-approval,83.9684780868,84.3958557981,83.8772184558,2.69556779363,2.34993045921,2.73490434567
dermatology,99.4078507079,99.4078507079,99.3507078507,1.11128190377,1.11128190377,1.15289091624
diabetes,73.5912061794,74.2448858331,72.095577625,2.16648730622,3.1300176937,2.6323999613
ecoli,95.724938228,95.7288907972,95.7543227738,2.57442858935,2.57169428955,2.56619578886
flare,82.2598135272,82.1447252809,82.2598135272,1.13490714563,1.25058327112,1.13490714563
german,71.53,73.86,70.6,2.0883789241,2.45789025178,1.16057691495
glass,79.1680089936,79.9783952482,78.4213530655,5.60766863676,4.80768762089,4.34312171606
heart-statlog,78.2222222222,78.5925925926,78.3333333333,5.08267088191,5.5259984716,5.35999989136
hepatitis,80.7327956989,81.6975806452,81.8262096774,4.2108303599,5.90716046604,4.4288867112
horse,83.0375845142,83.6721404094,83.3393164768,3.92905591912,4.3814666979,3.82658658467
ionosphere,93.2225352113,93.2519114688,93.3360160966,2.51100019707,2.54264344472,2.39244514131
iris,100.0,100.0,100.0,0.0,0.0,0.0
landsat-satellite,98.6449428624,98.6558112473,98.6496036774,0.335989470542,0.343247175321,0.348165315045
letter,99.1999958321,99.2065682023,99.1997118728,0.102390425727,0.0970113226741,0.100592592285
libras-movement,97.6933333333,97.3066666667,97.5533333333,1.80932329716,1.62022366251,1.75947064808
lung-cancer,95.6210526316,95.7263157895,95.7263157895,4.38570854961,4.29742497116,4.29742497116
mfeat-karhunen,99.325,99.315,99.315,0.347182537415,0.352867264169,0.349233855338
mfeat-morphological,99.775,99.775,99.77,0.2157686781,0.209773930794,0.213331207472
mfeat-zernike,99.185,99.17,99.19,0.412836133919,0.408581418459,0.402669662556
mushroom,100.0,100.0,100.0,0.0,0.0,0.0
optdigits,98.9253737834,98.9253262456,98.9182213993,0.280815462757,0.279921598129,0.288649424327
page-blocks,96.9378389751,96.9616133833,96.8647326777,0.425622993446,0.480973048311,0.46823908619
pendigits,99.6706697695,99.6852317794,99.6615730648,0.117885481623,0.108270226919,0.120931389315
scene-classification,82.5257671532,83.119577018,81.5079259798,1.16793695525,1.59159159868,1.10799975938
segment,99.7402597403,99.7792207792,99.7575757576,0.218647736916,0.207381356056,0.198668873274
shuttle,99.9977340629,99.997931083,99.9977340435,0.00489663743369,0.00478206391812,0.0047944744282
sonar,81.8928503903,82.0958863409,81.8022040353,6.17190249932,6.16183634122,6.49732173528
spambase,94.5229519411,94.5076660062,94.5077132653,0.618098383373,0.559606063592,0.573069280535
tic-tac,95.188591033,91.701864279,95.1990622372,1.46908972222,2.04184344399,1.47925898054
vehicle,97.8490341913,97.8833486132,97.8605883693,1.00903824027,0.978836359817,0.967292349256
vowel,97.9595959596,97.6868686869,97.8888888889,1.03030707232,0.89588195777,0.971698357231
waveform-5000,88.985971092,88.9619430519,88.9959470759,0.772810181073,0.773954213699,0.819758476646
wdbc,97.0111581377,97.0117737591,96.9403616776,1.66815295592,1.71230450335,1.64304762687
wpbc,76.6046558704,78.4159919028,76.4573549258,2.38983981673,4.36903269148,2.11737849968
yeast,69.1770191464,72.8955343543,69.2642591157,0.653731641682,2.10111046259,0.810136369072
zoo,100.0,100.0,100.0,0.0,0.0,0.0
