,mean,mean,mean,mean,mean,std,std,std,std,std
,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc
method,None,beta,beta05,beta2,sigmoid,None,beta,beta05,beta2,sigmoid
dataset,,,,,,,,,,
abalone,63.303623464,63.777907376,63.0906097555,63.6964442585,63.6964385146,1.42964769829,0.329315930345,1.40397620314,0.313079146734,0.308107728404
autos,91.4948200268,91.608524896,91.5496783661,91.5547662634,91.6741958534,4.9688121131,4.48304233444,4.47374581352,4.59335012335,4.61768126706
balance-scale,98.8300738077,98.9752475866,98.8948521974,98.9591185543,99.0228666342,1.01475797334,1.09676853185,0.926573034876,1.13505914157,1.06445438312
car,95.0343796209,95.1559013308,95.051754268,95.1559013308,95.1559349375,1.05877483776,1.10072433403,1.08078707634,1.10072433403,1.11133106764
cleveland,79.4828755114,78.2265341905,78.7719851938,78.3628092733,78.3628092733,4.70135358936,5.02017370433,4.72513866956,5.04598837387,5.04598837387
credit-approval,84.2576326981,83.9684780868,84.3958557981,83.8772184558,83.8772184558,2.46363888127,2.69556779363,2.34993045921,2.73490434567,2.73490434567
dermatology,99.4078507079,99.4078507079,99.4078507079,99.3507078507,99.4078507079,1.11128190377,1.11128190377,1.11128190377,1.15289091624,1.11128190377
diabetes,74.1152703506,73.5912061794,74.2448858331,72.095577625,72.069603599,2.87267828831,2.16648730622,3.1300176937,2.6323999613,2.65846961719
ecoli,96.0829465962,95.724938228,95.7288907972,95.7543227738,95.7833082811,2.45004275395,2.57442858935,2.57169428955,2.56619578886,2.52272363947
flare,82.1447998833,82.2598135272,82.1447252809,82.2598135272,82.2598135272,1.26720636557,1.13490714563,1.25058327112,1.13490714563,1.13490714563
german,73.81,71.53,73.86,70.6,70.56,2.47000371808,2.0883789241,2.45789025178,1.16057691495,1.15458270578
glass,80.4604483372,79.1680089936,79.9783952482,78.4213530655,78.51579751,4.91936916845,5.60766863676,4.80768762089,4.34312171606,4.38613596527
heart-statlog,79.0740740741,78.2222222222,78.5925925926,78.3333333333,78.3333333333,5.34692670143,5.08267088191,5.5259984716,5.35999989136,5.35999989136
hepatitis,82.9162634409,80.7327956989,81.6975806452,81.8262096774,81.6970430108,6.0882713229,4.2108303599,5.90716046604,4.4288867112,4.56065166339
horse,83.8699175697,83.0375845142,83.6721404094,83.3393164768,83.3726498101,4.32462735824,3.92905591912,4.3814666979,3.82658658467,3.8485441551
