,mean,mean,mean,mean,std,std,std,std
,acc,acc,acc,acc,acc,acc,acc,acc
method,None,beta2,isotonic,sigmoid,None,beta2,isotonic,sigmoid
dataset,,,,,,,,
abalone,63.303623464,63.6964442585,63.6363261615,63.6964385146,1.42964769829,0.313079146734,0.802765083999,0.308107728404
autos,91.4948200268,91.5547662634,92.0064004816,91.6741958534,4.9688121131,4.59335012335,4.29092249931,4.61768126706
balance-scale,98.8300738077,98.9591185543,98.97602188,99.0228666342,1.01475797334,1.13505914157,1.0575942755,1.06445438312
car,95.0343796209,95.1559013308,95.1677980911,95.1559349375,1.05877483776,1.10072433403,1.07173631944,1.11133106764
cleveland,79.4828755114,78.3628092733,78.5322618352,78.3628092733,4.70135358936,5.04598837387,5.02014236577,5.04598837387
credit-approval,84.2576326981,83.8772184558,84.3818662254,83.8772184558,2.46363888127,2.73490434567,2.46135490521,2.73490434567
dermatology,99.4078507079,99.3507078507,99.2966537967,99.4078507079,1.11128190377,1.15289091624,1.184746062,1.11128190377
diabetes,74.1152703506,72.095577625,73.9449961803,72.069603599,2.87267828831,2.6323999613,2.64904623552,2.65846961719
ecoli,96.0829465962,95.7543227738,95.7912545548,95.7833082811,2.45004275395,2.56619578886,2.48512463337,2.52272363947
flare,82.1447998833,82.2598135272,82.1949824104,82.2598135272,1.26720636557,1.13490714563,1.26383595797,1.13490714563
german,73.81,70.6,73.47,70.56,2.47000371808,1.16057691495,1.9676205458,1.15458270578
glass,80.4604483372,78.4213530655,79.5177707306,78.51579751,4.91936916845,4.34312171606,5.07377692239,4.38613596527
heart-statlog,79.0740740741,78.3333333333,77.962962963,78.3333333333,5.34692670143,5.35999989136,5.60259750914,5.35999989136
hepatitis,82.9162634409,81.8262096774,82.3180107527,81.6970430108,6.0882713229,4.4288867112,5.14535592874,4.56065166339
horse,83.8699175697,83.3393164768,83.0653977957,83.3726498101,4.32462735824,3.82658658467,4.1990312771,3.8485441551
ionosphere,93.3364185111,93.3360160966,93.1939637827,93.3360160966,2.65196539811,2.39244514131,2.53887431484,2.39244514131
iris,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
landsat-satellite,98.6356151734,98.6496036774,98.6620961439,98.6511613098,0.343246312344,0.348165315045,0.337181022395,0.347392611994
letter,99.2017078744,99.1997118728,99.1997151795,99.1982829733,0.0986738089024,0.100592592285,0.0975346473468,0.102199866174
libras-movement,97.08,97.5533333333,97.6066666667,97.64,1.58014896396,1.75947064808,1.80159918883,1.81057613511
lung-cancer,97.2947368421,95.7263157895,95.5210526316,95.5210526316,3.82020005106,4.29742497116,4.45658893294,4.45658893294
mfeat-karhunen,99.33,99.315,99.28,99.315,0.39266228934,0.349233855338,0.34493418479,0.349233855338
mfeat-morphological,99.765,99.77,99.79,99.77,0.210744549885,0.213331207472,0.210441712324,0.213331207472
mfeat-zernike,99.155,99.19,99.185,99.195,0.413083230236,0.402669662556,0.403460793938,0.401813491103
mushroom,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
optdigits,98.8986403262,98.9182213993,98.9413562973,98.9182213993,0.289399203533,0.288649424327,0.285818589869,0.288649424327
page-blocks,96.9963266977,96.8647326777,97.0474684151,96.8665625039,0.461066016902,0.46823908619,0.489228318042,0.470335283445
pendigits,99.6743160663,99.6615730648,99.6897859314,99.6597540561,0.114515989733,0.120931389315,0.106613978549,0.122345602317
scene-classification,83.2235793126,81.5079259798,83.0574231948,81.495495172,1.44955276173,1.10799975938,1.38814664852,1.1052575075
segment,99.7316017316,99.7575757576,99.7316017316,99.7532467532,0.249526790375,0.198668873274,0.21671509546,0.205156368774
shuttle,99.9950738236,99.9977340435,99.997044398,99.997832556,0.00562989022727,0.0047944744282,0.00613477031495,0.00499183812792
sonar,81.8647057235,81.8022040353,82.1005321017,81.8509845231,6.83868935687,6.49732173528,6.08543435466,6.45892373817
spambase,94.2555296025,94.5077132653,94.5903220585,94.5077132653,0.636954100972,0.573069280535,0.571248116516,0.573069280535
tic-tac,91.6182042857,95.1990622372,95.0735708344,95.1782283387,2.11788801788,1.47925898054,1.49450850477,1.45846676848
vehicle,97.7658351121,97.8605883693,97.6717117366,97.8605883693,0.941141526235,0.967292349256,0.970276963572,0.967292349256
vowel,97.4545454545,97.8888888889,98.0303030303,97.9090909091,0.865560332148,0.971698357231,0.902597114228,0.973411168267
waveform-5000,88.8299489659,88.9959470759,88.97396308,88.9959370739,0.787592297063,0.819758476646,0.720119309321,0.826594888399
wdbc,97.0822624086,96.9403616776,96.8009234321,96.9580607926,1.43680194133,1.64304762687,1.833469314,1.6425358012
wpbc,77.8056680162,76.4573549258,76.8755735493,76.4573549258,4.60520648586,2.11737849968,4.00790432764,2.11737849968
yeast,72.639155403,69.2642591157,72.142821761,69.2508587431,2.07609922514,0.810136369072,1.68924158295,0.81427800927
zoo,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
