,mean,mean,mean,std,std,std
,brier,brier,brier,brier,brier,brier
method,beta,beta05,beta2,beta,beta05,beta2
dataset,,,,,,
abalone,0.220081122816,0.220064402143,0.221679741743,0.00255057665479,0.00358136575814,0.00277305963622
autos,0.0735512021757,0.0733320829594,0.0770117674725,0.0245449143521,0.0243209595652,0.0217355854811
balance-scale,0.00858269946999,0.00927576938462,0.00856989930159,0.0058369886156,0.00622858311098,0.00588733086204
car,0.0334331952237,0.033527296717,0.0334308898283,0.00598595837923,0.00603119179285,0.00599270871934
cleveland,0.154946794675,0.15484933134,0.15588825372,0.0181592658183,0.0179011059652,0.0168924305746
credit-approval,0.121438546363,0.120967450138,0.12378745145,0.0129223290391,0.0121491354712,0.0130512826691
dermatology,0.00637615084383,0.00630208815115,0.00657230919336,0.00911012602952,0.00925337824153,0.00925046021962
diabetes,0.178156280731,0.179452786839,0.184084413492,0.00738473404887,0.00851651774185,0.00707959330772
ecoli,0.0370018161814,0.0367304113172,0.0367651191586,0.0191113599228,0.0187025163092,0.0185515343719
flare,0.133306840061,0.138533127236,0.133447175166,0.0080612715799,0.0103039892351,0.00796269079929
german,0.184404461355,0.186081398578,0.189564229466,0.00722965543156,0.00928445289092,0.00626633441083
glass,0.16182507009,0.161978217329,0.167071843699,0.0185353349266,0.0188012207432,0.0171904134266
heart-statlog,0.15438009702,0.154563773641,0.155241644845,0.0203389908274,0.019786271158,0.0189482515218
hepatitis,0.124242382851,0.124626553208,0.122803166676,0.0202321631726,0.0213799279336,0.0202411875974
horse,0.133100937317,0.137322380683,0.13607097752,0.0185287932068,0.0178859925789,0.0175173384907
ionosphere,0.0539592802095,0.0538808892001,0.0541846020011,0.0153360335802,0.0155299201075,0.0150143260843
iris,1.85907166304e-10,1.85907166304e-10,1.85909621068e-10,0.0,0.0,0.0
landsat-satellite,0.00994439258256,0.00987838092426,0.00994368322826,0.00197922429009,0.00200897170085,0.00196439988996
letter,0.00603349692991,0.00602001575807,0.00603369604888,0.000581491807766,0.000590719581525,0.00058085477049
libras-movement,0.0211121474895,0.0235294665664,0.0228801629529,0.0126759665606,0.0115303085938,0.0124023370254
lung-cancer,0.0321490928828,0.0321415352232,0.0320338812581,0.0215346813225,0.0215322997898,0.0215104862029
mfeat-karhunen,0.00618423062429,0.00634993917739,0.0063405872959,0.00260198377942,0.00271673922994,0.00257891331932
mfeat-morphological,0.00211325542915,0.00195210468399,0.00210073147647,0.00185145940292,0.0017676979077,0.00182694038837
mfeat-zernike,0.00704156172316,0.00705201758361,0.00711226444544,0.00300546064856,0.00305056560419,0.0029306540096
mushroom,5.44254227527e-06,5.39170838363e-06,5.43066634293e-06,3.83841537017e-05,3.80521517588e-05,3.8295555287e-05
optdigits,0.00832336153235,0.00827149413069,0.00841500226953,0.00173514956298,0.00174241521517,0.00171957927096
page-blocks,0.0242089359195,0.0238892537646,0.0245297883908,0.0027406003037,0.00284527098231,0.00276041476509
pendigits,0.00293163748201,0.00287781375498,0.00298768952605,0.000612660477269,0.000590950554932,0.000617565050995
scene-classification,0.122598757864,0.123041452324,0.12623730055,0.0045023137952,0.00509267601659,0.00400544853603
segment,0.00200393224786,0.00189503507048,0.00199913074073,0.00144441435502,0.00150067081877,0.00144901809476
shuttle,2.43223179691e-05,2.48613546885e-05,2.43854151371e-05,4.24782526738e-05,4.17857949962e-05,4.19599380123e-05
sonar,0.130952319255,0.130183271897,0.131127659561,0.0290177064237,0.0286748676956,0.0286876635904
spambase,0.0467762380488,0.0468800972489,0.0473848279294,0.0033045613313,0.00334980353289,0.00335838534102
tic-tac,0.0446707807975,0.0556836220845,0.0445947645777,0.00944612661607,0.0112322551784,0.00946216830976
vehicle,0.0175243289026,0.0175380462691,0.0177114024164,0.00535013386527,0.00528313488995,0.00524643174136
vowel,0.0171676733398,0.0182284399507,0.017476827048,0.00554588718402,0.00537627719042,0.00539304904121
waveform-5000,0.0801796139506,0.079985686074,0.0809766779355,0.00398689609048,0.00416034718826,0.00387867186607
wdbc,0.0237572556467,0.0235254621901,0.0240793514124,0.00957744132773,0.00930299012482,0.00934805789744
wpbc,0.164107460776,0.166006106143,0.163983679034,0.0131877036334,0.017209187837,0.0115559386742
yeast,0.1851054271,0.188614345166,0.185882969708,0.00353153159651,0.00492200091803,0.00335304963647
zoo,0.00179343437085,0.00179341088177,0.00179221952326,0.00342370351336,0.00342362814532,0.00342131766922
