,mean,mean,mean,mean,mean,mean,std,std,std,std,std,std
,brier,brier,brier,brier,brier,brier,brier,brier,brier,brier,brier,brier
method,None,beta,beta05,beta2,isotonic,sigmoid,None,beta,beta05,beta2,isotonic,sigmoid
dataset,,,,,,,,,,,,
abalone,0.249163384955,0.220081122816,0.220064402143,0.221679741743,0.214160868083,0.221728272851,9.00977308394e-05,0.00255057665479,0.00358136575814,0.00277305963622,0.00318248116522,0.00277087066167
autos,0.165453945052,0.0735512021757,0.0733320829594,0.0770117674725,0.0687048609323,0.076241779219,0.00983296843741,0.0245449143521,0.0243209595652,0.0217355854811,0.0237149523679,0.0218800094444
balance-scale,0.224776270492,0.00858269946999,0.00927576938462,0.00856989930159,0.00868827110537,0.00858592618346,0.00140210332866,0.0058369886156,0.00622858311098,0.00588733086204,0.00587695045275,0.0058192727151
car,0.228528833301,0.0334331952237,0.033527296717,0.0334308898283,0.0336558859083,0.0334230593577,0.000749484167655,0.00598595837923,0.00603119179285,0.00599270871934,0.00602100449767,0.0059404768488
cleveland,0.238276244598,0.154946794675,0.15484933134,0.15588825372,0.151212700835,0.155854491755,0.00164144319511,0.0181592658183,0.0179011059652,0.0168924305746,0.0212970126086,0.0168928126898
credit-approval,0.241169404869,0.121438546363,0.120967450138,0.12378745145,0.11543166909,0.123770605651,0.000895070155821,0.0129223290391,0.0121491354712,0.0130512826691,0.0128701976475,0.0130471783077
dermatology,0.0062239099943,0.00637615084383,0.00630208815115,0.00657230919336,0.00692443088044,0.00630830461276,0.00923651018921,0.00911012602952,0.00925337824153,0.00925046021962,0.00939350287786,0.00932140497317
diabetes,0.245045055233,0.178156280731,0.179452786839,0.184084413492,0.172488733509,0.184059605769,0.000915710737176,0.00738473404887,0.00851651774185,0.00707959330772,0.0106030478853,0.00707291134499
ecoli,0.124953298336,0.0370018161814,0.0367304113172,0.0367651191586,0.0371090980717,0.0366433726768,0.020732488027,0.0191113599228,0.0187025163092,0.0185515343719,0.018802600946,0.018770792449
flare,0.22732195682,0.133306840061,0.138533127236,0.133447175166,0.131445753926,0.133459220393,0.00561387133292,0.0080612715799,0.0103039892351,0.00796269079929,0.00911599160542,0.00797956087982
