,mean,mean,mean,std,std,std
,loss,loss,loss,loss,loss,loss
method,beta,beta05,beta2,beta,beta05,beta2
dataset,,,,,,
abalone,0.631532727798,0.632395211383,0.635033773959,0.00691570846591,0.010942044093,0.00807339164968
autos,0.277537330758,0.276964213601,0.284921034471,0.0816441241987,0.0770717821131,0.0685074938474
balance-scale,0.032340334859,0.036073657029,0.0339471186476,0.022834334782,0.0303587396642,0.033116311642
car,0.107967114255,0.107925187489,0.107944773666,0.0170221585457,0.0170475441,0.0170625458862
cleveland,0.481975215545,0.482573325768,0.483812704804,0.0455629471502,0.0447624453679,0.0403237751359
credit-approval,0.403290725709,0.402837266319,0.412497760866,0.0392030846096,0.0376307945944,0.0440599636636
dermatology,0.041831894504,0.0411518428793,0.0448354741758,0.0768116750969,0.0740295904482,0.0819054770501
diabetes,0.537290012098,0.542955267873,0.553880747289,0.0201557033795,0.0229564337875,0.0227799854903
ecoli,0.149359715227,0.146740585503,0.146668228278,0.0739305694475,0.0653856154874,0.0678193044561
flare,0.414842532828,0.43260185213,0.415391956049,0.0213694462102,0.0327044037829,0.0210401458287
german,0.550423836047,0.556752957145,0.562881158526,0.0181665405905,0.0232709365227,0.0160514303056
glass,0.501759329312,0.503853242738,0.516054047864,0.0436067532048,0.0446988405902,0.0436611176524
heart-statlog,0.479306088019,0.479715419414,0.483841166292,0.050852988877,0.0481725357808,0.046467974993
hepatitis,0.389184140331,0.39189371,0.388586320096,0.0525262350539,0.0538335205907,0.0505041053966
horse,0.433595037278,0.445730566346,0.444280011437,0.0473417637965,0.0462555448645,0.0462563494466
ionosphere,0.198695278127,0.198097483504,0.198938022524,0.0475417567957,0.0463354113335,0.0460708092458
iris,1.36348707782e-05,1.36348707782e-05,1.36349109412e-05,0.0,0.0,0.0
landsat-satellite,0.0380623811093,0.0374563634419,0.038348979345,0.00800365029469,0.00726724703264,0.00806380850841
letter,0.0216433303027,0.0215195678876,0.0216488967169,0.00260859905269,0.00256638992947,0.00260259492127
libras-movement,0.0983244303783,0.103044555283,0.111016125259,0.0640370163894,0.0538078258633,0.0632621514721
lung-cancer,0.13842410425,0.138416000859,0.133297576103,0.178420502066,0.178466146762,0.145988419948
mfeat-karhunen,0.0292483581991,0.0298386395003,0.0305228996512,0.0127517130296,0.012811196738,0.0131159402275
mfeat-morphological,0.014357531912,0.0132041544981,0.0143009746282,0.0166926876112,0.0150785775538,0.0155313928589
mfeat-zernike,0.0322154790665,0.0320116130044,0.033239184454,0.0140517057833,0.0136299880955,0.0143704059079
mushroom,6.26563214483e-05,5.87448924525e-05,6.31702641468e-05,0.000235738085683,0.00020765279013,0.000235410362338
optdigits,0.0341406082765,0.0338356865189,0.0356571893433,0.00683468254199,0.00686364652833,0.00761675743437
page-blocks,0.0884663944247,0.0878902344945,0.0929986818179,0.0106160886288,0.0109151183023,0.0133124742863
pendigits,0.0142393400458,0.014127514294,0.0148562820414,0.00382029955251,0.0038133241373,0.00420008701495
scene-classification,0.38565295735,0.388644524363,0.394197901852,0.0120417583158,0.0133942636968,0.0115324554447
segment,0.00934416533224,0.00868389510675,0.00923828065909,0.00813610697134,0.00739351653184,0.00771686368886
shuttle,0.000294852380596,0.000294480093746,0.000301524004685,0.00127609981432,0.00127605728841,0.00127643569072
sonar,0.413547665603,0.411526747931,0.413437868943,0.0725276232198,0.071138133873,0.0713217424224
spambase,0.178294583952,0.178490383024,0.182365154454,0.0128594773288,0.0129856076291,0.013808059735
tic-tac,0.169110237369,0.192609034606,0.168951237694,0.030526464929,0.0335419635611,0.0306598694216
vehicle,0.0704641349531,0.070352947093,0.0707857426792,0.0207584915962,0.0196074180601,0.0197664194973
vowel,0.0637681820618,0.0660981544231,0.0647353722832,0.0186499865523,0.0181022474424,0.0177561858556
waveform-5000,0.261824456306,0.261167885219,0.265621805698,0.0114408664094,0.0118921255896,0.0119281839115
wdbc,0.0896422303013,0.0892161422139,0.0908697573547,0.0327899234205,0.031611673646,0.0322691214961
wpbc,0.502958654601,0.507641231955,0.50265593803,0.0363527677534,0.0439377559108,0.0327902984386
yeast,0.539539606904,0.548245676666,0.540728560238,0.0119864052939,0.0145005783381,0.0113903315882
zoo,0.012625575022,0.012625811678,0.0126266832304,0.0196508219091,0.0196511831965,0.0196522683675
