,mean,mean,mean,mean,std,std,std,std
,loss,loss,loss,loss,loss,loss,loss,loss
method,None,beta2,isotonic,sigmoid,None,beta2,isotonic,sigmoid
dataset,,,,,,,,
abalone,0.691473289841,0.635033773959,0.619602722589,0.635127047743,0.00018072497408,0.00807339164968,0.0218209067163,0.00804883190862
autos,0.517490636369,0.284921034471,0.498206096825,0.28158981689,0.0216573602386,0.0685074938474,0.579840632767,0.0675942298455
balance-scale,0.642565849919,0.0339471186476,0.0406141124093,0.0324414707023,0.00282545088223,0.033116311642,0.0849984805862,0.0227952985886
car,0.650091551162,0.107944773666,0.141495649717,0.107991185078,0.00150744419003,0.0170625458862,0.0714721690722,0.0167966645188
cleveland,0.66966927647,0.483812704804,0.516107034242,0.483726641344,0.00329157044754,0.0403237751359,0.221274146606,0.0403209448847
credit-approval,0.675466435151,0.412497760866,0.426217767891,0.412430427625,0.00179602507038,0.0440599636636,0.119084963816,0.0440235328625
dermatology,0.0444596156174,0.0448354741758,0.112153661044,0.0508349657628,0.100901761322,0.0819054770501,0.291883102008,0.0960980573684
diabetes,0.683232006797,0.553880747289,0.555806405479,0.553807862503,0.00183596136224,0.0227799854903,0.11458058945,0.022743192668
ecoli,0.427160726821,0.146668228278,0.278907639206,0.146356542426,0.0532060736938,0.0678193044561,0.361317087669,0.0687698587742
flare,0.646008091267,0.415391956049,0.425917586404,0.415528153249,0.0126342293372,0.0210401458287,0.0770215662296,0.0211828220115
german,0.688434473072,0.562881158526,0.541918096361,0.562995507222,0.000596593789452,0.0160514303056,0.0419237745985,0.0159718027049
glass,0.658698776018,0.516054047864,0.524349291439,0.515745711099,0.0056080796511,0.0436611176524,0.186110826566,0.043719113034
heart-statlog,0.664961646291,0.483841166292,0.539407358729,0.483694464777,0.00393319983492,0.046467974993,0.223372867592,0.0464448261296
hepatitis,0.562100219575,0.388586320096,0.424490059411,0.388656519384,0.0252808266712,0.0505041053966,0.235584383096,0.0508620088272
horse,0.644295027551,0.444280011437,0.510257957594,0.444049838936,0.0066537433493,0.0462563494466,0.229579113264,0.0462416904104
ionosphere,0.531343352838,0.198938022524,0.267473045365,0.1987517626,0.014511013161,0.0460708092458,0.236832279354,0.0461359293494
iris,2.22044604925e-16,1.36349109412e-05,1.11022302463e-16,1.36348785074e-05,0.0,0.0,0.0,0.0
landsat-satellite,0.608428243006,0.038348979345,0.0400917550978,0.0383722233203,0.00558451865103,0.00806380850841,0.0186121306538,0.0080273597301
letter,0.577396801813,0.0216488967169,0.0212937315368,0.0217103009532,0.00254545038563,0.00260259492127,0.00291293240561,0.00257192601644
libras-movement,0.236899627051,0.111016125259,0.168082628971,0.0993415468497,0.0358198985899,0.0632621514721,0.253534236458,0.053011473034
lung-cancer,0.218313611887,0.133297576103,0.189126610425,0.139952512484,0.632281314743,0.145988419948,0.533790733205,0.187454121775
mfeat-karhunen,0.460270990736,0.0305228996512,0.0436682946721,0.0303428861852,0.0203495165039,0.0131159402275,0.0522400906789,0.0129663987591
mfeat-morphological,0.0755007191533,0.0143009746282,0.029212938718,0.0146977235557,0.0291598620294,0.0155313928589,0.0429795048547,0.0163001775449
mfeat-zernike,0.351416981448,0.033239184454,0.0593322718929,0.0327006563406,0.0287661323926,0.0143704059079,0.0422444901802,0.0140062363645
mushroom,0.541030539488,6.31702641468e-05,3.9947681443e-05,5.1152427696e-05,0.00453578132167,0.000235410362338,0.000191151513834,0.000238481034871
optdigits,0.576793624339,0.0356571893433,0.0411537861552,0.0356289063885,0.0095026385012,0.00761675743437,0.0200362052567,0.00757277913326
page-blocks,0.662384829787,0.0929986818179,0.0863420795805,0.0930495681546,0.00128450608617,0.0133124742863,0.0174331935526,0.0132694288065
pendigits,0.474203389845,0.0148562820414,0.0169573281116,0.0148500038407,0.0103810676321,0.00420008701495,0.00837736293228,0.00417057081122
scene-classification,0.654453307304,0.394197901852,0.380928331045,0.394179590447,0.00574371752583,0.0115324554447,0.0162857684169,0.0114969894841
segment,0.240947460504,0.00923828065909,0.0233199071494,0.00908538967289,0.0251533146127,0.00771686368886,0.040176198282,0.0074606594287
shuttle,0.478317935264,0.000301524004685,0.000348636208614,0.000320865281722,0.0201809663088,0.00127643569072,0.00127976934248,0.00124806981167
sonar,0.619790903727,0.413437868943,0.538192586079,0.413363741583,0.00900095136956,0.0713217424224,0.388500539064,0.0713539358729
spambase,0.646444655614,0.182365154454,0.158824103176,0.182315599648,0.00416175710836,0.013808059735,0.0169983628009,0.0137989248826
tic-tac,0.68870197024,0.168951237694,0.180897087558,0.16958360156,0.000133978565536,0.0306598694216,0.0965312931018,0.030183340118
vehicle,0.575060072568,0.0707857426792,0.136658561696,0.0707574358005,0.00897181959299,0.0197664194973,0.140032789549,0.0197442079787
vowel,0.422278526944,0.0647353722832,0.0817326920062,0.0646309563635,0.0109151192528,0.0177561858556,0.0606898222211,0.0177651725224
waveform-5000,0.669440273429,0.265621805698,0.258582442364,0.265754024869,0.00362327915897,0.0119281839115,0.0132572600064,0.0119167443002
wdbc,0.421546200072,0.0908697573547,0.147643883377,0.0904312322313,0.0268036553276,0.0322691214961,0.147494904338,0.0317969370687
wpbc,0.625023963365,0.50265593803,0.500679668387,0.502426772318,0.0124075471629,0.0327902984386,0.0476220867281,0.0328183064197
yeast,0.672749366988,0.540728560238,0.527356813856,0.54073327903,0.00187833036016,0.0113903315882,0.0400434310078,0.011350976064
zoo,0.00596840820674,0.0126266832304,0.0126128049107,0.0126255477824,0.0127313653558,0.0196522683675,0.0196521459697,0.0196507979562
