,,mean,mean,mean,std,std,std
,,acc,brier,loss,acc,brier,loss
dataset,method,,,,,,
abalone,None,0.63303623464,0.249163384955,0.691473289841,0.0142964769829,9.00977308394e-05,0.00018072497408
abalone,beta,0.63777907376,0.220081122816,0.631532727798,0.00329315930345,0.00255057665479,0.00691570846591
abalone,beta05,0.630906097555,0.220064402143,0.632395211383,0.0140397620314,0.00358136575814,0.010942044093
abalone,beta2,0.636964442585,0.221679741743,0.635033773959,0.00313079146734,0.00277305963622,0.00807339164968
abalone,isotonic,0.636363261615,0.214160868083,0.619602722589,0.00802765083999,0.00318248116522,0.0218209067163
abalone,sigmoid,0.636964385146,0.221728272851,0.635127047743,0.00308107728404,0.00277087066167,0.00804883190862
autos,None,0.914948200268,0.165453945052,0.517490636369,0.049688121131,0.00983296843741,0.0216573602386
autos,beta,0.91608524896,0.0735512021757,0.277537330758,0.0448304233444,0.0245449143521,0.0816441241987
autos,beta05,0.915496783661,0.0733320829594,0.276964213601,0.0447374581352,0.0243209595652,0.0770717821131
autos,beta2,0.915547662634,0.0770117674725,0.284921034471,0.0459335012335,0.0217355854811,0.0685074938474
autos,isotonic,0.920064004816,0.0687048609323,0.498206096825,0.0429092249931,0.0237149523679,0.579840632767
autos,sigmoid,0.916741958534,0.076241779219,0.28158981689,0.0461768126706,0.0218800094444,0.0675942298455
balance-scale,None,0.988300738077,0.224776270492,0.642565849919,0.0101475797334,0.00140210332866,0.00282545088223
balance-scale,beta,0.989752475866,0.00858269946999,0.032340334859,0.0109676853185,0.0058369886156,0.022834334782
balance-scale,beta05,0.988948521974,0.00927576938462,0.036073657029,0.00926573034876,0.00622858311098,0.0303587396642
balance-scale,beta2,0.989591185543,0.00856989930159,0.0339471186476,0.0113505914157,0.00588733086204,0.033116311642
balance-scale,isotonic,0.9897602188,0.00868827110537,0.0406141124093,0.010575942755,0.00587695045275,0.0849984805862
balance-scale,sigmoid,0.990228666342,0.00858592618346,0.0324414707023,0.0106445438312,0.0058192727151,0.0227952985886
car,None,0.950343796209,0.228528833301,0.650091551162,0.0105877483776,0.000749484167655,0.00150744419003
car,beta,0.951559013308,0.0334331952237,0.107967114255,0.0110072433403,0.00598595837923,0.0170221585457
car,beta05,0.95051754268,0.033527296717,0.107925187489,0.0108078707634,0.00603119179285,0.0170475441
car,beta2,0.951559013308,0.0334308898283,0.107944773666,0.0110072433403,0.00599270871934,0.0170625458862
car,isotonic,0.951677980911,0.0336558859083,0.141495649717,0.0107173631944,0.00602100449767,0.0714721690722
car,sigmoid,0.951559349375,0.0334230593577,0.107991185078,0.0111133106764,0.0059404768488,0.0167966645188
cleveland,None,0.794828755114,0.238276244598,0.66966927647,0.0470135358936,0.00164144319511,0.00329157044754
cleveland,beta,0.782265341905,0.154946794675,0.481975215545,0.0502017370433,0.0181592658183,0.0455629471502
cleveland,beta05,0.787719851938,0.15484933134,0.482573325768,0.0472513866956,0.0179011059652,0.0447624453679
