,mean,mean,mean,std,std,std
,acc,acc,acc,acc,acc,acc
method,beta,beta05,beta2,beta,beta05,beta2
dataset,,,,,,
abalone,63.9690405116,63.8230269664,64.2323937669,0.641829918527,1.04986637301,0.824707282345
autos,91.3289501952,91.1740921037,90.6761496731,5.27973111595,4.82933442565,4.6264784603
balance-scale,98.7028336643,98.6715996653,98.7028336643,1.10882888535,1.01734692293,1.13177754071
car,95.1619169243,95.1910202984,95.1677644845,0.95212442226,0.968825485914,1.06269550433
cleveland,82.274050263,82.5797779077,82.2792324177,4.38523221392,4.5778712554,4.21912229798
credit-approval,86.3105268777,86.5698428798,86.463082973,2.45725292168,2.56986036364,2.50519493558
dermatology,99.610982411,99.638009438,99.610982411,0.693231086044,0.681184787168,0.693231086044
diabetes,75.2344452933,75.4043799338,75.326288091,3.20913992231,3.14159114982,3.1098484131
ecoli,95.6998810697,95.8163014093,95.7881672246,2.83394197579,2.65756084761,2.7572408841
flare,82.2891073909,82.2963537678,82.2963537678,1.14023815458,1.12217259749,1.12217259749
german,75.64,76.28,75.58,1.98987231669,1.72070227713,2.0136270453
glass,79.6710359408,79.929556361,80.2232256116,4.88804160907,4.01712820704,4.60672739914
heart-statlog,81.4444444444,81.6666666667,82.1851851852,4.54364598014,5.02297289578,4.64117984747
hepatitis,81.6471774194,82.3411290323,82.0891129032,4.49381703226,5.23275142439,4.66563548412
horse,83.3737241826,83.6482448828,83.6065666389,4.03870203351,4.29516664578,3.81568849798
ionosphere,93.0515090543,92.73722334,93.0804828974,2.39217095874,2.54009159793,2.54614832169
iris,100.0,100.0,100.0,0.0,0.0,0.0
landsat-satellite,98.3403537818,98.3683754033,98.3388094363,0.353064219278,0.360781757587,0.361359852473
letter,98.643696825,98.6539852779,98.598553249,0.128529898045,0.128499468038,0.13242783703
libras-movement,97.6133333333,97.3333333333,97.72,1.48363713162,1.45374643071,1.53176494766
lung-cancer,95.5210526316,95.6210526316,95.6210526316,4.45658893294,4.38570854961,4.38570854961
mfeat-karhunen,99.35,99.335,99.35,0.377964473009,0.396444658618,0.353553390593
mfeat-morphological,99.8,99.8,99.795,0.208248281959,0.208248281959,0.206340811795
mfeat-zernike,99.145,99.095,99.135,0.446328560226,0.507318882932,0.463488326252
mushroom,100.0,99.9987684729,100.0,0.0,0.00870821159096,0.0
optdigits,98.9236305939,98.9253656722,98.9235658862,0.251742238043,0.239276175844,0.23815869834
page-blocks,96.4683080258,96.512070298,96.5029545337,0.511778206654,0.49385248253,0.498667701735
pendigits,99.4114239804,99.4023243987,99.4032376204,0.121910883097,0.115745235399,0.125075579347
scene-classification,83.8013622783,83.9718760693,83.8552783792,1.47982470948,1.59890352605,1.44622094299
segment,99.7402597403,99.7705627706,99.7532467532,0.231395014643,0.197558847804,0.223020691654
shuttle,99.9944828168,99.9946798272,99.9944827731,0.00626574948072,0.00635989986785,0.00642190754178
sonar,82.7267644437,82.7243335224,82.9649677228,6.31979949113,6.56275736581,6.68152320467
spambase,94.3578525022,94.3708298332,94.3751823903,0.735673435527,0.712972265496,0.719154529055
tic-tac,83.8307050769,84.1636088919,83.8098166409,2.67840071176,2.0882303819,2.73072781719
vehicle,97.8494494305,97.8738233962,97.9557593967,0.871800381622,0.941004641808,0.850101850223
vowel,97.6262626263,97.404040404,97.5252525253,0.890987664879,0.889584349666,0.958537536478
waveform-5000,88.7058387958,88.6698187798,88.6738047938,0.937970100723,0.970284306223,0.969102455675
wdbc,96.9229703732,96.9760677184,96.9238938053,1.6677508384,1.65860253798,1.7219770024
wpbc,77.3821862348,77.9373144399,76.5100539811,3.0227581383,3.70743306383,1.88897292313
yeast,73.0417844466,73.0820757809,72.7044493036,2.13682150915,2.2325282187,2.14618290396
zoo,100.0,100.0,100.0,0.0,0.0,0.0
