,mean,mean,mean,mean,mean,std,std,std,std,std
,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc
method,None,beta,beta05,beta2,sigmoid,None,beta,beta05,beta2,sigmoid
dataset,,,,,,,,,,
abalone,63.906587269,63.9690405116,63.8230269664,64.2323937669,64.0886894785,1.21794555738,0.641829918527,1.04986637301,0.824707282345,0.932138264546
autos,90.7502284674,91.3289501952,91.1740921037,90.6761496731,90.8205716046,5.06029324724,5.27973111595,4.82933442565,4.6264784603,5.02448496568
balance-scale,98.6056598354,98.7028336643,98.6715996653,98.7028336643,98.6705755998,1.12231400154,1.10882888535,1.01734692293,1.13177754071,1.1188227492
car,95.2257695927,95.1619169243,95.1910202984,95.1677644845,94.9941188332,0.990300502736,0.95212442226,0.968825485914,1.06269550433,1.06899615608
cleveland,82.4165595169,82.274050263,82.5797779077,82.2792324177,82.1763880771,4.49317216882,4.38523221392,4.5778712554,4.21912229798,4.37873816579
credit-approval,86.6165803662,86.3105268777,86.5698428798,86.463082973,86.4944376234,2.76618935165,2.45725292168,2.56986036364,2.50519493558,2.75349310719
dermatology,99.638009438,99.610982411,99.638009438,99.610982411,99.610982411,0.681184787168,0.693231086044,0.681184787168,0.693231086044,0.693231086044
diabetes,75.5728715729,75.2344452933,75.4043799338,75.326288091,75.1959086665,3.17560930235,3.20913992231,3.14159114982,3.1098484131,3.11611739412
ecoli,95.8149838862,95.6998810697,95.8163014093,95.7881672246,95.6393270622,2.76583622793,2.83394197579,2.65756084761,2.7572408841,2.8633942644
flare,82.2963537678,82.2891073909,82.2963537678,82.2963537678,82.0794299716,1.12217259749,1.14023815458,1.12217259749,1.12217259749,1.2510527857
german,76.21,75.64,76.28,75.58,75.88,1.99000051277,1.98987231669,1.72070227713,2.0136270453,1.83658956343
glass,80.5083593409,79.6710359408,79.929556361,80.2232256116,80.4362881305,4.81291472561,4.88804160907,4.01712820704,4.60672739914,4.85662339567
heart-statlog,81.3333333333,81.4444444444,81.6666666667,82.1851851852,81.3703703704,5.22230531232,4.54364598014,5.02297289578,4.64117984747,5.10808130427
hepatitis,82.7829301075,81.6471774194,82.3411290323,82.0891129032,81.8786290323,6.00432040621,4.49381703226,5.23275142439,4.66563548412,4.45227709702
horse,83.8454570714,83.3737241826,83.6482448828,83.6065666389,83.6765860887,4.48660848499,4.03870203351,4.29516664578,3.81568849798,4.16078314373
