,mean,mean,mean,mean,mean,std,std,std,std,std
,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc
method,None,beta,beta2,isotonic,sigmoid,None,beta,beta2,isotonic,sigmoid
dataset,,,,,,,,,,
abalone,63.906587269,63.9690405116,64.2323937669,63.0091755634,64.0886894785,1.21794555738,0.641829918527,0.824707282345,1.89892425355,0.932138264546
autos,90.7502284674,91.3289501952,90.6761496731,91.8655774192,90.8205716046,5.06029324724,5.27973111595,4.6264784603,5.01403956908,5.02448496568
balance-scale,98.6056598354,98.7028336643,98.7028336643,98.7037390881,98.6705755998,1.12231400154,1.10882888535,1.13177754071,1.10559071939,1.1188227492
car,95.2257695927,95.1619169243,95.1677644845,95.2952009679,94.9941188332,0.990300502736,0.95212442226,1.06269550433,1.07730918385,1.06899615608
cleveland,82.4165595169,82.274050263,82.2792324177,82.0464640561,82.1763880771,4.49317216882,4.38523221392,4.21912229798,4.12438880165,4.37873816579
credit-approval,86.6165803662,86.3105268777,86.463082973,86.3416359722,86.4944376234,2.76618935165,2.45725292168,2.50519493558,2.5443850039,2.75349310719
dermatology,99.638009438,99.610982411,99.610982411,99.610982411,99.610982411,0.681184787168,0.693231086044,0.693231086044,0.693231086044,0.693231086044
diabetes,75.5728715729,75.2344452933,75.326288091,75.4161785926,75.1959086665,3.17560930235,3.20913992231,3.1098484131,2.98649462953,3.11611739412
ecoli,95.8149838862,95.6998810697,95.7881672246,95.6945559257,95.6393270622,2.76583622793,2.83394197579,2.7572408841,2.66932593723,2.8633942644
flare,82.2963537678,82.2891073909,82.2963537678,82.2166436228,82.0794299716,1.12217259749,1.14023815458,1.12217259749,1.15673600613,1.2510527857
german,76.21,75.64,75.58,75.82,75.88,1.99000051277,1.98987231669,2.0136270453,1.95030086638,1.83658956343
glass,80.5083593409,79.6710359408,80.2232256116,79.5636330078,80.4362881305,4.81291472561,4.88804160907,4.60672739914,4.6528178682,4.85662339567
heart-statlog,81.3333333333,81.4444444444,82.1851851852,81.7407407407,81.3703703704,5.22230531232,4.54364598014,4.64117984747,5.07509189741,5.10808130427
hepatitis,82.7829301075,81.6471774194,82.0891129032,81.8827956989,81.8786290323,6.00432040621,4.49381703226,4.66563548412,5.05129417385,4.45227709702
horse,83.8454570714,83.3737241826,83.6065666389,83.5748356025,83.6765860887,4.48660848499,4.03870203351,3.81568849798,4.06753769047,4.16078314373
ionosphere,92.4816901408,93.0515090543,93.0804828974,92.9094567404,92.7106639839,2.48304176509,2.39217095874,2.54614832169,2.47369873769,2.48941699579
iris,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
landsat-satellite,98.3435004351,98.3403537818,98.3388094363,98.3076411147,98.3372698643,0.355151367957,0.353064219278,0.361359852473,0.369576285385,0.35572141285
letter,98.6531280945,98.643696825,98.598553249,98.7299976888,98.6559904662,0.134355049534,0.128529898045,0.13242783703,0.132960873503,0.130478945299
libras-movement,97.1866666667,97.6133333333,97.72,97.6066666667,97.3066666667,1.43673855905,1.48363713162,1.53176494766,1.51738227866,1.44096213763
lung-cancer,97.2947368421,95.5210526316,95.6210526316,95.5210526316,95.5210526316,3.82020005106,4.45658893294,4.38570854961,4.45658893294,4.45658893294
mfeat-karhunen,99.315,99.35,99.35,99.34,99.325,0.415914286696,0.377964473009,0.353553390593,0.387166578082,0.404849430313
mfeat-morphological,99.8,99.8,99.795,99.785,99.8,0.208248281959,0.208248281959,0.206340811795,0.202093633583,0.208248281959
mfeat-zernike,99.065,99.145,99.135,99.155,99.065,0.52199089053,0.446328560226,0.463488326252,0.462606854727,0.486580110652
mushroom,99.9987684729,100.0,100.0,100.0,99.9987684729,0.00870821159096,0.0,0.0,0.0,0.00870821159096
optdigits,98.9236211127,98.9236305939,98.9235658862,98.9271687879,98.9165066778,0.249817429008,0.251742238043,0.23815869834,0.26934551989,0.248832967861
page-blocks,96.515731626,96.4683080258,96.5029545337,96.5523715882,96.4499914419,0.481019708273,0.511778206654,0.498667701735,0.515394395586,0.54886493553
pendigits,99.3986809958,99.4114239804,99.4032376204,99.4023247907,99.414142154,0.109882735445,0.121910883097,0.125075579347,0.113533252403,0.124458592127
scene-classification,84.1296213585,83.8013622783,83.8552783792,83.8468587084,83.9841336988,1.55374260744,1.47982470948,1.44622094299,1.54761840604,1.46166663268
segment,99.7575757576,99.7402597403,99.7532467532,99.7489177489,99.7619047619,0.221428741991,0.231395014643,0.223020691654,0.228735213468,0.219738256085
shuttle,99.9946798223,99.9944828168,99.9944827731,99.9947783979,99.9950739692,0.00628155624392,0.00626574948072,0.00642190754178,0.00640417870912,0.00644950251421
sonar,82.5920373822,82.7267644437,82.9649677228,81.7094508819,82.4932609459,6.33411329839,6.31979949113,6.68152320467,6.04722608347,6.43757405929
spambase,94.3708487368,94.3578525022,94.3751823903,94.3425949227,94.3534668637,0.711820140294,0.735673435527,0.719154529055,0.69758611109,0.73536413907
tic-tac,83.9131152285,83.8307050769,83.8098166409,83.7779155816,83.840958131,2.13018517658,2.67840071176,2.73072781719,2.7217769017,2.68031098355
vehicle,97.8141536994,97.8494494305,97.9557593967,97.7426563136,97.8615605763,0.905890500822,0.871800381622,0.850101850223,0.926939369229,0.933749889601
vowel,97.404040404,97.6262626263,97.5252525253,97.6060606061,97.4242424242,0.859827881647,0.890987664879,0.958537536478,0.905821096836,0.861279681552
waveform-5000,88.6757887898,88.7058387958,88.6738047938,88.6798127698,88.7218408138,0.989459453871,0.937970100723,0.969102455675,0.894702252515,0.961993961829
wdbc,96.8894190073,96.9229703732,96.9238938053,96.9238938053,96.9772989611,1.77494777093,1.6677508384,1.7219770024,1.7020181549,1.74787455328
