,mean,mean,mean,std,std,std
,brier,brier,brier,brier,brier,brier
method,beta,beta05,beta2,beta,beta05,beta2
dataset,,,,,,
abalone,0.212957136102,0.212950202352,0.213053550444,0.00366661612372,0.00388376257311,0.00380691293959
autos,0.0776153733616,0.0782200743839,0.080226897872,0.0240009568968,0.0228856031173,0.021181253364
balance-scale,0.0104402044878,0.0104561636284,0.0104223761143,0.00601878186569,0.00605663826201,0.00591724451313
car,0.0338168249701,0.0338510245453,0.0339773424005,0.00618273726841,0.00614529107133,0.00603364153848
cleveland,0.130560707703,0.130063145188,0.13043392931,0.0197383516004,0.019242806978,0.0189816060655
credit-approval,0.101063901253,0.10061453732,0.100560956896,0.0146512467154,0.0144670721,0.0143300897018
dermatology,0.00314914047447,0.00328426690591,0.00313425638681,0.00466914136416,0.00472446435188,0.00468613457198
diabetes,0.160150290509,0.159915938293,0.160095760747,0.0113143085051,0.011200538898,0.0110664325947
ecoli,0.0365266289416,0.035720534878,0.035886381792,0.0198726677028,0.0190632633161,0.0190670434868
flare,0.129730207241,0.129850688159,0.12982158052,0.00824515798168,0.0079483477434,0.00800444773126
german,0.166847133163,0.166852833692,0.166679126141,0.00863522543639,0.00904202641081,0.00849670915985
glass,0.156986210976,0.156534787963,0.157413792878,0.0227700331267,0.022327790093,0.0215668403051
heart-statlog,0.134452929201,0.134210334921,0.134131337072,0.0230423854312,0.0234613086482,0.0231790187831
hepatitis,0.124157684338,0.123672631789,0.122620286129,0.0215867918004,0.0225405323679,0.0226306659546
horse,0.126341595,0.127684386284,0.12660737193,0.0205586238596,0.0196654757929,0.0193528167328
ionosphere,0.0566443152818,0.057232807532,0.0562510355375,0.0152430045048,0.0151536546106,0.0150642936638
iris,1.85907187325e-10,2.12541215363e-10,2.1840422568e-10,0.0,0.0,0.0
landsat-satellite,0.0115360724577,0.0115431584669,0.0115169846057,0.00203888008586,0.00205941277057,0.00204970045428
letter,0.0101270111091,0.0100971426134,0.0103365813211,0.000715197296153,0.00070302735093,0.000682296370396
libras-movement,0.0217043481291,0.0233998683624,0.0212274160423,0.01296809448,0.0130091615551,0.0131950640658
lung-cancer,0.0322025235362,0.0320552282027,0.0320623340826,0.0215553285184,0.0215144571327,0.0215152675667
mfeat-karhunen,0.00549799854884,0.0054992479941,0.00554031132905,0.00260903746783,0.00257344362075,0.00248137869856
mfeat-morphological,0.00194798922772,0.00178915578628,0.00194567039335,0.00189349658073,0.0018687462036,0.00189011718933
mfeat-zernike,0.00707045236628,0.00711656786227,0.00705692606539,0.00313448380209,0.0032960739173,0.00311039251879
mushroom,2.10218910363e-05,3.35563864493e-05,2.49849791441e-05,6.36255732314e-05,8.78160822714e-05,6.94636508006e-05
optdigits,0.00839141948728,0.00837810024998,0.00844543660856,0.00169875325072,0.00167798066939,0.00159749010032
page-blocks,0.0264352775803,0.0265534327002,0.0263821804256,0.00324946215164,0.00322254423044,0.00330604348793
pendigits,0.00451799867332,0.00457680407175,0.00456396159046,0.000740570320055,0.000740153353715,0.00073289264444
scene-classification,0.114934436375,0.114993481718,0.115147583923,0.00603067859959,0.00608779592726,0.00586306297828
segment,0.00209633398511,0.00205449115096,0.00206416698212,0.00147555816959,0.00150452472698,0.00147505522973
shuttle,5.01009600112e-05,5.07531227611e-05,5.21493526284e-05,4.79118836013e-05,4.82075524074e-05,4.81103190412e-05
sonar,0.126558176633,0.126035020362,0.126320862992,0.0287742243684,0.0280280813452,0.0276647321547
spambase,0.0447701340892,0.0448457658477,0.0447733695107,0.00423846685531,0.00426367552457,0.0042572168005
tic-tac,0.107475068997,0.111425750579,0.107536171305,0.013286316625,0.0124787487388,0.0132590308117
vehicle,0.0172554480911,0.0171508745057,0.017105483562,0.00541592445447,0.00555247135788,0.00512735017024
vowel,0.0190981057628,0.0200459042509,0.0196958990376,0.00612041202732,0.00570523528199,0.00576372558246
waveform-5000,0.0788012389773,0.0789600052899,0.0789496225281,0.00488862181653,0.00495925649424,0.00489120909672
wdbc,0.0230252250381,0.0226046441595,0.0228474079229,0.010535659632,0.0104878440601,0.0105359159144
wpbc,0.161926189736,0.164341431219,0.162338167323,0.014551833867,0.0154654801453,0.0112887660917
yeast,0.173015164094,0.172992092531,0.17348040533,0.00797596883769,0.00796380506542,0.00733845593602
zoo,0.00179343703155,0.00179340265587,0.00179343715998,0.00342370145577,0.00342359621893,0.00342368636529
