,mean,mean,mean,mean,std,std,std,std
,brier,brier,brier,brier,brier,brier,brier,brier
method,None,beta,isotonic,sigmoid,None,beta,isotonic,sigmoid
dataset,,,,,,,,
abalone,0.213164149783,0.212957136102,0.21427869466,0.213594680029,0.00431562253294,0.00366661612372,0.00532629777027,0.00382462898483
autos,0.0737445363329,0.0776153733616,0.0706949050102,0.0802778557547,0.0303528656007,0.0240009568968,0.0232472949316,0.0249189442191
balance-scale,0.0130521347409,0.0104402044878,0.0105673255323,0.0103792489901,0.00510572648356,0.00601878186569,0.00611124419093,0.00624648266497
car,0.0344102316458,0.0338168249701,0.0328696118415,0.0354247340081,0.00528491076305,0.00618273726841,0.00592107258943,0.00703391940225
cleveland,0.132748927444,0.130560707703,0.129659835207,0.133316537192,0.0296871667194,0.0197383516004,0.0204553139988,0.0218116680906
credit-approval,0.0999312625243,0.101063901253,0.100806386465,0.100393987776,0.0177894634317,0.0146512467154,0.0157687729075,0.0156823530828
dermatology,0.00333867002451,0.00314914047447,0.00300805428718,0.00315633110002,0.00477133528077,0.00466914136416,0.00469004733828,0.0045620919857
diabetes,0.163957534215,0.160150290509,0.160703824968,0.162532972204,0.0165580925199,0.0113143085051,0.0125004023501,0.0122781886119
ecoli,0.036186709385,0.0365266289416,0.0370594369183,0.0372602121121,0.021669568259,0.0198726677028,0.0194544423843,0.0204237604767
flare,0.129752444063,0.129730207241,0.131210879484,0.1300667132,0.00811493773551,0.00824515798168,0.0088288775042,0.00878541015693
german,0.16631531303,0.166847133163,0.167431962424,0.166092648005,0.0111929621738,0.00863522543639,0.00941402951955,0.00846611253887
glass,0.157524540989,0.156986210976,0.153045439818,0.154458309929,0.0368170400819,0.0227700331267,0.0258474456812,0.0225912407596
heart-statlog,0.14116348788,0.134452929201,0.133772485238,0.138505614134,0.0359453383612,0.0230423854312,0.0255740955203,0.0250792855507
hepatitis,0.133839418319,0.124157684338,0.1226229335,0.127936731229,0.0469038031325,0.0215867918004,0.0261416655949,0.0234517667116
horse,0.129678893741,0.126341595,0.126373613044,0.127141280639,0.0299915930653,0.0205586238596,0.0228595582758,0.0198838078
ionosphere,0.0606417487092,0.0566443152818,0.0576863518766,0.0594076437293,0.0183034095248,0.0152430045048,0.015509886117,0.0159132023611
iris,0.0142093366186,1.85907187325e-10,0.0,1.85907529738e-10,0.0,0.0,0.0,0.0
landsat-satellite,0.0118803429576,0.0115360724577,0.0116392977208,0.0127653945592,0.00232908436912,0.00203888008586,0.00201131627824,0.00260324358719
letter,0.0103872594686,0.0101270111091,0.00987803346089,0.0105676393934,0.00062369821473,0.000715197296153,0.000617578790273,0.000859987076048
libras-movement,0.0251316616763,0.0217043481291,0.0218690756398,0.0241459612142,0.0137087602222,0.01296809448,0.0128679521061,0.0132014480754
lung-cancer,0.0399402922906,0.0322025235362,0.0322700783576,0.0322601494251,0.0202498570746,0.0215553285184,0.0215994821864,0.0215847391467
mfeat-karhunen,0.00581815924491,0.00549799854884,0.00563868904938,0.00590799565713,0.00290507264119,0.00260903746783,0.0026350193491,0.00292368058761
mfeat-morphological,0.00183880433726,0.00194798922772,0.0021677416669,0.00196574852604,0.0018995680977,0.00189349658073,0.00178139470793,0.00193313080711
mfeat-zernike,0.00745681829872,0.00707045236628,0.00724480636688,0.00761070640673,0.00391784779969,0.00313448380209,0.00324108135317,0.00378947390579
mushroom,3.78985504492e-05,2.10218910363e-05,1.53914764714e-05,1.63340738226e-05,8.66559589892e-05,6.36255732314e-05,5.51166760328e-05,5.89615633858e-05
optdigits,0.00840365821561,0.00839141948728,0.00848608006654,0.00876309197191,0.00180815916153,0.00169875325072,0.00173684779348,0.00200772926126
page-blocks,0.0267792626847,0.0264352775803,0.0262792207222,0.028269208234,0.00374398578392,0.00324946215164,0.00317873758012,0.00401228282559
pendigits,0.0045187581532,0.00451799867332,0.00460674394573,0.00464572898908,0.000765438722259,0.000740570320055,0.000739777794629,0.000896208253589
scene-classification,0.114557496478,0.114934436375,0.114898965615,0.11626092481,0.00855406648322,0.00603067859959,0.00611900351003,0.00712205250114
segment,0.00212664857157,0.00209633398511,0.00211814266855,0.00218482135064,0.00168167980328,0.00147555816959,0.00151178743249,0.00170535331805
shuttle,4.82527658628e-05,5.01009600112e-05,4.79297366285e-05,4.7541808444e-05,4.9707895432e-05,4.79118836013e-05,5.05834123556e-05,5.47953000499e-05
sonar,0.134680718799,0.126558176633,0.129634065549,0.135796538991,0.0430176939784,0.0287742243684,0.0308808349243,0.0296760153921
spambase,0.0444654753605,0.0447701340892,0.0445048209307,0.0446336894189,0.00442564173061,0.00423846685531,0.0044025528389,0.0050146333485
tic-tac,0.117715875422,0.107475068997,0.107747576298,0.108260990277,0.00952903067175,0.013286316625,0.0128668167403,0.013768606865
vehicle,0.0169284066508,0.0172554480911,0.0178651423333,0.017585408574,0.0063490363953,0.00541592445447,0.00557773533901,0.00629698634121
vowel,0.0199013913942,0.0190981057628,0.0190138220941,0.0202226969549,0.00639758940481,0.00612041202732,0.00611875085689,0.00659088051168
waveform-5000,0.0790876002347,0.0788012389773,0.0792068101526,0.0807786912878,0.00568950075005,0.00488862181653,0.00480051581119,0.00585761283275
wdbc,0.0237292079539,0.0230252250381,0.0235874249219,0.024417305904,0.0120296109152,0.010535659632,0.0106309050566,0.0115549813344
wpbc,0.173288763327,0.161926189736,0.159738166502,0.163039509095,0.0320083377444,0.014551833867,0.016274435416,0.0116865089539
