,mean,mean,mean,std,std,std
,loss,loss,loss,loss,loss,loss
method,beta,beta05,beta2,beta,beta05,beta2
dataset,,,,,,
abalone,0.611961081481,0.611938047757,0.612403746052,0.00954186598052,0.0100643050419,0.00930366328054
autos,0.283200265076,0.288082129351,0.292229311976,0.0726622490912,0.0716959050888,0.0695159047726
balance-scale,0.0367179072055,0.0376691523976,0.0368465626009,0.0175822484169,0.0178243519029,0.0172805880413
car,0.108541682732,0.108533510471,0.109533417849,0.0175481847436,0.0174427014328,0.017545552103
cleveland,0.416526219995,0.415514689338,0.415361598104,0.050764918982,0.0496945430572,0.0485448408368
credit-approval,0.340702097195,0.339237131257,0.337899088809,0.0453647686003,0.0435568304949,0.0424632733239
dermatology,0.0187707277364,0.0199383769963,0.0186886511912,0.0351396584404,0.0349245719103,0.0351199281757
diabetes,0.483790317482,0.48320363474,0.484450175737,0.0279332920402,0.0275630346264,0.0265435513954
ecoli,0.144988828945,0.142257934003,0.14249687978,0.072278048756,0.0680722397704,0.0680914910195
flare,0.404140021029,0.404224265781,0.404174668392,0.022758996398,0.021820317388,0.0223928211786
german,0.506155814443,0.506223102031,0.505449628733,0.0234416632201,0.0246647419598,0.0230368448239
glass,0.489057850825,0.488504440319,0.490374079386,0.0586939295955,0.0590431788289,0.0574194155717
heart-statlog,0.426804719199,0.425957914958,0.425640232396,0.0619655379939,0.0617757095709,0.0612116584051
hepatitis,0.392115107958,0.390578762042,0.389873775613,0.0556364364376,0.0554603549471,0.0567468034113
horse,0.412771297989,0.418809304789,0.416917175837,0.0533752682937,0.0520825151519,0.0518890147687
ionosphere,0.203159366804,0.20449447329,0.201219483199,0.0441643571979,0.0432828657242,0.0442440324979
iris,1.36348715491e-05,1.38858564553e-05,1.39866919451e-05,0.0,0.0,0.0
landsat-satellite,0.0400339347367,0.040076125138,0.0399542038525,0.00589102831799,0.00595086380449,0.00586956435108
letter,0.0354538652451,0.0355367507252,0.0361874190138,0.00230170582799,0.00226371912717,0.00228394278525
libras-movement,0.0999163360446,0.10565209038,0.0981227820609,0.0544040608223,0.0524607459334,0.0549490492148
lung-cancer,0.138511211341,0.138452962388,0.13852236392,0.178295581198,0.179906723068,0.180268515444
mfeat-karhunen,0.0265285601901,0.0258885628897,0.0267598210579,0.0129852433652,0.0119514535567,0.0125069149116
mfeat-morphological,0.013928581329,0.0124142841874,0.0136643941906,0.0165205807461,0.016424818102,0.0159387152757
mfeat-zernike,0.0319074440658,0.0315522618664,0.0314139835172,0.0143348183695,0.0141041265628,0.0138084882627
mushroom,0.00014740161904,0.000189114139181,0.000162841059525,0.000294522157802,0.000342995832822,0.000314612280548
optdigits,0.0329786087699,0.0329448090017,0.0333897790731,0.00586749624593,0.00585896933321,0.00600879522267
page-blocks,0.0894690270359,0.0900138236173,0.0898297033318,0.0103044674344,0.0102270464,0.0104377835563
pendigits,0.0169518766993,0.0170860134197,0.017252097919,0.00267339741305,0.00265655548977,0.0027454039372
scene-classification,0.364410745012,0.365156901305,0.36485808493,0.0159364300167,0.0164007342954,0.0157682467143
segment,0.0102865314388,0.0102359305134,0.0100062240496,0.00891906092648,0.00862665107304,0.0085849411709
shuttle,0.000302857791626,0.00030567287168,0.00030440526789,0.000677958967748,0.000673246904969,0.00064569865898
sonar,0.403705372127,0.401884295652,0.400739849387,0.0782899860234,0.0745816753636,0.0687314020504
spambase,0.162211849614,0.162494745625,0.162545188969,0.0160003261194,0.0160447930044,0.0161138782126
tic-tac,0.333293892469,0.345218981194,0.333287678699,0.0341933435862,0.0323401246949,0.0338889034674
vehicle,0.0676991142201,0.0670885309958,0.0664043415758,0.0209983616539,0.0206177596358,0.0197350402339
vowel,0.0707249033717,0.0726767912232,0.0718999884439,0.0214742947423,0.019545777432,0.01989306307
waveform-5000,0.251755669047,0.252035262649,0.252203551323,0.0132707221819,0.013411654797,0.0132896484202
wdbc,0.0889713488876,0.0879137989137,0.0889967290316,0.0359006948397,0.0355166687121,0.036293874985
wpbc,0.499900194857,0.504876927365,0.49989891608,0.0393288746513,0.0416415269408,0.0321549152164
yeast,0.508937760981,0.508904510659,0.510135204639,0.0222477818842,0.0223063751299,0.0220399105899
zoo,0.0126256841984,0.0126259366652,0.0126257943479,0.0196509647789,0.019651267901,0.0196509581934
