,mean,mean,mean,mean,std,std,std,std
,loss,loss,loss,loss,loss,loss,loss,loss
method,None,beta2,isotonic,sigmoid,None,beta2,isotonic,sigmoid
dataset,,,,,,,,
abalone,0.612436914835,0.612403746052,0.625994716253,0.613875617978,0.01088455217,0.00930366328054,0.0349980567394,0.00884317169658
autos,0.426804862978,0.292229311976,0.416463586068,0.287272778543,0.358938778402,0.0695159047726,0.408371165765,0.0662845190659
balance-scale,0.0492396212863,0.0368465626009,0.0409731642723,0.0376682251665,0.0131312153718,0.0172805880413,0.0481152573957,0.0190483560508
car,0.113732501268,0.109533417849,0.121694758283,0.118892107245,0.0137881777385,0.017545552103,0.0564474335516,0.0213659821011
cleveland,0.496201409922,0.415361598104,0.522521194496,0.4292110602,0.149506706156,0.0485448408368,0.248275282878,0.0519185133174
credit-approval,0.359938399007,0.337899088809,0.444110340019,0.337550985588,0.0803355860859,0.0424632733239,0.22860954961,0.0414448271276
dermatology,0.0358817591451,0.0186886511912,0.0350466322377,0.0208613712646,0.107704367104,0.0351199281757,0.107162702788,0.0375927055724
diabetes,0.505827772536,0.484450175737,0.524788512973,0.49516018058,0.050096133237,0.0265435513954,0.0992510139946,0.0279438978772
ecoli,0.326154302381,0.14249687978,0.223884177401,0.1590249695,0.372401349901,0.0680914910195,0.268874338743,0.0727875025068
flare,0.404031791989,0.404174668392,0.421008492357,0.40781538413,0.023037610855,0.0223928211786,0.0476096521604,0.0241021787119
german,0.510798447457,0.505449628733,0.538289975026,0.505937340493,0.0375338639489,0.0230368448239,0.102044428482,0.0207389240576
glass,0.696388745319,0.490374079386,0.560423794606,0.484784561232,0.265966431309,0.0574194155717,0.268897871566,0.0543949936267
heart-statlog,0.569844827322,0.425640232396,0.557088002166,0.442766406193,0.212458858643,0.0612116584051,0.302375464293,0.0595734836221
hepatitis,0.805176167036,0.389873775613,0.430809178103,0.41121812382,0.507094724671,0.0567468034113,0.231525459054,0.0605906706617
horse,0.642169474637,0.416917175837,0.524064038974,0.417813961737,0.231791002723,0.0518890147687,0.261257266152,0.0473297540394
ionosphere,0.380663790959,0.201219483199,0.296342742608,0.226973792822,0.203161678613,0.0442440324979,0.211540529817,0.0454096075823
iris,0.126928011043,1.39866919451e-05,1.11022302463e-16,1.36348841059e-05,0.0,0.0,0.0,0.0
landsat-satellite,0.0413304622405,0.0399542038525,0.0434033263372,0.0531310097037,0.00822541049211,0.00586956435108,0.0113247695724,0.00877673218616
letter,0.0368561738089,0.0361874190138,0.034572690364,0.0439433762813,0.00202240077817,0.00228394278525,0.00251414846425,0.00347099446501
libras-movement,0.589087051958,0.0981227820609,0.183590081339,0.112328193732,0.502253428037,0.0549490492148,0.26122487555,0.0525468177277
lung-cancer,0.192697977162,0.13852236392,0.189126610425,0.139434563401,0.0509489443526,0.180268515444,0.533790733205,0.18372074794
mfeat-karhunen,0.0615963422687,0.0267598210579,0.0481330004498,0.0316752020306,0.0571899567989,0.0125069149116,0.0468332880389,0.0134600470873
mfeat-morphological,0.0396442842223,0.0136643941906,0.0264821613137,0.0143755796899,0.0595977748652,0.0159387152757,0.0430968836541,0.0162679952119
mfeat-zernike,0.0946643911166,0.0314139835172,0.0632120163026,0.0385108325034,0.0752258307207,0.0138084882627,0.043878974927,0.0173928206361
mushroom,0.000245502916406,0.000162841059525,8.54306094934e-05,8.21537872598e-05,0.000291762121083,0.000314612280548,0.00027894683026,0.000261519886789
optdigits,0.0350302513016,0.0333897790731,0.0439369022039,0.0402583103741,0.00936835716395,0.00600879522267,0.0206377414447,0.00795729780034
page-blocks,0.0928164324949,0.0898297033318,0.0981514369254,0.109266223667,0.0144699078356,0.0104377835563,0.027607240358,0.013463689622
pendigits,0.0169609924605,0.017252097919,0.0228095177746,0.0206437893975,0.003238465015,0.0027454039372,0.00896319942701,0.00400878622855
scene-classification,0.384021225,0.36485808493,0.376166549561,0.378142927169,0.0299546426744,0.0157682467143,0.037560868953,0.0174824297708
segment,0.0196425696831,0.0100062240496,0.0228231233886,0.0129181063908,0.0286099698362,0.0085849411709,0.0337510267849,0.0104885664316
shuttle,0.000350811908984,0.00030440526789,0.000517087825318,0.000361816935432,0.00128649891864,0.00064569865898,0.00141620733085,0.00053432158452
sonar,0.9407687937,0.400739849387,0.485885795045,0.439916342453,0.538578632071,0.0687314020504,0.331742338667,0.0705231830167
spambase,0.162397805464,0.162545188969,0.17294870903,0.16706087637,0.0185025403872,0.0161138782126,0.034554515727,0.0161279946176
tic-tac,0.378751691366,0.333287678699,0.339893029546,0.33851610885,0.0212795601962,0.0338889034674,0.0597744570448,0.0353545005321
vehicle,0.0770770206679,0.0664043415758,0.131416083624,0.0772114521741,0.0467797297113,0.0197350402339,0.127583330993,0.0228917219866
vowel,0.0762772922286,0.0718999884439,0.0944780388116,0.0852277820959,0.0405987528628,0.01989306307,0.0916920074855,0.025717537659
waveform-5000,0.253018511245,0.252203551323,0.263776190616,0.271389147774,0.017921160974,0.0132896484202,0.0245708371253,0.015975624137
wdbc,0.25566848751,0.0889967290316,0.14126554875,0.106559657526,0.233083792631,0.036293874985,0.158160133381,0.0381954681058
wpbc,1.01625828683,0.49989891608,0.496150937,0.503387707719,0.366370177891,0.0321549152164,0.048633481661,0.0287890092528
yeast,0.509754681887,0.510135204639,0.542841258922,0.513640748963,0.0275955512497,0.0220399105899,0.0888297142205,0.0222461176105
zoo,0.131932611408,0.0126257943479,0.0126128049107,0.0126252957306,0.0106754420102,0.0196509581934,0.0196521459697,0.0196504165423
