,,mean,mean,mean,std,std,std
,,acc,brier,loss,acc,brier,loss
dataset,method,,,,,,
abalone,None,0.63906587269,0.213164149783,0.612436914835,0.0121794555738,0.00431562253294,0.01088455217
abalone,beta,0.639690405116,0.212957136102,0.611961081481,0.00641829918527,0.00366661612372,0.00954186598052
abalone,beta05,0.638230269664,0.212950202352,0.611938047757,0.0104986637301,0.00388376257311,0.0100643050419
abalone,beta2,0.642323937669,0.213053550444,0.612403746052,0.00824707282345,0.00380691293959,0.00930366328054
abalone,isotonic,0.630091755634,0.21427869466,0.625994716253,0.0189892425355,0.00532629777027,0.0349980567394
abalone,sigmoid,0.640886894785,0.213594680029,0.613875617978,0.00932138264546,0.00382462898483,0.00884317169658
autos,None,0.907502284674,0.0737445363329,0.426804862978,0.0506029324724,0.0303528656007,0.358938778402
autos,beta,0.913289501952,0.0776153733616,0.283200265076,0.0527973111595,0.0240009568968,0.0726622490912
autos,beta05,0.911740921037,0.0782200743839,0.288082129351,0.0482933442565,0.0228856031173,0.0716959050888
autos,beta2,0.906761496731,0.080226897872,0.292229311976,0.046264784603,0.021181253364,0.0695159047726
autos,isotonic,0.918655774192,0.0706949050102,0.416463586068,0.0501403956908,0.0232472949316,0.408371165765
autos,sigmoid,0.908205716046,0.0802778557547,0.287272778543,0.0502448496568,0.0249189442191,0.0662845190659
balance-scale,None,0.986056598354,0.0130521347409,0.0492396212863,0.0112231400154,0.00510572648356,0.0131312153718
balance-scale,beta,0.987028336643,0.0104402044878,0.0367179072055,0.0110882888535,0.00601878186569,0.0175822484169
balance-scale,beta05,0.986715996653,0.0104561636284,0.0376691523976,0.0101734692293,0.00605663826201,0.0178243519029
balance-scale,beta2,0.987028336643,0.0104223761143,0.0368465626009,0.0113177754071,0.00591724451313,0.0172805880413
balance-scale,isotonic,0.987037390881,0.0105673255323,0.0409731642723,0.0110559071939,0.00611124419093,0.0481152573957
balance-scale,sigmoid,0.986705755998,0.0103792489901,0.0376682251665,0.011188227492,0.00624648266497,0.0190483560508
car,None,0.952257695927,0.0344102316458,0.113732501268,0.00990300502736,0.00528491076305,0.0137881777385
car,beta,0.951619169243,0.0338168249701,0.108541682732,0.0095212442226,0.00618273726841,0.0175481847436
car,beta05,0.951910202984,0.0338510245453,0.108533510471,0.00968825485914,0.00614529107133,0.0174427014328
car,beta2,0.951677644845,0.0339773424005,0.109533417849,0.0106269550433,0.00603364153848,0.017545552103
car,isotonic,0.952952009679,0.0328696118415,0.121694758283,0.0107730918385,0.00592107258943,0.0564474335516
car,sigmoid,0.949941188332,0.0354247340081,0.118892107245,0.0106899615608,0.00703391940225,0.0213659821011
cleveland,None,0.824165595169,0.132748927444,0.496201409922,0.0449317216882,0.0296871667194,0.149506706156
cleveland,beta,0.82274050263,0.130560707703,0.416526219995,0.0438523221392,0.0197383516004,0.050764918982
cleveland,beta05,0.825797779077,0.130063145188,0.415514689338,0.045778712554,0.019242806978,0.0496945430572
