,,mean,mean,std,std
,,acc,loss,acc,loss
dataset,method,,,,
abalone,None,0.634742882765,0.622251347661,0.0112131005891,0.0086669785776
abalone,beta,0.635245992067,0.619319987375,0.0114022080273,0.00826443647907
abalone,beta05,0.633162127924,0.618048002504,0.0113824521939,0.00780910764683
abalone,beta2,0.635294700406,0.622232764346,0.0115213933839,0.00817971413573
abalone,isotonic,0.634095514806,0.6266031399,0.010633964953,0.0277594968953
abalone,sigmoid,0.635270317723,0.62389136329,0.0112650461879,0.00813993734483
autos,None,0.735016281459,0.477534325883,0.0604008496425,0.0748375260298
autos,beta,0.739607204926,0.482409496692,0.0567936047206,0.0480133212234
autos,beta05,0.734989881062,0.483648444999,0.0584109951203,0.0505842883821
autos,beta2,0.75358663865,0.486673746922,0.0495583922026,0.0455039518594
autos,isotonic,0.745705721251,0.575222523831,0.0600126347401,0.313710818436
autos,sigmoid,0.751836399228,0.495409388049,0.0550550731069,0.0476622672928
balance-scale,None,0.952051690333,0.164020728391,0.0152078048052,0.0218322194012
balance-scale,beta,0.952051690333,0.144575969009,0.0152078048052,0.0363053435905
balance-scale,beta05,0.952051690333,0.144674294336,0.0152078048052,0.0357912150588
balance-scale,beta2,0.952051690333,0.145823498186,0.0152078048052,0.0352777429424
balance-scale,isotonic,0.951250296604,0.175939047319,0.0146780343806,0.117057805973
balance-scale,sigmoid,0.952051690333,0.149863528502,0.0152078048052,0.0392484535464
car,None,0.71713704799,0.504847462899,0.0194292590071,0.017556973665
car,beta,0.715284984541,0.49698790958,0.0200161296689,0.0165379457271
car,beta05,0.71100282296,0.495710839578,0.0179959483024,0.014631271502
car,beta2,0.716905498051,0.504986687256,0.0190393526299,0.0171785091562
car,isotonic,0.718350584756,0.511288720971,0.016304542672,0.0580120942145
car,sigmoid,0.718756889367,0.520301319903,0.0190374946744,0.0174863350977
cleveland,None,0.838124293785,0.390271945594,0.0460215423125,0.0858421758241
cleveland,beta,0.838130138321,0.393538198267,0.0492042947918,0.078201847436
cleveland,beta05,0.83611299435,0.391832629712,0.0466120761381,0.0769239100299
cleveland,beta2,0.838124683421,0.391066112453,0.0488786722643,0.0761923917549
cleveland,isotonic,0.837129943503,0.469956943673,0.0475432372396,0.290397020008
cleveland,sigmoid,0.836429183713,0.399032088896,0.0454752534976,0.076863845171
credit-approval,None,0.867043434937,0.33916399818,0.0294364274577,0.0598939571868
credit-approval,beta,0.869199612093,0.338269181388,0.0296702583863,0.0566153554392
credit-approval,beta05,0.867502642396,0.339040070576,0.0293747860656,0.0558740378528
credit-approval,beta2,0.867957170056,0.339856312974,0.0298091576852,0.0564187051731
credit-approval,isotonic,0.86674275343,0.441524920921,0.0297441158286,0.202799726805
