,mean,mean,mean,mean,mean,std,std,std,std,std
,time,time,time,time,time,time,time,time,time,time
method,None,beta,beta05,beta2,sigmoid,None,beta,beta05,beta2,sigmoid
dataset,,,,,,,,,,
abalone,0.00429002657334,0.00425161112095,0.0022024243575,0.00203179392705,0.0044281360945,0.000350874153005,0.000202423654479,0.000146703433178,6.12160870755e-05,0.000123696316934
autos,0.000871660264944,0.00221332395954,0.00125184632109,0.00125357397301,0.00266384084392,9.5174594707e-05,0.000273502739217,7.08939377991e-05,8.07934156816e-05,0.000240470080894
balance-scale,0.000726787243088,0.0020381024224,0.00143515874299,0.00143203870625,0.00451755320014,3.49481045866e-05,8.95144974849e-05,7.0548508116e-05,5.02626855571e-05,0.000250095263539
car,0.00128943729009,0.00369631642373,0.0016471672923,0.00160384257157,0.00387317666439,6.65208781996e-05,0.000721665981431,4.46264363341e-05,5.80550127074e-05,0.000132507182219
cleveland,0.000666350215571,0.00186860779479,0.00127162708035,0.00128080587265,0.00330511444839,4.40745722217e-05,0.000158128472152,5.9978580403e-05,6.87871344849e-05,0.000240339854976
credit-approval,0.00147648554546,0.00220298883782,0.00139448879036,0.00139976069456,0.00399345544924,0.000103338964267,0.000809451056339,7.77884971346e-05,9.41890459343e-05,0.00025274221455
dermatology,0.00138476946538,0.00184453698501,0.00136511186546,0.00138623711424,0.00656773550162,3.09435808063e-05,4.37262398378e-05,6.78581643657e-05,7.23285285709e-05,0.000778824401658
diabetes,0.000884503047762,0.00214830266751,0.00145633530816,0.00138676738364,0.00361924946353,5.16803298438e-05,0.000229935764023,0.000588230913604,0.000101051761701,0.000133200910717
ecoli,0.000635002741149,0.00223510947925,0.00139314087975,0.0013506440635,0.00427363953826,5.33314535093e-05,0.000184906543439,0.000351089125043,7.99814895306e-05,0.000518515235111
flare,0.00218041988784,0.00222162695206,0.00162377385892,0.00158832791517,0.00417945685018,7.90847638864e-05,6.94069080753e-05,3.07244876635e-05,3.92129066128e-05,0.000123026954891
german,0.00183846796617,0.00209531678038,0.00143587375141,0.00143088579793,0.00319738081126,0.000106161280645,0.000167347103469,7.96607074956e-05,0.000106152137018,0.000156477084262
glass,0.000599519165389,0.00248894773169,0.00128543119028,0.00127577344496,0.00258652414394,5.23459770122e-05,0.00028169258986,0.0001036363691,9.2507729788e-05,0.000140999738876
heart-statlog,0.000635440641044,0.00185873452062,0.001251695793,0.0012669607096,0.00324536506055,5.80947056474e-05,0.000137515514449,5.84802833318e-05,5.78758943561e-05,0.000265676707905
hepatitis,0.000683069096669,0.00227800998446,0.00128567408787,0.0013054719526,0.00317543450018,2.48463544662e-05,0.000209958924438,6.71375809387e-05,7.43496086346e-05,0.000166380222272
horse,0.00117566200286,0.00192883613564,0.00126643386129,0.00127509948966,0.00298203669635,3.68721784544e-05,0.000204208537273,2.2106440363e-05,2.57171862257e-05,0.000126037249902
ionosphere,0.00197016978029,0.00223651554844,0.00129400444913,0.00127016627367,0.00348359970818,0.000100903804412,0.000183830189324,3.45389684595e-05,4.2476262995e-05,0.000169247934948
