,mean,mean,mean,mean,std,std,std,std
,time,time,time,time,time,time,time,time
method,None,beta,isotonic,sigmoid,None,beta,isotonic,sigmoid
dataset,,,,,,,,
abalone,0.00429002657334,0.00425161112095,0.00152596481235,0.0044281360945,0.000350874153005,0.000202423654479,4.24158205229e-05,0.000123696316934
autos,0.000871660264944,0.00221332395954,0.00103524324398,0.00266384084392,9.5174594707e-05,0.000273502739217,7.96561953731e-05,0.000240470080894
balance-scale,0.000726787243088,0.0020381024224,0.00117126931955,0.00451755320014,3.49481045866e-05,8.95144974849e-05,0.000534039243917,0.000250095263539
car,0.00128943729009,0.00369631642373,0.00121716328107,0.00387317666439,6.65208781996e-05,0.000721665981431,4.94098458229e-05,0.000132507182219
cleveland,0.000666350215571,0.00186860779479,0.00105124711666,0.00330511444839,4.40745722217e-05,0.000158128472152,6.81473273132e-05,0.000240339854976
credit-approval,0.00147648554546,0.00220298883782,0.00111800632388,0.00399345544924,0.000103338964267,0.000809451056339,6.74052313575e-05,0.00025274221455
dermatology,0.00138476946538,0.00184453698501,0.00105096316595,0.00656773550162,3.09435808063e-05,4.37262398378e-05,2.33747333203e-05,0.000778824401658
diabetes,0.000884503047762,0.00214830266751,0.00109426736013,0.00361924946353,5.16803298438e-05,0.000229935764023,4.92997332841e-05,0.000133200910717
ecoli,0.000635002741149,0.00223510947925,0.00107628267464,0.00427363953826,5.33314535093e-05,0.000184906543439,7.42715958749e-05,0.000518515235111
flare,0.00218041988784,0.00222162695206,0.001212264276,0.00417945685018,7.90847638864e-05,6.94069080753e-05,0.000137232740769,0.000123026954891
german,0.00183846796617,0.00209531678038,0.00113497836586,0.00319738081126,0.000106161280645,0.000167347103469,5.94205861924e-05,0.000156477084262
glass,0.000599519165389,0.00248894773169,0.0010574598214,0.00258652414394,5.23459770122e-05,0.00028169258986,9.27162360518e-05,0.000140999738876
heart-statlog,0.000635440641044,0.00185873452062,0.00103695036935,0.00324536506055,5.80947056474e-05,0.000137515514449,5.06618540005e-05,0.000265676707905
hepatitis,0.000683069096669,0.00227800998446,0.00108380565797,0.00317543450018,2.48463544662e-05,0.000209958924438,6.40742659428e-05,0.000166380222272
horse,0.00117566200286,0.00192883613564,0.00104428519257,0.00298203669635,3.68721784544e-05,0.000204208537273,2.03474630933e-05,0.000126037249902
ionosphere,0.00197016978029,0.00223651554844,0.00103218820801,0.00348359970818,0.000100903804412,0.000183830189324,3.1091482437e-05,0.000169247934948
iris,0.000442094153611,0.00176121284586,0.00102878079946,0.00589600732798,3.98511886758e-05,6.69553724838e-05,6.61904721434e-05,0.000959363140799
landsat-satellite,0.0401381232055,0.00450328724266,0.00196054282481,0.00997613616634,0.00247941338737,0.000462425705088,0.000165428363844,0.000808913676027
letter,0.190493528575,0.0173537162049,0.00606031899981,0.0265334390451,0.0115677086132,0.0016859100791,0.000452902105242,0.00195359567552
libras-movement,0.00756771754088,0.00264081004638,0.00118838846852,0.00465609035791,0.000595915882338,0.000352835779602,0.000109775010209,0.000787871148179
lung-cancer,0.150517674649,0.00333674929461,0.00145445712815,0.00881687146184,0.00556659453737,0.000428647011698,0.000130946606773,0.00113858044196
mfeat-karhunen,0.0258744133895,0.00320679908007,0.00148471327393,0.00671867412123,0.00234174224337,0.000358120029766,0.000170876745859,0.000857481523776
mfeat-morphological,0.00206844751658,0.00294395993216,0.00121355744913,0.00738428880182,7.71102864519e-05,0.000560031601298,5.77652217085e-05,0.000856445659142
mfeat-zernike,0.0183182557216,0.00320569406705,0.00146879492857,0.0075477999379,0.00196892070045,0.000348425191507,0.000143399775483,0.000962498677876
mushroom,0.0526650330948,0.00673150321967,0.00228101712514,0.0111761426664,0.00629800457795,0.000719685315097,0.000216698293553,0.00136843012504
optdigits,0.093664238546,0.00441800965946,0.00190116291501,0.00901789830288,0.00512659785929,0.000401785167343,0.000142993840793,0.00066234447574
page-blocks,0.0100216435444,0.0036462726765,0.00166638699232,0.00649750730617,0.000447004542825,0.000155371680158,6.16491060299e-05,0.000229953526964
pendigits,0.040232760899,0.00725625097822,0.00256692128151,0.0148963246343,0.00276452886046,0.000576982636075,0.000206878812425,0.00126648144988
scene-classification,0.411915348477,0.00316331356797,0.00182370595022,0.00479731307362,0.0119450883457,0.000344026028637,0.000205420135862,0.000417446244423
segment,0.00641229472373,0.00316490779727,0.00132390480125,0.00733055711643,0.000357369475095,0.000271843900136,5.73611753498e-05,0.00119169091817
shuttle,0.768385177431,0.0511519589606,0.0170126640307,0.0996499435092,0.216903721901,0.00284506827511,0.00126976666079,0.00617859521899
sonar,0.00239541505127,0.0019009815971,0.00107140419613,0.00298746597081,0.00013929017546,0.000187671577896,0.000115415810979,0.000177247918091
spambase,0.0718985030153,0.00441428408927,0.00182913522468,0.00756443329168,0.00465953255514,0.000483206338683,0.000182170108691,0.000795084388749
tic-tac,0.000864664129928,0.00253575170391,0.00108115088987,0.00308331131005,4.42074576199e-05,0.000268837168281,3.00866943732e-05,0.000104443305052
vehicle,0.00254388022069,0.00240088195775,0.00109695976025,0.00420557689462,8.48060110633e-05,0.000214175382428,4.38980720458e-05,0.000162711961492
vowel,0.00153999129332,0.00215018084752,0.00108232090365,0.00347405143784,0.000109845195849,0.000196967326596,4.82242197728e-05,0.000201706701027
waveform-5000,0.02089599792,0.00459280698108,0.00193149774593,0.00762214712923,0.00171496363554,0.000412176107941,0.000167600689846,0.000737520040112
wdbc,0.00233786200509,0.00209910050915,0.00108624147613,0.00465064397798,0.000101047230706,0.000158444646711,1.86125912741e-05,0.000439724408936
wpbc,0.00138887819797,0.00227304939973,0.00108182826627,0.0027770550719,4.24914008957e-05,0.000283552758021,3.12874820325e-05,0.000121646509683
yeast,0.00153880759517,0.00317109313327,0.00126106958759,0.00341222202551,0.000112841399189,0.000230981112184,5.6219757275e-05,0.000174632625916
zoo,0.00052366669318,0.00180383624255,0.00110299798925,0.00542322254979,3.03909369097e-05,3.22769476616e-05,3.11597125891e-05,0.000178001185791
