,mean,mean,mean,mean,std,std,std,std
,time,time,time,time,time,time,time,time
method,None,beta2,isotonic,sigmoid,None,beta2,isotonic,sigmoid
dataset,,,,,,,,
abalone,0.00429002657334,0.00203179392705,0.00152596481235,0.0044281360945,0.000350874153005,6.12160870755e-05,4.24158205229e-05,0.000123696316934
autos,0.000871660264944,0.00125357397301,0.00103524324398,0.00266384084392,9.5174594707e-05,8.07934156816e-05,7.96561953731e-05,0.000240470080894
balance-scale,0.000726787243088,0.00143203870625,0.00117126931955,0.00451755320014,3.49481045866e-05,5.02626855571e-05,0.000534039243917,0.000250095263539
car,0.00128943729009,0.00160384257157,0.00121716328107,0.00387317666439,6.65208781996e-05,5.80550127074e-05,4.94098458229e-05,0.000132507182219
cleveland,0.000666350215571,0.00128080587265,0.00105124711666,0.00330511444839,4.40745722217e-05,6.87871344849e-05,6.81473273132e-05,0.000240339854976
credit-approval,0.00147648554546,0.00139976069456,0.00111800632388,0.00399345544924,0.000103338964267,9.41890459343e-05,6.74052313575e-05,0.00025274221455
dermatology,0.00138476946538,0.00138623711424,0.00105096316595,0.00656773550162,3.09435808063e-05,7.23285285709e-05,2.33747333203e-05,0.000778824401658
diabetes,0.000884503047762,0.00138676738364,0.00109426736013,0.00361924946353,5.16803298438e-05,0.000101051761701,4.92997332841e-05,0.000133200910717
ecoli,0.000635002741149,0.0013506440635,0.00107628267464,0.00427363953826,5.33314535093e-05,7.99814895306e-05,7.42715958749e-05,0.000518515235111
flare,0.00218041988784,0.00158832791517,0.001212264276,0.00417945685018,7.90847638864e-05,3.92129066128e-05,0.000137232740769,0.000123026954891
german,0.00183846796617,0.00143088579793,0.00113497836586,0.00319738081126,0.000106161280645,0.000106152137018,5.94205861924e-05,0.000156477084262
glass,0.000599519165389,0.00127577344496,0.0010574598214,0.00258652414394,5.23459770122e-05,9.2507729788e-05,9.27162360518e-05,0.000140999738876
heart-statlog,0.000635440641044,0.0012669607096,0.00103695036935,0.00324536506055,5.80947056474e-05,5.78758943561e-05,5.06618540005e-05,0.000265676707905
hepatitis,0.000683069096669,0.0013054719526,0.00108380565797,0.00317543450018,2.48463544662e-05,7.43496086346e-05,6.40742659428e-05,0.000166380222272
