,,mean,mean,std,std
,,acc,loss,acc,loss
dataset,method,,,,
abalone,None,0.618506361404,1.17009508167,0.0143014921596,0.0766344914761
abalone,beta,0.633785969434,0.621245900444,0.00915271271908,0.0076579759736
abalone,beta05,0.613430139901,0.631349711804,0.0139833139394,0.00802897497316
abalone,beta2,0.634121500636,0.621691537464,0.00948848093598,0.00766506240241
abalone,isotonic,0.633999848167,0.625894128016,0.0104934141264,0.0174367519221
abalone,sigmoid,0.630434073397,0.622918021151,0.0131442560528,0.00839539732263
autos,None,0.682929868352,0.804858889712,0.0823559131241,0.304886496193
autos,beta,0.713430924933,0.530084992651,0.0485397128645,0.0392883664636
autos,beta05,0.697393944847,0.540856831359,0.0601179901248,0.0429729307409
autos,beta2,0.700903187886,0.545510982398,0.0481263704803,0.0386751423372
autos,isotonic,0.713124614595,0.525009867337,0.0688644024173,0.0596117158638
autos,sigmoid,0.699991837831,0.552987094183,0.0451677681115,0.0372822925594
balance-scale,None,0.953306045733,0.28406610791,0.0170995819829,0.0127594312752
balance-scale,beta,0.959547850087,0.117247212485,0.0204035882849,0.0334941678956
balance-scale,beta05,0.95394864686,0.122210877933,0.0182493105073,0.0341324441313
balance-scale,beta2,0.959700211057,0.118182912474,0.0208435334975,0.0329559609735
balance-scale,isotonic,0.957625167035,0.14528271324,0.0229346458105,0.111031856657
balance-scale,sigmoid,0.959858941216,0.117816536651,0.0204933932302,0.033194742525
car,None,0.787332638796,0.39568029858,0.0222648094365,0.0147010086209
car,beta,0.785127705337,0.382134064815,0.0227363957406,0.0223760450625
car,beta05,0.787795738675,0.388989166153,0.0225043519031,0.0192074903585
car,beta2,0.786285791101,0.382037992263,0.0235929929506,0.0226067122546
car,isotonic,0.786228995833,0.382156948823,0.022070842465,0.044705152583
car,sigmoid,0.786348299503,0.396386876837,0.0223631718512,0.0264896161543
cleveland,None,0.836412039743,0.630622507342,0.046146200879,0.219718746746
cleveland,beta,0.834411844925,0.414964234597,0.0464240297783,0.074457396527
cleveland,beta05,0.833722189753,0.411927205153,0.0464686709283,0.0733818148979
cleveland,beta2,0.834739723359,0.414166956574,0.0441215558832,0.073247526196
cleveland,isotonic,0.832394506137,0.605470592042,0.0425019552909,0.38523493448
cleveland,sigmoid,0.83540054549,0.423573450722,0.0470328138165,0.0756353172777
credit-approval,None,0.807062919269,1.04309169976,0.0350042369674,0.331504154661
credit-approval,beta,0.844576344775,0.389422634392,0.0291459104436,0.0509102137997
credit-approval,beta05,0.80644988345,0.416050312727,0.0358901771242,0.0505417562809
credit-approval,beta2,0.831425149914,0.40878495146,0.0306869328618,0.0585163888805
credit-approval,isotonic,0.84533158953,0.539121349747,0.0297174123476,0.236971489498
credit-approval,sigmoid,0.814577981815,0.447733573875,0.0334069090783,0.0546225700758
