,mean,mean,mean,std,std,std
,time,time,time,time,time,time
method,beta,beta05,beta2,beta,beta05,beta2
dataset,,,,,,
abalone,0.00329892749012,0.00261767332068,0.00258383537743,0.000139158703227,0.000119804441591,6.56700844417e-05
autos,0.00245989976224,0.00139799524469,0.00141361591488,0.000281658661876,5.90587036658e-05,5.12836817805e-05
balance-scale,0.00260718427669,0.00164451172576,0.00158771830793,0.000340385871259,0.000208570661962,5.41179369695e-05
car,0.00255839619575,0.00189433297412,0.00190691914267,0.000172360807294,5.6469318514e-05,7.86289467629e-05
cleveland,0.00201959596996,0.00141471750398,0.00142195309694,0.000128801982343,4.57702047341e-05,4.39789680125e-05
credit-approval,0.0022286276321,0.00157243974616,0.0016067942731,0.000103110232138,3.98493710065e-05,6.61314799457e-05
dermatology,0.00204267460358,0.00155553274833,0.00160157711979,8.75604594822e-05,3.35145823742e-05,4.71173791342e-05
diabetes,0.00258218299379,0.00158099929868,0.0017004840834,0.000194195670563,4.6592312194e-05,0.000743408706297
ecoli,0.0020879526522,0.00144089221874,0.00156488257129,0.00014357982832,0.000101347719774,0.000316358861484
flare,0.00324813123279,0.00184662937685,0.0020080019158,0.000222440260856,0.0001452425517,0.000129355344724
german,0.00262850447307,0.00172462325311,0.00171339183387,0.000269601899312,2.91986348344e-05,5.38071306238e-05
glass,0.00220069448008,0.00136955577222,0.00138286036845,0.000238073054437,5.52316749069e-05,4.10783052761e-05
heart-statlog,0.00210312173928,0.00143845298575,0.00145797027078,0.000318738897172,0.000136158068274,0.000148294469363
hepatitis,0.00271861240827,0.00139105728605,0.00142511759977,0.000173960338652,6.42895242529e-05,4.24565333834e-05
horse,0.00273210174304,0.00144023537059,0.0014900874087,0.000215608180704,3.97760850509e-05,6.08007837025e-05
ionosphere,0.00220118369511,0.00150498280905,0.00151955320641,0.000130945746235,3.5072983576e-05,3.54946746863e-05
iris,0.00188171259472,0.00138191614923,0.00138691777424,7.82213242266e-05,4.40128591637e-05,4.67519836175e-05
landsat-satellite,0.00543064607174,0.00430190383332,0.00445138810489,0.000139969572623,6.22279466345e-05,0.00010112142808
letter,0.0258113614204,0.0227143189477,0.0206950685072,0.00222295770146,0.00175869849577,0.0016253046217
libras-movement,0.00249232479773,0.00162626366295,0.00166368006021,0.000330487451566,0.000118857887186,0.000106005648088
lung-cancer,0.00814621713621,0.0073897743795,0.00738649698089,0.000274300087182,0.000129418831196,0.00012921229885
mfeat-karhunen,0.00353003882931,0.00272297429055,0.00283601375276,0.000143319670264,9.96246684808e-05,0.000973436595732
mfeat-morphological,0.00286979353757,0.00229956723286,0.00236071226972,0.000150028055796,9.34862733454e-05,9.24728157462e-05
mfeat-zernike,0.00367876019911,0.00250742888422,0.00283073501993,0.0004139977734,0.000223383582726,0.000350719420383
mushroom,0.00647913651836,0.00476282649972,0.00490663861378,0.000586443990542,0.000152079772762,0.000146302867573
optdigits,0.011254603924,0.00491306683088,0.00574098629856,0.000736695541159,0.00011444692919,0.000210128203149
page-blocks,0.00408355998016,0.00311281367065,0.00357910401807,0.000208200544737,0.000117060508376,0.000122802212309
pendigits,0.00829247190435,0.00669230427122,0.00725377602162,0.000694190866242,0.000602744188219,0.000707440108193
scene-classification,0.00933280990746,0.00806274268316,0.00842253126016,0.000431295820474,0.000433186101878,0.00023997192699
segment,0.00387782624314,0.00251861240827,0.00270350147962,0.000974284195863,0.000146674615458,0.000171126004791
shuttle,0.049543931852,0.0441365115205,0.0488196814971,0.00269493132846,0.00240983349831,0.00294106773151
sonar,0.00232103795693,0.00148025863396,0.0014763243872,0.000224252110716,0.000211546240921,5.74627299613e-05
spambase,0.00602841210379,0.00376488941346,0.00439057149211,0.000617319296738,8.81576226123e-05,8.59341657333e-05
tic-tac,0.00284425514446,0.00177578898753,0.00170973127384,0.000204455637513,0.000621294699138,0.000618136756934
vehicle,0.00265645815159,0.00163791587554,0.00165070388806,0.000238990811133,7.94299569356e-05,0.000105252141329
vowel,0.00235265219548,0.00176409572193,0.00175174902927,0.000118530741508,3.57517880793e-05,5.60771349719e-05
waveform-5000,0.00479608285866,0.00409872222507,0.0039981012983,0.000315839251168,0.000162835428484,0.000247949749315
wdbc,0.00234589897539,0.00161497750637,0.0016335232035,0.000142345862752,0.000139989102581,4.35786974427e-05
wpbc,0.00227555806435,0.00139557653821,0.00140403687929,0.000282202808122,7.2961611551e-05,5.44098911897e-05
yeast,0.00340469030636,0.0018083919194,0.00186960195686,0.000332260699251,0.00011768225491,7.81874315442e-05
zoo,0.00181028377893,0.00139378389011,0.0014004310566,6.28236161777e-05,4.71546050992e-05,2.78521560692e-05
