,mean,mean,mean,mean,mean,mean,std,std,std,std,std,std
,time,time,time,time,time,time,time,time,time,time,time,time
method,None,beta,beta05,beta2,isotonic,sigmoid,None,beta,beta05,beta2,isotonic,sigmoid
dataset,,,,,,,,,,,,
abalone,0.00131356630916,0.00329892749012,0.00261767332068,0.00258383537743,0.0019515471853,0.00240539162861,0.000302382522122,0.000139158703227,0.000119804441591,6.56700844417e-05,5.72565176732e-05,0.000103779275341
autos,0.000628394998379,0.00245989976224,0.00139799524469,0.00141361591488,0.00129442534339,0.00131314551581,2.55265967305e-05,0.000281658661876,5.90587036658e-05,5.12836817805e-05,0.000970147403151,6.1483394051e-05
balance-scale,0.00079236756128,0.00260718427669,0.00164451172576,0.00158771830793,0.00121336959682,0.00149743931852,0.00089721712044,0.000340385871259,0.000208570661962,5.41179369695e-05,4.45317133295e-05,5.84761146558e-05
car,0.000844768307077,0.00255839619575,0.00189433297412,0.00190691914267,0.00140468346419,0.00176734233078,3.08863232306e-05,0.000172360807294,5.6469318514e-05,7.86289467629e-05,4.60807207826e-05,6.54467336926e-05
cleveland,0.000646181214827,0.00201959596996,0.00141471750398,0.00142195309694,0.00116394861532,0.00134547818204,4.93235115884e-05,0.000128801982343,4.57702047341e-05,4.39789680125e-05,5.55911313375e-05,8.5541142795e-05
credit-approval,0.000731585159334,0.0022286276321,0.00157243974616,0.0016067942731,0.00125754605635,0.00146633140042,3.72354898777e-05,0.000103110232138,3.98493710065e-05,6.61314799457e-05,2.68371227231e-05,3.73587298484e-05
dermatology,0.000707025196285,0.00204267460358,0.00155553274833,0.00160157711979,0.00123692034006,0.00150058671593,1.74032757832e-05,8.75604594822e-05,3.35145823742e-05,4.71173791342e-05,2.42217352546e-05,6.6407484921e-05
diabetes,0.000725629051843,0.00258218299379,0.00158099929868,0.0017004840834,0.0012742751578,0.00148620789928,3.10591094888e-05,0.000194195670563,4.6592312194e-05,0.000743408706297,3.43328266322e-05,3.8530734393e-05
ecoli,0.000640389319373,0.0020879526522,0.00144089221874,0.00156488257129,0.00118130377517,0.00176288807923,0.000115697472366,0.00014357982832,0.000101347719774,0.000316358861484,6.89344728885e-05,0.000933834406766
flare,0.000851699423549,0.00324813123279,0.00184662937685,0.0020080019158,0.00144229144216,0.00174558081456,3.77435425274e-05,0.000222440260856,0.0001452425517,0.000129355344724,0.000147876213278,0.000164684853031
german,0.000830293700073,0.00262850447307,0.00172462325311,0.00171339183387,0.00137577530319,0.00161985939344,2.19396878693e-05,0.000269601899312,2.91986348344e-05,5.38071306238e-05,3.39901300068e-05,4.5836522361e-05
glass,0.000593226253399,0.00220069448008,0.00136955577222,0.00138286036845,0.00111753134568,0.00127980705085,1.97336949566e-05,0.000238073054437,5.52316749069e-05,4.10783052761e-05,3.38595813722e-05,5.0147291995e-05
heart-statlog,0.000646831220814,0.00210312173928,0.00143845298575,0.00145797027078,0.00117897743795,0.00135451668634,6.34772709864e-05,0.000318738897172,0.000136158068274,0.000148294469363,0.000100181299828,0.000109417594626
hepatitis,0.000613304596227,0.00271861240827,0.00139105728605,0.00142511759977,0.00115494774294,0.00135115376063,2.34809508602e-05,0.000173960338652,6.42895242529e-05,4.24565333834e-05,3.37506193573e-05,6.8118546378e-05
horse,0.000671244077248,0.00273210174304,0.00144023537059,0.0014900874087,0.00120871692239,0.00138628145259,1.68295215073e-05,0.000215608180704,3.97760850509e-05,6.08007837025e-05,3.00367752375e-05,5.1635161343e-05
ionosphere,0.000698280905219,0.00220118369511,0.00150498280905,0.00151955320641,0.00123369425771,0.00142480628111,1.92216835875e-05,0.000130945746235,3.5072983576e-05,3.54946746863e-05,5.10525479395e-05,5.62355187254e-05
iris,0.0005695181403,0.00188171259472,0.00138191614923,0.00138691777424,0.00110108277313,0.0013119618207,2.22161779131e-05,7.82213242266e-05,4.40128591637e-05,4.67519836175e-05,3.72687850958e-05,4.68408025918e-05
landsat-satellite,0.00249455534459,0.00543064607174,0.00430190383332,0.00445138810489,0.00305016677785,0.00401683515506,4.765428704e-05,0.000139969572623,6.22279466345e-05,0.00010112142808,4.39387113762e-05,7.69721410551e-05
letter,0.0113424778912,0.0258113614204,0.0227143189477,0.0206950685072,0.0127046338585,0.019832609774,0.00103568723535,0.00222295770146,0.00175869849577,0.0016253046217,0.000980539579438,0.00232408018772
libras-movement,0.000816941208669,0.00249232479773,0.00162626366295,0.00166368006021,0.00132850960469,0.00154070919074,3.04650756341e-05,0.000330487451566,0.000118857887186,0.000106005648088,4.66660179508e-05,6.2352427363e-05
lung-cancer,0.00794049366244,0.00814621713621,0.0073897743795,0.00738649698089,0.00710791125708,0.00737735242298,0.000253281241849,0.000274300087182,0.000129418831196,0.00012921229885,0.000161984384801,0.000124261110785
mfeat-karhunen,0.00153865311917,0.00353003882931,0.00272297429055,0.00283601375276,0.00199159097518,0.00251153418519,3.72794973733e-05,0.000143319670264,9.96246684808e-05,0.000973436595732,5.26252144055e-05,8.10942120615e-05
mfeat-morphological,0.000875664117958,0.00286979353757,0.00229956723286,0.00236071226972,0.00147751834556,0.00218076324387,3.48884914798e-05,0.000150028055796,9.34862733454e-05,9.24728157462e-05,7.0571486622e-05,0.00010466690842
mfeat-zernike,0.00136290176357,0.00367876019911,0.00250742888422,0.00283073501993,0.00186335163614,0.00241229879749,8.86104772209e-05,0.0004139977734,0.000223383582726,0.000350719420383,8.40029792874e-05,0.00013027443716
mushroom,0.00245031730555,0.00647913651836,0.00476282649972,0.00490663861378,0.00333274148578,0.00439537811532,5.12105884361e-05,0.000586443990542,0.000152079772762,0.000146302867573,0.000804797481192,0.000145473658855
optdigits,0.00441403328715,0.011254603924,0.00491306683088,0.00574098629856,0.00350604676622,0.0048489043978,0.000103248140799,0.000736695541159,0.00011444692919,0.000210128203149,7.66071683671e-05,0.000213695952241
page-blocks,0.00147319067413,0.00408355998016,0.00311281367065,0.00357910401807,0.00222112519458,0.00297619609654,4.45699244796e-05,0.000208200544737,0.000117060508376,0.000122802212309,0.00019793665134,0.000118840326051
pendigits,0.00306481586015,0.00829247190435,0.00669230427122,0.00725377602162,0.00389413113016,0.00620904534647,0.000325409662997,0.000694190866242,0.000602744188219,0.000707440108193,0.000310285569608,0.000541783908989
scene-classification,0.00773900891192,0.00933280990746,0.00806274268316,0.00842253126016,0.00738784146696,0.00806570876311,0.000255791405643,0.000431295820474,0.000433186101878,0.00023997192699,0.000193937708797,0.00106910050931
segment,0.00115266245873,0.00387782624314,0.00251861240827,0.00270350147962,0.00173354201947,0.00255049691247,5.91909611586e-05,0.000974284195863,0.000146674615458,0.000171126004791,7.83394670436e-05,0.00019230365154
shuttle,0.0232749388481,0.049543931852,0.0441365115205,0.0488196814971,0.0287422692051,0.0413052838645,0.00161731273901,0.00269493132846,0.00240983349831,0.00294106773151,0.0016003467844,0.00236574751211
sonar,0.000705150442172,0.00232103795693,0.00148025863396,0.0014763243872,0.00120826533929,0.00138030823968,3.99897726271e-05,0.000224252110716,0.000211546240921,5.74627299613e-05,4.04894150359e-05,9.87230167755e-05
spambase,0.00281404697149,0.00602841210379,0.00376488941346,0.00439057149211,0.00287306067293,0.0037137749953,5.69001582517e-05,0.000617319296738,8.81576226123e-05,8.59341657333e-05,6.17055235559e-05,6.38552877768e-05
tic-tac,0.000753907733357,0.00284425514446,0.00177578898753,0.00170973127384,0.00130219462548,0.00163423821009,3.62789356905e-05,0.000204455637513,0.000621294699138,0.000618136756934,6.26343667404e-05,9.04029590067e-05
vehicle,0.00076980893245,0.00265645815159,0.00163791587554,0.00165070388806,0.00130698756436,0.00153895759566,4.9205078678e-05,0.000238990811133,7.94299569356e-05,0.000105252141329,6.56640512767e-05,8.82104562152e-05
vowel,0.000747332409641,0.00235265219548,0.00176409572193,0.00175174902927,0.00129761379381,0.00160743401584,1.60552910599e-05,0.000118530741508,3.57517880793e-05,5.60771349719e-05,2.81685853122e-05,2.98970161789e-05
waveform-5000,0.00229423034159,0.00479608285866,0.00409872222507,0.0039981012983,0.00284292776381,0.00373990181488,0.000159275008016,0.000315839251168,0.000162835428484,0.000247949749315,0.000193142264679,0.000489556444623
wdbc,0.000752135611775,0.00234589897539,0.00161497750637,0.0016335232035,0.00128180154291,0.00150403174766,2.23685446702e-05,0.000142345862752,0.000139989102581,4.35786974427e-05,2.42033582523e-05,5.51683580037e-05
wpbc,0.000639900104343,0.00227555806435,0.00139557653821,0.00140403687929,0.00114737688374,0.00130975180035,1.95678847876e-05,0.000282202808122,7.2961611551e-05,5.44098911897e-05,3.33349039242e-05,5.47710384841e-05
yeast,0.000829181847727,0.00340469030636,0.0018083919194,0.00186960195686,0.00140771454474,0.00172997724979,3.49806726621e-05,0.000332260699251,0.00011768225491,7.81874315442e-05,3.22880532165e-05,0.000101068250834
zoo,0.000591180445083,0.00181028377893,0.00139378389011,0.0014004310566,0.00112320692427,0.00131874240947,1.31588253238e-05,6.28236161777e-05,4.71546050992e-05,2.78521560692e-05,2.09337482778e-05,3.26913378815e-05
