,mean,mean,mean,std,std,std
,time,time,time,time,time,time
method,beta,beta05,beta2,beta,beta05,beta2
dataset,,,,,,
abalone,0.0268610052711,0.0252299136944,0.0250336866467,0.00100854184523,0.000745384878271,0.000368296577827
autos,0.0154687042696,0.0145819364583,0.014578535892,0.000404807339194,0.000234601969923,0.000227478918012
balance-scale,0.0163672440617,0.0157401679928,0.0156951874629,0.00077032456009,0.000455968524347,0.000381072856691
car,0.0193847609127,0.018736963284,0.0189152398572,0.000469618438201,0.000287514406113,0.0012637428706
cleveland,0.0154919403327,0.0149682941661,0.0149604017047,0.000257807862112,0.000940666821042,0.000560565847946
credit-approval,0.0170751092398,0.0164361003988,0.0164615806988,0.0006200698644,0.000306512065961,0.00104783518009
dermatology,0.0166694360414,0.0160842546764,0.0162499245221,0.00123292415321,0.00118907369472,0.00141959386534
diabetes,0.0170083089795,0.0163932922631,0.0161909175116,0.00121139212266,0.00107143944608,0.000299912847379
ecoli,0.0155474544075,0.0148083991252,0.01480500198,0.000249004580983,0.000218504192903,0.000196533465574
flare,0.019009340439,0.0182908903994,0.0181468555452,0.000426708122606,0.000473672741944,0.000238776852278
german,0.0193534544913,0.0185365693451,0.0184506451754,0.00126195545679,0.000568225121487,0.000534494467636
glass,0.0152655768775,0.0145734589901,0.0147440004721,0.000279627964513,0.000376633668739,0.0010268347371
heart-statlog,0.0155928523105,0.0148890411275,0.0149121574524,0.000488155528722,0.000386364060101,0.000546529439677
hepatitis,0.0158640833994,0.0146934880352,0.0144749623038,0.00136594339089,0.00105572511083,0.000221931206504
horse,0.0159656248583,0.0152910263877,0.0153262225917,0.000312775596349,0.00027819309399,0.000241558304508
ionosphere,0.0171544101736,0.0164351595983,0.0165438135094,0.000338879725387,0.000224308211936,0.00064830757095
iris,0.0016585218996,0.00130806172003,0.00131040516862,5.38417870436e-05,4.91526302573e-05,4.53980001327e-05
landsat-satellite,0.0479968936476,0.0469292458115,0.0467060776571,0.00165088009856,0.00122224887008,0.000809269828448
letter,0.137438227463,0.146506788731,0.12945527819,0.00350360761261,0.00794579386099,0.00284435677256
libras-movement,0.0197782515991,0.0186511349048,0.0188042835504,0.000327413745968,0.00032124198328,0.000544938781702
lung-cancer,0.00218844919292,0.00161306241698,0.00161833432118,0.000157936929405,5.9027620112e-05,4.2730720306e-05
mfeat-karhunen,0.0315574816309,0.030789394954,0.0307082671565,0.00062975904228,0.00139681945277,0.000927257407462
mfeat-morphological,0.0203052025416,0.0193710833831,0.0193565061063,0.000645151850767,0.00107531698936,0.000706729744184
mfeat-zernike,0.0289129973307,0.0276618831235,0.0278566938387,0.00115887674993,0.000493190789987,0.000771641966418
mushroom,0.0480398078372,0.047167511249,0.0473599066726,0.00119595091211,0.000873563119838,0.00142528097711
optdigits,0.0565873366535,0.0557493604694,0.055611425424,0.000915621561225,0.00126923660458,0.000958841105675
page-blocks,0.0302827858302,0.0294603893032,0.0294124666336,0.00047511696404,0.000462475911763,0.000473482384316
pendigits,0.060744970352,0.0604928665936,0.0584157158167,0.00324534937193,0.00323458596565,0.002764075308
scene-classification,0.0772018846801,0.0769686174593,0.0774281797135,0.00132918348699,0.00207391585737,0.00238393218449
segment,0.0256548613302,0.0248482531472,0.0248367069586,0.000930451969624,0.00126306148792,0.00115435307314
shuttle,0.295088750848,0.316278117749,0.313617379836,0.00605158816973,0.0104692761816,0.0120842568542
sonar,0.0164454536669,0.0157314578902,0.0156357665002,0.000357446821312,0.000852198363754,0.000246217422082
spambase,0.0461084948303,0.0454918565159,0.0450867649033,0.00144994709586,0.0020290052569,0.000982405353824
tic-tac,0.0175372441558,0.0171286459229,0.0169757880701,0.000207598265982,0.000847051011271,0.000303355064947
vehicle,0.0183011844679,0.0177707029576,0.017600507006,0.000667269602127,0.00119899956991,0.000437282346164
vowel,0.0185049310778,0.0176337737135,0.0175946672004,0.00109592688186,0.000647486580494,0.000532864616028
waveform-5000,0.0428851034496,0.0418495523072,0.041948326102,0.00105310882038,0.00077361748569,0.000415953844469
wdbc,0.018635753671,0.0176716315278,0.0177398481206,0.00129581497721,0.000918929709604,0.000946320408965
wpbc,0.0159336684294,0.0149182743665,0.0149637817445,0.000464790330275,0.000276584873964,0.000312114680809
yeast,0.0191266941894,0.0185207810013,0.0184589857999,0.000309625643977,0.00069584862251,0.000265036692131
zoo,0.00163714006893,0.00127540396693,0.00128402169997,6.80421369478e-05,3.37952658699e-05,4.29833492494e-05
