,mean,mean,mean,mean,mean,std,std,std,std,std
,time,time,time,time,time,time,time,time,time,time
method,None,beta,beta05,isotonic,sigmoid,None,beta,beta05,isotonic,sigmoid
dataset,,,,,,,,,,
abalone,1.1560885721,0.0268610052711,0.0252299136944,0.0244335585268,0.0276155683675,0.0155087547832,0.00100854184523,0.000745384878271,0.000451962803951,0.000459553969248
autos,0.994629797548,0.0154687042696,0.0145819364583,0.0143321248322,0.0164711734435,0.0154237573976,0.000404807339194,0.000234601969923,0.000199311421037,0.000366139331094
balance-scale,1.02857797654,0.0163672440617,0.0157401679928,0.0154558580658,0.0200197157585,0.014033818869,0.00077032456009,0.000455968524347,0.000898612313577,0.00105456062985
car,1.03729137021,0.0193847609127,0.018736963284,0.0181850794165,0.0221928555607,0.0172392637586,0.000469618438201,0.000287514406113,0.000982503035794,0.000925448961926
cleveland,0.451800512651,0.0154919403327,0.0149682941661,0.0147858883338,0.0166357930136,0.0133704249452,0.000257807862112,0.000940666821042,0.000962287004486,0.000217867282536
credit-approval,1.15351679628,0.0170751092398,0.0164361003988,0.0161063925688,0.0187879786215,0.011330224743,0.0006200698644,0.000306512065961,0.000322132040354,0.000395424916918
dermatology,0.412980834182,0.0166694360414,0.0160842546764,0.0158968540485,0.020647920788,0.0347383135618,0.00123292415321,0.00118907369472,0.0012934532835,0.00169831567039
diabetes,0.985835467668,0.0170083089795,0.0163932922631,0.0160837825656,0.018456156556,0.0155519552463,0.00121139212266,0.00107143944608,0.000638004229345,0.000845303414271
ecoli,0.816465124951,0.0155474544075,0.0148083991252,0.0144946814834,0.017698038944,0.0112897562535,0.000249004580983,0.000218504192903,0.00022110268693,0.000645207440404
flare,1.16223445263,0.019009340439,0.0182908903994,0.0179602862429,0.02111664815,0.0129526579186,0.000426708122606,0.000473672741944,0.00104622555294,0.00120049706974
german,0.439706901285,0.0193534544913,0.0185365693451,0.0182759436443,0.0202364214684,0.0110596496792,0.00126195545679,0.000568225121487,0.000922694499205,0.000223704320482
glass,0.85515142527,0.0152655768775,0.0145734589901,0.0143492884554,0.0161246304151,0.0175597027947,0.000279627964513,0.000376633668739,0.000296562014457,0.000404910722852
heart-statlog,0.707821665268,0.0155928523105,0.0148890411275,0.0146302388693,0.0167322199386,0.0119269319162,0.000488155528722,0.000386364060101,0.000303362613167,0.000959732912158
hepatitis,0.566323267623,0.0158640833994,0.0146934880352,0.0142432858913,0.0160656199833,0.0117474915143,0.00136594339089,0.00105572511083,0.000229189192296,0.000270509937298
horse,0.52722827328,0.0159656248583,0.0152910263877,0.0150707080037,0.0171225358509,0.0118154351683,0.000312775596349,0.00027819309399,0.000268526045881,0.000586631425743
ionosphere,0.571736740058,0.0171544101736,0.0164351595983,0.0163694061924,0.0191379632694,0.0116738893963,0.000338879725387,0.000224308211936,0.00104629155024,0.000533497488526
iris,0.00493596312748,0.0016585218996,0.00130806172003,0.00108270064484,0.00543391346525,0.000817787366336,5.38417870436e-05,4.91526302573e-05,5.0413167701e-05,0.000154301916481
landsat-satellite,1.66921578116,0.0479968936476,0.0469292458115,0.0454344984721,0.0526904278675,0.0186198792649,0.00165088009856,0.00122224887008,0.00133108692319,0.00121992327572
letter,3.34135977496,0.137438227463,0.146506788731,0.133864851435,0.14450093011,0.0356978733269,0.00350360761261,0.00794579386099,0.007743111151,0.00405842978953
libras-movement,0.671761262452,0.0197782515991,0.0186511349048,0.0185539861292,0.0239958433721,0.0125858384418,0.000327413745968,0.00032124198328,0.000985572655151,0.00196819863998
lung-cancer,0.0385360767077,0.00218844919292,0.00161306241698,0.00140428680047,0.00524776837833,0.00144692938774,0.000157936929405,5.9027620112e-05,5.11981727754e-05,0.0012413246193
mfeat-karhunen,2.84390039488,0.0315574816309,0.030789394954,0.0299204031416,0.0352667571546,0.0150846872245,0.00062975904228,0.00139681945277,0.000511930078299,0.0015089512519
mfeat-morphological,0.831281084692,0.0203052025416,0.0193710833831,0.0187518245116,0.0242773137921,0.0131748748322,0.000645151850767,0.00107531698936,0.00129962396926,0.00182673530309
mfeat-zernike,2.39443080626,0.0289129973307,0.0276618831235,0.0272540477943,0.0318195202429,0.0168052520598,0.00115887674993,0.000493190789987,0.00131526096446,0.00178458916355
mushroom,1.19685776379,0.0480398078372,0.047167511249,0.0448332550758,0.0569458090328,0.011009273162,0.00119595091211,0.000873563119838,0.00132380584624,0.00121639062829
optdigits,1.31678375186,0.0565873366535,0.0557493604694,0.0543482347588,0.0607803341895,0.0203452882125,0.000915621561225,0.00126923660458,0.00129042500412,0.000845788839114
page-blocks,1.32341345362,0.0302827858302,0.0294603893032,0.0281536139143,0.0339450007996,0.0168331976539,0.00047511696404,0.000462475911763,0.000436368766547,0.000614452303218
pendigits,1.40107822928,0.060744970352,0.0604928665936,0.0578189301045,0.06237121424,0.014350816806,0.00324534937193,0.00323458596565,0.00343695547003,0.00198086055777
scene-classification,10.665375423,0.0772018846801,0.0769686174593,0.0759259333383,0.0791463278416,0.0390789035073,0.00132918348699,0.00207391585737,0.00157138995912,0.00151799766855
segment,1.30601729534,0.0256548613302,0.0248482531472,0.0240925884587,0.0314870344855,0.0149102919387,0.000930451969624,0.00126306148792,0.00114462233565,0.00233220262042
shuttle,6.06853820634,0.295088750848,0.316278117749,0.280883832514,0.428020529979,0.0320660602838,0.00605158816973,0.0104692761816,0.0134214493438,0.035919703142
sonar,1.29448793851,0.0164454536669,0.0157314578902,0.015410066737,0.0174386208891,0.0146648712552,0.000357446821312,0.000852198363754,0.000213852644483,0.000853474688722
spambase,1.46876094686,0.0461084948303,0.0454918565159,0.0442804851452,0.0491619571046,0.0162032774591,0.00144994709586,0.0020290052569,0.00134413328096,0.00155135336823
tic-tac,1.06790553336,0.0175372441558,0.0171286459229,0.0167512138465,0.0201300357419,0.0135080218893,0.000207598265982,0.000847051011271,0.000638266953056,0.00143219875532
vehicle,0.745827270729,0.0183011844679,0.0177707029576,0.0171301717303,0.0207274577773,0.0119262257217,0.000667269602127,0.00119899956991,0.00019025055406,0.000918335038352
vowel,0.456621811007,0.0185049310778,0.0176337737135,0.017095368952,0.0202651928598,0.00877231992277,0.00109592688186,0.000647486580494,0.000245805448503,0.000818419836722
waveform-5000,2.53695238437,0.0428851034496,0.0418495523072,0.0408834869832,0.0456382108711,0.0154994783893,0.00105310882038,0.00077361748569,0.00128052489383,0.000595258170306
wdbc,0.693484165899,0.018635753671,0.0176716315278,0.0172746958007,0.0213546399,0.0120060797291,0.00129581497721,0.000918929709604,0.000917206426172,0.00121797990499
wpbc,0.672100077231,0.0159336684294,0.0149182743665,0.0149153356477,0.0163626495338,0.0140632256883,0.000464790330275,0.000276584873964,0.000744809004319,0.000668410797583
yeast,0.605928955874,0.0191266941894,0.0185207810013,0.0180373805718,0.0204080782267,0.0107763342213,0.000309625643977,0.00069584862251,0.000515149766443,0.000883792765512
