,mean,mean,mean,mean,std,std,std,std
,time,time,time,time,time,time,time,time
method,None,beta2,isotonic,sigmoid,None,beta2,isotonic,sigmoid
dataset,,,,,,,,
abalone,1.1560885721,0.0250336866467,0.0244335585268,0.0276155683675,0.0155087547832,0.000368296577827,0.000451962803951,0.000459553969248
autos,0.994629797548,0.014578535892,0.0143321248322,0.0164711734435,0.0154237573976,0.000227478918012,0.000199311421037,0.000366139331094
balance-scale,1.02857797654,0.0156951874629,0.0154558580658,0.0200197157585,0.014033818869,0.000381072856691,0.000898612313577,0.00105456062985
car,1.03729137021,0.0189152398572,0.0181850794165,0.0221928555607,0.0172392637586,0.0012637428706,0.000982503035794,0.000925448961926
cleveland,0.451800512651,0.0149604017047,0.0147858883338,0.0166357930136,0.0133704249452,0.000560565847946,0.000962287004486,0.000217867282536
credit-approval,1.15351679628,0.0164615806988,0.0161063925688,0.0187879786215,0.011330224743,0.00104783518009,0.000322132040354,0.000395424916918
dermatology,0.412980834182,0.0162499245221,0.0158968540485,0.020647920788,0.0347383135618,0.00141959386534,0.0012934532835,0.00169831567039
diabetes,0.985835467668,0.0161909175116,0.0160837825656,0.018456156556,0.0155519552463,0.000299912847379,0.000638004229345,0.000845303414271
ecoli,0.816465124951,0.01480500198,0.0144946814834,0.017698038944,0.0112897562535,0.000196533465574,0.00022110268693,0.000645207440404
flare,1.16223445263,0.0181468555452,0.0179602862429,0.02111664815,0.0129526579186,0.000238776852278,0.00104622555294,0.00120049706974
german,0.439706901285,0.0184506451754,0.0182759436443,0.0202364214684,0.0110596496792,0.000534494467636,0.000922694499205,0.000223704320482
glass,0.85515142527,0.0147440004721,0.0143492884554,0.0161246304151,0.0175597027947,0.0010268347371,0.000296562014457,0.000404910722852
heart-statlog,0.707821665268,0.0149121574524,0.0146302388693,0.0167322199386,0.0119269319162,0.000546529439677,0.000303362613167,0.000959732912158
hepatitis,0.566323267623,0.0144749623038,0.0142432858913,0.0160656199833,0.0117474915143,0.000221931206504,0.000229189192296,0.000270509937298
horse,0.52722827328,0.0153262225917,0.0150707080037,0.0171225358509,0.0118154351683,0.000241558304508,0.000268526045881,0.000586631425743
